dataset,sequence,condition,backend,recording,rule,frames,ospa,gospa,loc2,miss2,false2,countError,outputCount
v2v_development,0002,reliable,Guarded Scalar,testoutput_CAV_data_2022-03-15-10-29-43,negative_rejected_veto,144,3.9269747205540946,3.4676263209915614,0.08554200387392989,22.5,10.5,0.2916666666666667,0.5694444444444444
v2v_development,0002,intermittent,GCE,testoutput_CAV_data_2022-03-15-10-29-43,original,144,4.063124806782223,3.560748409955118,0.09833390700661696,22.0,11.25,0.3020833333333333,0.5868055555555556
v2v_development,0002,intermittent,GCE,testoutput_CAV_data_2022-03-15-10-29-43,paired_veto,144,4.063124806782223,3.560748409955118,0.09833390700661696,22.0,11.25,0.3020833333333333,0.5868055555555556
v2v_development,0002,intermittent,GCE,testoutput_CAV_data_2022-03-15-10-29-43,positive_rejected_veto,144,4.063124806782223,3.560748409955118,0.09833390700661696,22.0,11.25,0.3020833333333333,0.5868055555555556
v2v_development,0002,intermittent,GCE,testoutput_CAV_data_2022-03-15-10-29-43,negative_rejected_veto,144,4.063124806782223,3.560748409955118,0.09833390700661696,22.0,11.25,0.3020833333333333,0.5868055555555556
v2v_development,0002,intermittent,Guarded Scalar,testoutput_CAV_data_2022-03-15-10-29-43,original,144,4.092658065279272,3.547163626694582,0.10234571010076057,22.5,10.25,0.2951388888888889,0.5659722222222222
v2v_development,0002,intermittent,Guarded Scalar,testoutput_CAV_data_2022-03-15-10-29-43,paired_veto,144,4.092658065279272,3.547163626694582,0.10234571010076057,22.5,10.25,0.2951388888888889,0.5659722222222222
v2v_development,0002,intermittent,Guarded Scalar,testoutput_CAV_data_2022-03-15-10-29-43,positive_rejected_veto,144,4.092658065279272,3.547163626694582,0.10234571010076057,22.5,10.25,0.2951388888888889,0.5659722222222222
v2v_development,0002,intermittent,Guarded Scalar,testoutput_CAV_data_2022-03-15-10-29-43,negative_rejected_veto,144,4.092658065279272,3.547163626694582,0.10234571010076057,22.5,10.25,0.2951388888888889,0.5659722222222222
v2v_development,0003,reliable,GCE,testoutput_CAV_data_2022-03-17-10-50-46,original,198,6.122249479331334,15.250273261067981,11.934718309063507,241.8181818181818,55.63636363636363,3.121212121212121,6.797979797979798
v2v_development,0003,reliable,GCE,testoutput_CAV_data_2022-03-17-10-50-46,paired_veto,198,6.133177907426134,15.274281267932285,11.911021816997941,242.54545454545453,55.63636363636363,3.1313131313131315,6.787878787878788
v2v_development,0003,reliable,GCE,testoutput_CAV_data_2022-03-17-10-50-46,positive_rejected_veto,198,6.122216544170568,15.250112081320344,11.927308506667536,241.8181818181818,55.63636363636363,3.121212121212121,6.797979797979798
v2v_development,0003,reliable,GCE,testoutput_CAV_data_2022-03-17-10-50-46,negative_rejected_veto,198,6.135960235055715,15.281543025994457,11.910738115688373,242.9090909090909,55.63636363636363,3.1363636363636362,6.782828282828283
v2v_development,0003,reliable,Guarded Scalar,testoutput_CAV_data_2022-03-17-10-50-46,original,198,6.280622916377265,15.70235311463642,12.363729592584807,256.3636363636364,60.0,3.2626262626262625,6.656565656565657
v2v_development,0003,reliable,Guarded Scalar,testoutput_CAV_data_2022-03-17-10-50-46,paired_veto,198,6.291498220037882,15.725680876286836,12.35259858919683,257.09090909090907,60.0,3.272727272727273,6.646464646464646
v2v_development,0003,reliable,Guarded Scalar,testoutput_CAV_data_2022-03-17-10-50-46,positive_rejected_veto,198,6.277684092298983,15.696360998923787,12.45916256460799,256.0,60.0,3.257575757575758,6.661616161616162
v2v_development,0003,reliable,Guarded Scalar,testoutput_CAV_data_2022-03-17-10-50-46,negative_rejected_veto,198,6.291498220037882,15.725680876286836,12.35259858919683,257.09090909090907,60.0,3.272727272727273,6.646464646464646
v2v_development,0003,intermittent,GCE,testoutput_CAV_data_2022-03-17-10-50-46,original,198,6.629738284342926,16.1817846794556,10.327580337150478,262.90909090909093,60.36363636363637,3.3333333333333335,6.570707070707071
v2v_development,0003,intermittent,GCE,testoutput_CAV_data_2022-03-17-10-50-46,paired_veto,198,6.638007766037215,16.19915810543693,10.332520742970747,263.27272727272725,60.36363636363637,3.3383838383838382,6.565656565656566
v2v_development,0003,intermittent,GCE,testoutput_CAV_data_2022-03-17-10-50-46,positive_rejected_veto,198,6.6297415305161564,16.18180004048827,10.328234930688838,262.90909090909093,60.36363636363637,3.3333333333333335,6.570707070707071
v2v_development,0003,intermittent,GCE,testoutput_CAV_data_2022-03-17-10-50-46,negative_rejected_veto,198,6.638004520283923,16.19914274702157,10.331866149432386,263.27272727272725,60.36363636363637,3.3383838383838382,6.565656565656566
v2v_development,0003,intermittent,Guarded Scalar,testoutput_CAV_data_2022-03-17-10-50-46,original,198,6.712785816591965,16.40317397601031,10.771406567340245,268.1818181818182,62.54545454545455,3.4065656565656566,6.527777777777778
v2v_development,0003,intermittent,Guarded Scalar,testoutput_CAV_data_2022-03-17-10-50-46,paired_veto,198,6.723364740280387,16.426759013055904,10.758515524813864,268.90909090909093,62.54545454545455,3.4166666666666665,6.517676767676767
