dataset,cohort,sequence,scene,recording,condition,arm,frames,ospa,gospa,loc2,miss2,false2,countError,wire_bytes,raw_payload_bytes,delivered_raw_bytes,split_branches
v2v,development,test_0004,testoutput_CAV_data_2022-03-17-10-50-46_1,testoutput_CAV_data_2022-03-17-10-50-46,reliable,marked_gaussian_evidence,180,5.001597884237048,20.589116185493626,61.14520940674198,331.2,48.8,3.922222222222222,14054400,10565536,10565536,0
v2v,development,test_0005,testoutput_CAV_data_2022-03-17-11-02-23_1,testoutput_CAV_data_2022-03-17-11-02-23,intermittent,marked_lineage,310,5.025026208561458,15.31360181388053,15.660450665677375,168.8516129032258,81.29032258064517,1.8225806451612903,,,,
v2v,development,test_0005,testoutput_CAV_data_2022-03-17-11-02-23_1,testoutput_CAV_data_2022-03-17-11-02-23,intermittent,marked_er,310,4.975879793912573,15.139858869905032,16.038598072598283,158.7483870967742,85.58709677419355,1.7225806451612904,,,,
v2v,development,test_0005,testoutput_CAV_data_2022-03-17-11-02-23_1,testoutput_CAV_data_2022-03-17-11-02-23,intermittent,marked_asymmetric,310,5.032249934750007,15.34861589404967,16.76404060053116,175.3548387096774,75.36774193548388,1.9080645161290322,,,,
v2v,development,test_0005,testoutput_CAV_data_2022-03-17-11-02-23_1,testoutput_CAV_data_2022-03-17-11-02-23,intermittent,marked_gaussian_evidence_guarded_scalar,310,5.024268753990188,15.441398637151126,17.684100337156096,166.8774193548387,85.35483870967742,1.8290322580645162,19871232,14811936,11360960,0
v2v,development,test_0005,testoutput_CAV_data_2022-03-17-11-02-23_1,testoutput_CAV_data_2022-03-17-11-02-23,intermittent,marked_gaussian_evidence_no_curvature,310,5.005076054896477,15.23035104531178,16.594109590209538,171.63870967741934,74.90322580645162,1.8725806451612903,,,,
v2v,development,test_0005,testoutput_CAV_data_2022-03-17-11-02-23_1,testoutput_CAV_data_2022-03-17-11-02-23,intermittent,marked_gaussian_evidence_fixed_025,310,4.986674184858402,15.398202366398433,20.556198880322423,158.7483870967742,88.95483870967742,1.7338709677419355,,,,
v2v,development,test_0005,testoutput_CAV_data_2022-03-17-11-02-23_1,testoutput_CAV_data_2022-03-17-11-02-23,intermittent,marked_gaussian_evidence,310,5.011448071101461,15.427610468183165,17.89637976548887,163.74193548387098,88.02580645161291,1.7903225806451613,20559360,14860864,11326464,0
v2v,development,test_0005,testoutput_CAV_data_2022-03-17-11-02-23_1,testoutput_CAV_data_2022-03-17-11-02-23,reliable,marked_lineage,310,4.69068954888509,14.240416458362985,17.180222627856253,137.03225806451613,72.23225806451613,1.732258064516129,,,,
v2v,development,test_0005,testoutput_CAV_data_2022-03-17-11-02-23_1,testoutput_CAV_data_2022-03-17-11-02-23,reliable,marked_er,310,4.5987112713477485,14.142873237122231,18.57152141874515,128.20645161290324,77.10967741935484,1.5935483870967742,,,,
v2v,development,test_0005,testoutput_CAV_data_2022-03-17-11-02-23_1,testoutput_CAV_data_2022-03-17-11-02-23,reliable,marked_asymmetric,310,4.76664846080268,14.494970343702487,13.516733481401943,150.03870967741935,70.3741935483871,1.8741935483870968,,,,
v2v,development,test_0005,testoutput_CAV_data_2022-03-17-11-02-23_1,testoutput_CAV_data_2022-03-17-11-02-23,reliable,marked_gaussian_evidence_guarded_scalar,310,4.617581671968873,14.45132137899513,14.644181703456463,137.4967741935484,85.00645161290322,1.6516129032258065,19985920,14997440,14997440,0
v2v,development,test_0005,testoutput_CAV_data_2022-03-17-11-02-23_1,testoutput_CAV_data_2022-03-17-11-02-23,reliable,marked_gaussian_evidence_no_curvature,310,4.694694679802807,14.217593289830681,14.085662824837751,142.14193548387098,69.21290322580646,1.8064516129032258,,,,
v2v,development,test_0005,testoutput_CAV_data_2022-03-17-11-02-23_1,testoutput_CAV_data_2022-03-17-11-02-23,reliable,marked_gaussian_evidence_fixed_025,310,4.602838595421207,14.357148518912958,19.10800068741757,125.65161290322581,87.79354838709678,1.5838709677419356,,,,
v2v,development,test_0005,testoutput_CAV_data_2022-03-17-11-02-23_1,testoutput_CAV_data_2022-03-17-11-02-23,reliable,marked_gaussian_evidence,310,4.586088315855473,14.251478335838836,15.330175384587886,132.38709677419354,82.68387096774194,1.6516129032258065,20461056,14998496,14998496,0
v2v,development,test_0006,testoutput_CAV_data_2022-03-17-11-02-23_2,testoutput_CAV_data_2022-03-17-11-02-23,intermittent,marked_lineage,304,5.631264060964536,11.128587631569753,2.3966195186032224,67.5,90.23684210526316,1.2105263157894737,,,,
v2v,development,test_0006,testoutput_CAV_data_2022-03-17-11-02-23_2,testoutput_CAV_data_2022-03-17-11-02-23,intermittent,marked_er,304,5.647541517762509,11.097720026546046,2.544149703439215,64.53947368421052,92.01315789473684,1.256578947368421,,,,
v2v,development,test_0006,testoutput_CAV_data_2022-03-17-11-02-23_2,testoutput_CAV_data_2022-03-17-11-02-23,intermittent,marked_asymmetric,304,5.493182804098003,10.76696987015027,2.7264821323378747,67.61842105263158,81.35526315789474,1.1842105263157894,,,,
v2v,development,test_0006,testoutput_CAV_data_2022-03-17-11-02-23_2,testoutput_CAV_data_2022-03-17-11-02-23,intermittent,marked_gaussian_evidence_guarded_scalar,304,5.519530165479254,10.83168338710257,2.700882878056794,65.36842105263158,85.73684210526316,1.2401315789473684,12824576,7742336,6115264,0
v2v,development,test_0006,testoutput_CAV_data_2022-03-17-11-02-23_2,testoutput_CAV_data_2022-03-17-11-02-23,intermittent,marked_gaussian_evidence_no_curvature,304,5.467687729548836,10.67717802828288,2.31389359974698,65.96052631578948,80.28947368421052,1.169407894736842,,,,
v2v,development,test_0006,testoutput_CAV_data_2022-03-17-11-02-23_2,testoutput_CAV_data_2022-03-17-11-02-23,intermittent,marked_gaussian_evidence_fixed_025,304,5.849235671625639,11.674837741685492,2.475133243408202,62.526315789473685,107.52631578947368,1.4210526315789473,,,,
v2v,development,test_0006,testoutput_CAV_data_2022-03-17-11-02-23_2,testoutput_CAV_data_2022-03-17-11-02-23,intermittent,marked_gaussian_evidence,304,5.547432849060025,10.922876787450804,2.32710535462426,66.07894736842105,87.51315789473684,1.2351973684210527,12660736,7543104,5880832,0
v2v,development,test_0006,testoutput_CAV_data_2022-03-17-11-02-23_2,testoutput_CAV_data_2022-03-17-11-02-23,reliable,marked_lineage,304,5.849564381847548,11.43724774412391,2.686107317219919,69.15789473684211,92.60526315789474,1.299342105263158,,,,
v2v,development,test_0006,testoutput_CAV_data_2022-03-17-11-02-23_2,testoutput_CAV_data_2022-03-17-11-02-23,reliable,marked_er,304,5.85709614469049,11.50762819631515,2.8662666653689675,66.78947368421052,98.28947368421052,1.3519736842105263,,,,
v2v,development,test_0006,testoutput_CAV_data_2022-03-17-11-02-23_2,testoutput_CAV_data_2022-03-17-11-02-23,reliable,marked_asymmetric,304,5.390085124002655,10.540627950312949,4.102441179889945,66.07894736842105,75.07894736842105,1.105263157894737,,,,
v2v,development,test_0006,testoutput_CAV_data_2022-03-17-11-02-23_2,testoutput_CAV_data_2022-03-17-11-02-23,reliable,marked_gaussian_evidence_guarded_scalar,304,5.529563380703039,10.900735448280079,4.340236685247061,67.73684210526316,82.1842105263158,1.1611842105263157,12562432,7416032,7416032,0
v2v,development,test_0006,testoutput_CAV_data_2022-03-17-11-02-23_2,testoutput_CAV_data_2022-03-17-11-02-23,reliable,marked_gaussian_evidence_no_curvature,304,5.3998843290857135,10.565371516813345,3.888077094056049,64.42105263157895,77.44736842105263,1.1151315789473684,,,,
v2v,development,test_0006,testoutput_CAV_data_2022-03-17-11-02-23_2,testoutput_CAV_data_2022-03-17-11-02-23,reliable,marked_gaussian_evidence_fixed_025,304,5.883786637480419,11.467200261719308,2.874464091632731,55.421052631578945,105.39473684210526,1.3914473684210527,,,,
v2v,development,test_0006,testoutput_CAV_data_2022-03-17-11-02-23_2,testoutput_CAV_data_2022-03-17-11-02-23,reliable,marked_gaussian_evidence,304,5.4765182937340855,10.770003801373571,4.905353438209171,64.65789473684211,80.52631578947368,1.1151315789473684,13021184,7949312,7949312,0
v2v,development,test_0007,testoutput_CAV_data_2022-03-17-11-51-42_0,testoutput_CAV_data_2022-03-17-11-51-42,intermittent,marked_lineage,221,3.9074112277399946,12.278713486332537,34.37415722564026,145.6289592760181,58.31674208144796,1.7194570135746607,,,,
v2v,development,test_0007,testoutput_CAV_data_2022-03-17-11-51-42_0,testoutput_CAV_data_2022-03-17-11-51-42,intermittent,marked_er,221,3.9323992004626063,12.468685585257019,33.38296932738028,137.3212669683258,64.99547511312217,1.6018099547511313,,,,
v2v,development,test_0007,testoutput_CAV_data_2022-03-17-11-51-42_0,testoutput_CAV_data_2022-03-17-11-51-42,intermittent,marked_asymmetric,221,3.6837244482738805,12.017584059125294,33.31792637074069,140.9049773755656,63.69230769230769,1.4434389140271493,,,,
v2v,development,test_0007,testoutput_CAV_data_2022-03-17-11-51-42_0,testoutput_CAV_data_2022-03-17-11-51-42,intermittent,marked_gaussian_evidence_guarded_scalar,221,3.6309403577162063,11.898613971592292,33.18062223703642,140.579185520362,61.90045248868778,1.4502262443438914,14867712,10756832,6545440,0
