dataset,sequence,arm,mode,frames,ospa,gospa,loc2,miss2,false2,countError,raw_bytes,delivered_raw_bytes,wire_bytes,runtime_s,alignment_payload_bytes,alignment_wire_bytes,total_wire_bytes,alignment_compute_seconds
v2v_development,0006,marked_lineage,occupancy,304,5.795154423108751,11.379416181187393,2.909259834020718,67.26315789473684,95.21052631578948,1.2894736842105263,5026552,5026552,11464704,17.39343570833333,2451456,10039296,21504000.0,1.7598409642232582
v2v_development,0007,marked_gaussian_evidence,occupancy,221,5.652148739756611,16.71660470497546,37.553945490059675,219.90950226244343,70.3710407239819,2.230769230769231,16883040,16883040,20307200,53.939537,1782144,7298304,27605504.0,1.1465418819570914
v2v_development,0007,marked_lineage,occupancy,221,6.197220732437042,17.62373844701076,34.60851726858035,284.41628959276017,39.42081447963801,3.5384615384615383,13216496,13216496,17521920,72.33112108333333,1782144,7298304,24820224.0,1.1465418819570914
v2v_development,0008,marked_gaussian_evidence,occupancy,375,0.8301047827587411,2.7159118729812035,2.8174220302493196,5.952,9.6,0.20533333333333334,12009952,12009952,16709376,30.942758166666668,3024000,12384000,29093376.0,1.6268281105149072
v2v_development,0008,marked_lineage,occupancy,375,0.8270669190722366,2.707275335973315,2.6361196436986027,6.336,8.256,0.192,6529920,6529920,12384000,23.794696458333334,3024000,12384000,24768000.0,1.6268281105149072
v2x_val,v2x_0000,marked_gaussian_evidence,occupancy,104,9.740904935709999,17.648265488785857,0.13394818308298637,322.61538461538464,33.92307692307692,4.009615384615385,963040,963040,3434496,3.162036083333333,838656,3434496,6868992.0,0.6748027431603987
v2x_val,v2x_0000,marked_lineage,occupancy,104,9.680246574879419,17.58149162178963,0.14274679487955008,316.38461538461536,36.0,3.894230769230769,623768,623768,3434496,1.58434875,838656,3434496,6868992.0,0.6748027431603987
v2x_val,v2x_0001,marked_gaussian_evidence,occupancy,131,9.982437846843524,27.406512190925934,6.451540128865675,737.587786259542,12.091603053435115,10.076335877862595,2655776,2655776,4883200,8.409072416666667,1056384,4326144,9209344.0,0.7643144134199247
v2x_val,v2x_0001,marked_lineage,occupancy,131,9.474543117676557,25.965339926473664,7.076751704847257,658.9923664122138,10.992366412213741,9.0,1954112,1954112,4326144,4.804240833333333,1056384,4326144,8652288.0,0.7643144134199247
v2x_val,v2x_0002,marked_gaussian_evidence,occupancy,140,7.49530964622114,17.82668029939456,16.4432986035474,195.42857142857142,109.54285714285714,1.7357142857142858,6573760,6573760,8932352,32.37087008333334,1128960,4623360,13555712.0,0.8874823823280167
v2x_val,v2x_0002,marked_lineage,occupancy,140,7.664795808295347,18.05924448125015,30.741988085257486,203.65714285714284,98.22857142857143,1.8357142857142856,6118088,6118088,8834048,86.49010729166666,1128960,4623360,13457408.0,0.8874823823280167
v2x_val,v2x_0003,marked_gaussian_evidence,occupancy,128,7.771028817956946,17.503629115057407,1.504149863595957,339.1875,31.5,4.6484375,3254336,3254336,4800512,7.299822791666666,1032192,4227072,9027584.0,0.6682500779861584
v2x_val,v2x_0003,marked_lineage,occupancy,128,8.08950136216708,18.06706145335257,2.322746572661343,337.5,37.6875,4.5859375,2163008,2163008,4227072,5.479329916666667,1032192,4227072,8454144.0,0.6682500779861584
v2x_val,v2x_0004,marked_gaussian_evidence,occupancy,116,5.399006743259987,4.782882490200941,0.8046140370968606,48.41379310344828,0.0,0.6724137931034483,220736,220736,3830784,2.1973940416666666,935424,3830784,7661568.0,0.6781249451451004
v2x_val,v2x_0004,marked_lineage,occupancy,116,5.47303178018676,4.86494750821903,1.134806328253176,49.6551724137931,0.0,0.6896551724137931,221480,221480,3830784,1.638348625,935424,3830784,7661568.0,0.6781249451451004
v2v_development,0000,marked_gaussian_evidence,original,147,2.0540325088014852,2.4366771750925214,0.19032083902876012,13.714285714285714,5.387755102040816,0.23809523809523808,1001696,1001696,4854528,6.180642916666667,0,0,4854528,0.0
v2v_development,0000,marked_lineage,original,147,2.1112403445538552,2.5475354198425153,0.1435112359521936,16.163265306122447,4.408163265306122,0.24489795918367346,684624,684624,4854528,2.707269875,0,0,4854528,0.0
v2v_development,0001,marked_gaussian_evidence,original,114,4.037052225727778,3.9220392071945795,0.8615224587847625,18.94736842105263,16.42105263157895,0.45614035087719296,700032,700032,3764736,5.635299833333334,0,0,3764736,0.0
v2v_development,0001,marked_lineage,original,114,4.266652951077348,4.3122586637801295,0.8709107637021682,21.473684210526315,20.210526315789473,0.543859649122807,509496,509496,3764736,1.0061247083333333,0,0,3764736,0.0
v2v_development,0002,marked_gaussian_evidence,original,144,3.898063466473439,3.4631169682768452,0.08438529492901009,22.5,10.5,0.2916666666666667,478784,478784,4755456,5.496166375,0,0,4755456,0.0
v2v_development,0002,marked_lineage,original,144,3.95051734733339,3.5041893371967965,0.08339223829578074,23.0,11.0,0.3055555555555556,335808,335808,4755456,1.2805455,0,0,4755456,0.0
v2v_development,0003,marked_gaussian_evidence,original,198,6.122249479331334,15.250273261067981,11.934718309063507,241.8181818181818,55.63636363636363,3.121212121212121,7731328,7731328,10814976,21.429706875,0,0,10814976,0.0
v2v_development,0003,marked_lineage,original,198,6.4276549784294845,15.795180802434816,12.030246211614955,251.27272727272728,58.54545454545455,3.272727272727273,6696576,6696576,10601984,16.732221916666667,0,0,10601984,0.0
v2v_development,0004,marked_gaussian_evidence,original,180,5.001597884237048,20.589116185493626,61.14520940674198,331.2,48.8,3.922222222222222,10565536,10565536,14054400,78.215503625,0,0,14054400,0.0
v2v_development,0004,marked_lineage,original,180,5.116871531476196,22.42015663073348,61.49916915327948,350.8,104.0,3.4277777777777776,6027984,6027984,8795136,44.246819708333334,0,0,8795136,0.0
v2v_development,0005,marked_gaussian_evidence,original,310,4.586088315855473,14.251478335838836,15.330175384587886,132.38709677419354,82.68387096774194,1.6516129032258065,14998496,14998496,20461056,40.17467933333333,0,0,20461056,0.0
v2v_development,0005,marked_lineage,original,310,4.69068954888509,14.240416458362985,17.180222627856253,137.03225806451613,72.23225806451613,1.732258064516129,13149400,13149400,17921536,37.18373833333333,0,0,17921536,0.0
v2v_development,0006,marked_gaussian_evidence,original,304,5.4765182937340855,10.770003801373571,4.905353438209171,64.65789473684211,80.52631578947368,1.1151315789473684,7949312,7949312,13021184,23.033160416666668,0,0,13021184,0.0
v2v_development,0006,marked_lineage,original,304,5.849564381847548,11.43724774412391,2.686107317219919,69.15789473684211,92.60526315789474,1.299342105263158,5155288,5155288,11481088,17.617507416666665,0,0,11481088,0.0
v2v_development,0007,marked_gaussian_evidence,original,221,2.889940560312305,8.985144534339545,10.539414288708471,67.76470588235294,45.61085972850679,0.9864253393665159,8754304,8754304,12754176,23.377788958333333,0,0,12754176,0.0
v2v_development,0007,marked_lineage,original,221,3.2166540403924393,10.221454709826489,17.01539671293788,82.09954751131222,53.755656108597286,1.0723981900452488,7545848,7545848,10804480,29.383901708333333,0,0,10804480,0.0
v2v_development,0008,marked_gaussian_evidence,original,375,0.8301047827587411,2.7159118729812035,2.8174220302493196,5.952,9.6,0.20533333333333334,12009952,12009952,16709376,43.74076970833333,0,0,16709376,0.0
v2v_development,0008,marked_lineage,original,375,0.8270669190722366,2.707275335973315,2.6361196436986027,6.336,8.256,0.192,6529920,6529920,12384000,43.19519020833334,0,0,12384000,0.0
v2x_val,v2x_0000,marked_gaussian_evidence,original,104,9.740904935709999,17.648265488785857,0.13394818308298637,322.61538461538464,33.92307692307692,4.009615384615385,963040,963040,3434496,1.68916975,0,0,3434496,0.0
v2x_val,v2x_0000,marked_lineage,original,104,9.680246574879419,17.58149162178963,0.14274679487955008,316.38461538461536,36.0,3.894230769230769,623768,623768,3434496,2.6728497916666667,0,0,3434496,0.0
v2x_val,v2x_0001,marked_gaussian_evidence,original,131,9.9873209850388,27.421463127952922,6.603758054843298,738.1374045801526,12.091603053435115,10.083969465648854,2669504,2669504,4883200,4.780478,0,0,4883200,0.0
v2x_val,v2x_0001,marked_lineage,original,131,9.512977168819493,26.092640685758653,6.2606180342406805,665.0381679389313,12.091603053435115,9.068702290076336,1685192,1685192,4326144,7.727803375,0,0,4326144,0.0
v2x_val,v2x_0002,marked_gaussian_evidence,original,140,9.143681433383385,23.79752746403247,116.77018146860557,208.28571428571428,252.5142857142857,2.4571428571428573,3151264,3151264,5016576,5.480845416666667,0,0,5016576,0.0
v2x_val,v2x_0002,marked_lineage,original,140,9.038455596971394,22.95975833831666,106.41917071969642,212.4,216.0,2.3642857142857143,3131240,3131240,5966848,18.959015291666667,0,0,5966848,0.0
v2x_val,v2x_0003,marked_gaussian_evidence,original,128,7.771028817956946,17.503629115057407,1.504149863595957,339.1875,31.5,4.6484375,3254336,3254336,4800512,4.237563708333333,0,0,4800512,0.0
v2x_val,v2x_0003,marked_lineage,original,128,8.08950136216708,18.06706145335257,2.322746572661343,337.5,37.6875,4.5859375,2163008,2163008,4227072,5.450423958333333,0,0,4227072,0.0
v2x_val,v2x_0004,marked_gaussian_evidence,original,116,5.399006743259987,4.782882490200941,0.8046140370968606,48.41379310344828,0.0,0.6724137931034483,220736,220736,3830784,0.5795947916666667,0,0,3830784,0.0
v2x_val,v2x_0004,marked_lineage,original,116,5.47303178018676,4.86494750821903,1.134806328253176,49.6551724137931,0.0,0.6896551724137931,221480,221480,3830784,1.4686119583333332,0,0,3830784,0.0
