sequence,recording,frame,source,target_id,range_m,matched_2m,matched_12m
0000,testoutput_CAV_data_2022-03-15-09-54-40,56,1,1,22.66201682436645,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,56,1,2,35.73378986690532,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,56,2,103,21.245986702308823,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,57,1,1,22.84426841613755,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,57,1,2,35.60384156342123,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,57,2,103,21.306184783413105,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,58,1,1,23.023083428402245,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,58,1,2,35.498167199109595,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,58,2,103,21.262815467570906,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,59,1,1,23.218429423627285,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,59,1,2,35.43688039502269,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,59,2,103,21.351349665674388,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,60,1,1,23.284233946387833,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,60,1,2,35.373764747489474,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,60,2,103,21.384336733096863,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,61,1,1,23.60053972617753,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,61,1,2,35.27601552237555,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,61,2,103,21.50521907405493,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,62,1,1,23.800412339872988,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,62,1,2,35.22656274327686,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,62,2,103,21.541374571189007,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,63,1,1,24.019673546670074,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,63,1,2,35.20354505179837,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,63,2,103,21.69890665882962,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,64,1,1,24.203485650122623,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,64,1,2,35.15595828118187,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,64,2,103,21.744934191766273,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,65,1,1,24.357812575035513,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,65,1,2,35.102986920868695,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,65,2,103,21.779007447379765,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,66,1,1,24.544924834686523,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,66,1,2,35.11716285312732,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,66,1,107,26.640527594117412,0,0
0000,testoutput_CAV_data_2022-03-15-09-54-40,66,2,103,21.887274377171693,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,67,1,1,24.66807925003333,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,67,1,2,35.056844211338266,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,67,2,103,22.036704690675798,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,68,1,1,24.87294509890123,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,68,1,2,35.15843491581968,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,68,2,103,22.136517403571037,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,69,1,1,25.056905553570598,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,69,1,2,35.15522651586687,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,69,2,103,22.26644293339872,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,70,1,1,25.194386976998317,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,70,1,2,35.09299511543136,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,70,2,103,22.362360192391122,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,71,1,1,25.34944332103047,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,71,1,2,35.10431108600368,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,71,2,103,22.475312651572168,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,72,1,1,25.49374926289814,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,72,1,2,35.18900332355252,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,72,2,103,22.529042448425006,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,73,1,1,25.6125788308382,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,73,1,2,35.218087763068525,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,73,2,103,22.613527156352205,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,74,1,1,25.74036983481579,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,74,1,2,35.20570791153396,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,74,2,103,22.72326949654468,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,75,1,1,25.855762392289773,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,75,1,2,35.3497503632665,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,75,2,103,22.888542048427837,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,76,1,1,25.968377548788517,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,76,1,2,35.34508124249576,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,76,2,103,22.980521819713296,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,77,1,1,26.084680478522056,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,77,1,2,35.43878387748597,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,77,2,103,23.08881812005528,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,78,1,1,26.20633172296657,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,78,1,2,35.552820041321475,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,78,2,103,23.207825706921003,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,79,1,1,26.323476343825874,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,79,1,2,35.60624899952402,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,79,2,103,23.358088018129536,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,80,1,1,26.4144360265182,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,80,1,2,35.734491348603854,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,80,2,103,23.450646269047702,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,81,1,1,26.536239174907806,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,81,1,2,35.84863146890112,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,81,2,103,23.636282394745308,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,82,1,1,26.615339462698394,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,82,1,2,35.92917434710364,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,82,2,103,23.779767838662238,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,83,1,1,26.722968401979124,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,83,1,2,36.03478632084883,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,83,2,103,23.89361789280466,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,84,1,1,26.82365315465932,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,84,1,2,36.18854182817458,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,84,2,103,24.044826424849433,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,85,1,1,26.909866077454488,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,85,1,2,36.38176643988915,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,85,2,103,24.172477443111603,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,86,1,1,27.00975509827877,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,86,1,2,36.51974769799753,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,86,2,103,24.356681997309128,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,87,1,1,27.116129338297586,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,87,1,2,36.669660913720726,1,1
