seed,full_attempted_bytes,moment_attempted_bytes,attempted_reduction_percent,full_delivered_bytes,moment_delivered_bytes,delivered_reduction_percent,full_local_eospa,moment_local_eospa,local_eospa_delta,full_consensus_ospa,moment_consensus_ospa,consensus_ospa_delta,full_consensus_position,moment_consensus_position,consensus_position_delta,full_consensus_cardinality,moment_consensus_cardinality,consensus_cardinality_delta,missing_snapshot_count,label_set_mismatch_count,missing_label_count,comparison_count,snapshot_count,max_abs_r,max_abs_mu,max_abs_sigma,exact_match,attempted_masks_equal,delivered_masks_equal
108,25980960,11242080,56.729543481072291,21005096,9113816,56.611405156158298,2.0836364144741091,2.0836364144741091,0,1.976107249044242,1.976107249044242,0,4.5416676199667849,4.5416676199667849,0,0.22750000000000001,0.22750000000000001,0,0,0,0,24055,800,0,0,0,1,1,1
109,25036640,10434560,58.322842042702213,19981116,8411916,57.900669812436902,2.1992148526722204,2.1992148526722204,0,2.0349531567424695,2.0349531567424695,0,4.9161663583045323,4.9161663583045323,0,0.25374999999999998,0.25374999999999998,0,0,0,0,22113,800,0,0,0,1,1,1
110,25264560,10128240,59.911274924241702,19929724,8118964,59.262034938366433,2.1869304253308424,2.1869304253308424,0,2.0939523801835986,2.0939523801835986,0,5.2475266826465647,5.2475266826465647,0,0.23375000000000001,0.23375000000000001,0,0,0,0,21766,800,0,0,0,1,1,1
111,25845200,11212400,56.617089440205532,20873012,9120692,56.303900941560329,2.0958116442753316,2.0958116442753316,0,1.9372650072873043,1.9372650072873043,0,3.9046917442477773,3.9046917442477773,0,0.17749999999999999,0.17749999999999999,0,0,0,0,23874,800,0,0,0,1,1,1
112,34206160,13825360,59.582250682333239,27407228,11161628,59.274874496610892,2.398508813485313,2.398508813485313,0,2.1498966743748298,2.1498966743748298,0,7.8959839010375674,7.8959839010375674,0,0.23499999999999999,0.23499999999999999,0,0,0,0,28782,800,0,0,0,1,1,1
113,22742560,9667360,57.492208440914304,18619272,7809432,58.057264537517902,1.9371506093204225,1.9371506093204225,0,1.8292244810073268,1.8292244810073268,0,3.995946052660265,3.995946052660265,0,0.18375,0.18375,0,0,0,0,20613,800,0,0,0,1,1,1
114,25595760,10921200,57.331995611773202,20509256,8713016,57.51666467081985,2.1281319839832848,2.1281319839832848,0,2.0358517371102494,2.0358517371102494,0,5.4636481334006275,5.4636481334006275,0,0.21375,0.21375,0,0,0,0,23187,800,0,0,0,1,1,1
115,24318160,10593040,56.43979643196689,19516296,8475096,56.574259787820395,2.0799990661044876,2.0799990661044876,0,1.9640601339815746,1.9640601339815746,0,4.5721281560112583,4.5721281560112583,0,0.19125,0.19125,0,0,0,0,22191,800,0,0,0,1,1,1
116,30425200,12078160,60.302117981147205,24622508,9805268,60.177622848168028,2.1656406661816461,2.1656406661816461,0,2.0543321644149906,2.0543321644149906,0,5.6459891399591493,5.6459891399591493,0,0.23375000000000001,0.23375000000000001,0,0,0,0,25481,800,0,0,0,1,1,1
117,26330400,10902720,58.592653358855166,21001976,8807576,58.063107966602765,2.0348767306932922,2.0348767306932922,0,1.9254410616241804,1.9254410616241804,0,3.7244388656900984,3.7244388656900984,0,0.19750000000000001,0.19750000000000001,0,0,0,0,23403,800,0,0,0,1,1,1
118,21567200,8835200,59.034088801513413,17215140,7082220,58.860514640020355,2.0551653924140094,2.0551653924140094,0,1.9056926715074141,1.9056926715074141,0,3.4167821606243525,3.4167821606243525,0,0.1825,0.1825,0,0,0,0,19263,800,0,0,0,1,1,1
119,23408800,9879040,57.797751273025526,18664628,7763108,58.407378920169208,2.0045989454443411,2.0045989454443411,0,1.8886364208266371,1.8886364208266371,0,3.2288447743417028,3.2288447743417028,0,0.21124999999999999,0.21124999999999999,0,0,0,0,21330,800,0,0,0,1,1,1
120,22304400,9402480,57.844730187765641,17613608,7506128,57.384494988193218,1.9841742751089695,1.9841742751089695,0,1.8589009952625251,1.8589009952625251,0,3.3786732613241015,3.3786732613241015,0,0.16,0.16,0,0,0,0,20180,800,0,0,0,1,1,1
121,23322400,9899200,57.55496861386478,18642704,7989584,57.14364182363245,2.006984714527984,2.006984714527984,0,1.8884307715752757,1.8884307715752757,0,3.4259994783362226,3.4259994783362226,0,0.18124999999999999,0.18124999999999999,0,0,0,0,21297,800,0,0,0,1,1,1
