arm,frame,robot,detected,output_count,active_components,near_active_components,near_total_r,near_max_r,association_has_column,association_effective_labels,association_largest_share,association_nearest_distance_m,association_joint_mass
marked_gaussian_evidence_range,12,1,False,5,73,27,0.29463587477481,0.032835888473266794,True,24.09865149085572,0.11637972398234674,0.051580401947551806,0.8462129571586711
marked_gaussian_evidence_range,12,2,False,5,73,27,0.29463587477481,0.032835888473266794,False,,,,
marked_gaussian_evidence_range,13,1,False,6,80,29,0.36332596085380675,0.06705375421595312,True,22.797319420720942,0.13470983926620908,0.03365421759250316,0.8917872207236422
marked_gaussian_evidence_range,13,2,False,6,80,29,0.36332596085380675,0.06705375421595312,False,,,,
marked_gaussian_evidence_range,14,1,False,6,82,29,0.4251857681328263,0.1315323470701231,True,19.46352098112748,0.22852444578832118,0.03193951217151648,0.9364403533048445
marked_gaussian_evidence_range,14,2,False,6,82,29,0.4251857681328263,0.1315323470701231,False,,,,
marked_gaussian_evidence_range,15,1,False,6,76,20,0.42136457416424195,0.23513429327016974,True,14.525729086439746,0.36182657018046976,0.09931305650821314,0.9189788861640332
marked_gaussian_evidence_range,15,2,False,6,76,20,0.42136457416424195,0.23513429327016974,False,,,,
marked_gaussian_evidence_range,16,1,False,6,79,9,0.34930992685170076,0.2568332196674639,True,8.961000828392814,0.5244422554592327,0.11344635573578923,0.9382825760941574
marked_gaussian_evidence_range,16,2,False,6,79,9,0.34930992685170076,0.2568332196674639,False,,,,
marked_gaussian_evidence_range,17,1,False,6,82,7,0.36473756858145656,0.28906961575968265,True,7.8930738309486745,0.574730922059747,0.03564853079705343,0.9392213956984127
marked_gaussian_evidence_range,17,2,False,6,82,7,0.36473756858145656,0.28906961575968265,False,,,,
marked_gaussian_evidence_range,18,1,True,8,81,4,0.8488273569632184,0.7185925117899604,True,6.472584824975147,0.6365287587803665,0.045649281019597344,0.9489064846356112
marked_gaussian_evidence_range,18,2,False,6,54,7,0.16912257401222844,0.13991338713859905,False,,,,
marked_gaussian_evidence_range,19,1,True,7,90,1,0.433355449410174,0.433355449410174,True,4.118157847133794,0.7451520687263627,0.041851459391518776,0.9812979834149965
marked_gaussian_evidence_range,19,2,True,7,90,1,0.433355449410174,0.433355449410174,False,,,,
marked_gaussian_evidence_range,20,1,True,7,94,2,0.7025985550411288,0.6996176583007994,True,3.0281449413125174,0.8236523716100759,0.09105700630675714,0.9783048401421388
marked_gaussian_evidence_range,20,2,True,7,94,2,0.7025985550411288,0.6996176583007994,False,,,,
marked_gaussian_evidence_range,21,1,True,7,97,1,0.8690832560048214,0.8690832560048214,True,1.9071397599969035,0.908806655579678,0.09168980582450387,0.9619911692257784
marked_gaussian_evidence_range,21,2,True,7,97,1,0.8690832560048214,0.8690832560048214,False,,,,
marked_gaussian_evidence_range,22,1,True,7,98,1,0.9570006202571986,0.9570006202571986,True,1.4439235642108008,0.9531668527725363,0.06143679940974246,0.9855753743378688
marked_gaussian_evidence_range,22,2,True,7,98,1,0.9570006202571986,0.9570006202571986,False,,,,
marked_gaussian_evidence_range,23,1,True,7,99,1,0.9860401567624751,0.9860401567624751,True,1.2164615829003487,0.9773548762799789,0.1200661223864506,0.9832016667779994
marked_gaussian_evidence_range,23,2,True,7,99,1,0.9860401567624751,0.9860401567624751,False,,,,
