mode,condition,frame,robot,phase,left_count,right_count,common_labels,same_labels,exact,maximum_existence_difference,maximum_mean_difference,maximum_covariance_difference,equal
nominal,reliable,7,1,posterior,40,41,40,False,False,0.20506305761446925,6.662906499648699,23.310030398774387,False
nominal,reliable,7,1,fused,42,43,42,False,False,0.20506305761446925,6.662906499648699,23.310030398774387,False
nominal,reliable,7,1,target_local,7,5,5,False,False,0.007778968018276905,0.1608837601008524,5.88894302028244,False
nominal,reliable,7,1,target_posterior,7,5,5,False,False,0.000439496452413873,0.1608837601008659,5.884658738639658,False
nominal,reliable,7,2,predicted,36,37,36,False,False,0.08257642676022704,1.911310460490757,0.0,False
nominal,reliable,7,2,local,22,24,21,False,False,0.011179341793560874,1.7435824463832912,7.993802182897724,False
nominal,reliable,7,2,posterior,40,41,40,False,False,0.20506305761446925,6.662906499648699,23.310030398774387,False
nominal,reliable,7,2,fused,42,43,42,False,False,0.20506305761446925,6.662906499648699,23.310030398774387,False
nominal,reliable,7,2,target_local,1,1,1,True,False,7.099377220278662e-06,0.10409286884693891,5.432230784654564,False
nominal,reliable,7,2,target_posterior,7,5,5,False,False,0.000439496452413873,0.1608837601008659,5.884658738639658,False
nominal,reliable,8,1,predicted,50,51,50,False,False,0.20301242703832456,6.662906499648699,0.0,False
nominal,reliable,8,1,local,49,50,49,False,False,0.32356927417565917,7.5619178513084355,44.32192816840697,False
nominal,reliable,8,1,posterior,49,50,49,False,False,0.3315101116927934,7.561917851308479,44.32192816840687,False
nominal,reliable,8,1,fused,49,50,49,False,False,0.3315101116927934,7.561917851308479,44.32192816840687,False
nominal,reliable,8,1,target_local,13,6,6,False,False,0.009744308484015085,0.2167918193479097,14.142761129270866,False
nominal,reliable,8,1,target_posterior,13,6,6,False,False,0.00044138718356882475,0.21679181934790925,14.14276112927088,False
nominal,reliable,8,2,predicted,40,41,40,False,False,0.20301242703832456,6.662906499648699,0.0,False
nominal,reliable,8,2,local,21,24,21,False,False,0.03690454491005654,0.22659925012673465,5.1257388171223965,False
nominal,reliable,8,2,posterior,49,50,49,False,False,0.3315101116928377,7.561917851308479,44.32192816840687,False
nominal,reliable,8,2,fused,49,50,49,False,False,0.3315101116928377,7.561917851308479,44.32192816840687,False
nominal,reliable,8,2,target_local,3,3,3,True,False,4.4326465936673056e-05,0.1608837601008659,5.1257388171223965,False
nominal,reliable,8,2,target_posterior,13,6,6,False,False,0.00044138718356882475,0.21679181934790925,14.14276112927088,False
nominal,reliable,9,1,predicted,58,59,58,False,False,0.3281950105758655,7.561917851308479,0.0,False
nominal,reliable,9,1,local,52,56,52,False,False,0.29845596236235006,6.307373388389724,48.808077082263964,False
nominal,reliable,9,1,posterior,49,53,49,False,False,0.4272536873752254,6.307373388389718,48.808077082263935,False
nominal,reliable,9,1,fused,52,56,52,False,False,0.4272536873752254,6.307373388389718,48.808077082263935,False
nominal,reliable,9,1,target_local,15,7,7,False,False,0.016355007099172134,0.4207960012261128,12.638837863892462,False
nominal,reliable,9,1,target_posterior,15,7,7,False,False,0.001018524123923845,0.4207960012261154,12.63883786389249,False
nominal,reliable,9,2,predicted,50,51,50,False,False,0.32819501057590933,7.561917851308479,0.0,False
nominal,reliable,9,2,local,27,26,25,False,False,0.09160272809210716,1.9146378008264122,36.15632512467752,False
nominal,reliable,9,2,posterior,49,53,49,False,False,0.42725368737518127,6.307373388389718,48.808077082263935,False
nominal,reliable,9,2,fused,52,56,52,False,False,0.42725368737518127,6.307373388389718,48.808077082263935,False
nominal,reliable,9,2,target_local,3,0,0,False,False,0.0,0.0,0.0,False
nominal,reliable,9,2,target_posterior,15,7,7,False,False,0.001018524123923845,0.4207960012261154,12.63883786389249,False
nominal,reliable,10,1,predicted,59,63,59,False,False,0.4229811505014731,6.307373388389718,0.0,False
nominal,reliable,10,1,local,55,61,55,False,False,0.20882277932117788,5.453042011238294,55.99891754405064,False
