x,self_input_intensity,gateway_input_intensity,renormalized_intensity,self_fallback_intensity
-0.8799999999999999,0.21669117743867045,2.1516359794172192e-06,0.06856185225275126,0.1630478933173442
-0.8700000000000001,0.21859554469777298,2.259127040604657e-06,0.06962703717833714,0.16481011313149546
-0.8599999999999999,0.2204945977227654,2.371750934836227e-06,0.07070170041748278,0.16657472069279125
-0.8500000000000001,0.2223879089047972,2.489740463319156e-06,0.07178577168334818,0.16834138677351038
-0.8399999999999999,0.2242750486716965,2.6133383711946202e-06,0.07287917676394638,0.17010977801684055
-0.8300000000000001,0.22615558564366423,2.7427977427240314e-06,0.07398183749186993,0.1718795570271253
-0.8199999999999998,0.22802908679120582,2.878382410816998e-06,0.07509367171554876,0.17365038246309422
-0.81,0.22989511759522263,3.020367381361063e-06,0.07621459327207733,0.17542190913405026
-0.7999999999999998,0.23175324220918628,3.1690392728256604e-06,0.07734451196165387,0.17719378809898764
-0.79,0.23360302362331314,3.324696771624961e-06,0.07848333352366903,0.17896566676860987
-0.7799999999999998,0.23544402383066015,3.4876511037373225e-06,0.07963095961448509,0.1807371890102174
-0.77,0.23727580399505258,3.658226523091316e-06,0.08078728778694234,0.1825079952554289
-0.7599999999999998,0.2390979246207623,3.8367608172420175e-06,0.08195221147163229,0.18427772261070136
-0.75,0.24090994572384355,4.023605830873957e-06,0.08312561995997293,0.18604600497060816
-0.7399999999999998,0.24271142700504017,4.219128007681044e-06,0.08430739838912439,0.18781247313383603
-0.73,0.24450192802416795,4.423708951187242e-06,0.08549742772877877,0.18957675492185466
-0.7199999999999998,0.2462810083758824,4.63774600508583e-06,0.08669558476986086,0.1913384753002164
-0.71,0.24804822786673292,4.861652853688893e-06,0.08790174211517163,0.193097256502434
-0.6999999999999997,0.2498031466934091,5.095860143093699e-06,0.08911576817200983,0.19485271815639008
-0.69,0.2515453256220779,5.340816123685989e-06,0.09033752714680177,0.19660447741322165
-0.6800000000000002,0.2532743261687142,5.596987314616324e-06,0.09156687904177212,0.19835214907862847
-0.6699999999999999,0.2549897107803213,5.864859190899157e-06,0.09280367965368493,0.2000953457465449
-0.6600000000000001,0.25669104301693796,6.144936893800365e-06,0.09404778057468403,0.20183367793511822
-0.6499999999999999,0.2583778877343315,6.437745965193837e-06,0.0952990291952621,0.2035667542249312
-0.6400000000000001,0.26004981126726573,6.743833106582994e-06,0.09655726870938312,0.20529418139940467
-0.6299999999999999,0.2617063816132436,7.063766963499278e-06,0.09782233812178655,0.20701556458731596
-0.6200000000000001,0.26334716861661184,7.398138936004494e-06,0.09909407225749553,0.20873050740736368
-0.6099999999999999,0.2649717441529224,7.747564016041178e-06,0.10037230177355436,0.21043861211471127
-0.6000000000000001,0.26657968231343976,8.112681652389408e-06,0.1016568531730158,0.21213947974943473
-0.5899999999999999,0.26817055958968494,8.494156644006714e-06,0.10294754882120045,0.21383271028680464
-0.5800000000000001,0.26974395505790444,8.892680062542232e-06,0.1042442069642461,0.21551790278932267
-0.5699999999999998,0.2712994505633538,9.308970204834135e-06,0.10554664174996703,0.21719465556043951
-0.56,0.27283663090428206,9.743773576214926e-06,0.1068546632510379,0.21886256629987091
-0.5499999999999998,0.2743550840155072,1.0197865905466774e-05,0.10816807749051977,0.22052123226043474
-0.54,0.2758544011514667,1.0672053192284672e-05,0.10948668646973961,0.22217025040632296
-0.5299999999999998,0.2773341770686334,1.1167172788123858e-05,0.11081028819853844,0.22380921757272731
-0.52,0.27879401020717964,1.1684094511322354e-05,0.11213867672789593,0.22543773062673012
-0.5099999999999998,0.2802335028717807,1.2223721797409297e-05,0.11347164218494372,0.22705538662937502
-0.5,0.2816522614114396,1.2786992885524384e-05,0.1148089708103725,0.22866178299882695
-0.48999999999999977,0.28304989639822375,1.3374882041892058e-05,0.11615044499824129,0.2302565176745328
-0.48,0.2844260228047977,1.3988400821311311e-05,0.11749584333819141,0.231839189282289
-0.46999999999999975,0.28578026018064073,1.4628599367637905e-05,0.11884494066007005,0.23340939730012566
-0.45999999999999996,0.28711223282683573,1.529656775425419e-05,0.12019750808096241,0.23496674222491007
-0.44999999999999973,0.2884215699693184,1.599343736553829e-05,0.12155331305463442,0.23651082573957752
-0.43999999999999995,0.2897079059304738,1.6720382320360387e-05,0.12291211942338116,0.2380412508808895
-0.43000000000000016,0.2909708802989707,1.7478620938653178e-05,0.12427368747227978,0.23955762220762536
-0.41999999999999993,0.2922101380977231,1.8269417252117535e-05,0.1256377739858393,0.24105954596910611
-0.41000000000000014,0.2934253299498689,1.9094082560143682e-05,0.1270041323070406,0.24254663027395262
-0.3999999999999999,0.2946161122426587,1.995397703204283e-05,0.12837251239875827,0.24401848525897818
-0.3900000000000001,0.2957821472891459,2.0850511356702606e-05,0.12974266090755124,0.24547472325811356
-0.3799999999999999,0.2969231034875729,2.178514844079409e-05,0.13111432122981248,0.24691495897126464
-0.3700000000000001,0.29803865547834674,2.275940515667545e-05,0.13248723358026035,0.24833880963299879
-0.3599999999999999,0.29912848429850275,2.377485414115385e-05,0.13386113506275757,0.24974589518095952
-0.3500000000000001,0.3001922775335504,2.4833125646280216e-05,0.13523575974343782,0.2511358384239043
-0.33999999999999986,0.3012297294666032,2.5935909443371022e-05,0.136610838726122,0.25250826520926417
-0.33000000000000007,0.30224054122469174,2.7084956781462313e-05,0.13798610023000038,0.25386280459012045
-0.31999999999999984,0.3032244209221614,2.8282082401418477e-05,0.1393612696695588,0.25519908899149535
