dataset,sequence,condition,backend,recording,rule,frames,ospa,gospa,loc2,miss2,false2,countError,outputCount
v2v_development,0004,intermittent,Guarded Scalar,testoutput_CAV_data_2022-03-17-10-50-46,joint,180,5.127617859030184,21.17682368347744,57.254285444561354,351.0,57.4,4.0777777777777775,23.133333333333333
v2v_development,0005,reliable,GCE,testoutput_CAV_data_2022-03-17-11-02-23,original,310,4.586088315855473,14.251478335838836,15.330175384587886,132.38709677419354,82.68387096774194,1.6516129032258065,14.861290322580645
v2v_development,0005,reliable,GCE,testoutput_CAV_data_2022-03-17-11-02-23,joint_mark,310,4.602667622916888,14.280556810987177,15.437157875084708,134.4774193548387,81.75483870967741,1.6806451612903226,14.819354838709678
v2v_development,0005,reliable,GCE,testoutput_CAV_data_2022-03-17-11-02-23,conditional,310,4.574303171112608,14.364309057544682,18.10435154150175,118.45161290322581,97.31612903225806,1.5903225806451613,15.258064516129032
v2v_development,0005,reliable,GCE,testoutput_CAV_data_2022-03-17-11-02-23,joint,310,4.5825107584948555,14.216211865309573,15.55087210345641,127.97419354838709,85.23870967741935,1.632258064516129,14.958064516129033
v2v_development,0005,reliable,Guarded Scalar,testoutput_CAV_data_2022-03-17-11-02-23,original,310,4.617581671968873,14.45132137899513,14.644181703456463,137.4967741935484,85.00645161290322,1.6516129032258065,14.82258064516129
v2v_development,0005,reliable,Guarded Scalar,testoutput_CAV_data_2022-03-17-11-02-23,joint_mark,310,4.630057816421221,14.48953729531644,14.54448911227386,139.3548387096774,84.7741935483871,1.667741935483871,14.793548387096774
v2v_development,0005,reliable,Guarded Scalar,testoutput_CAV_data_2022-03-17-11-02-23,conditional,310,4.612193128513078,14.489174451427255,17.632919554123273,124.25806451612904,95.69032258064516,1.603225806451613,15.154838709677419
v2v_development,0005,reliable,Guarded Scalar,testoutput_CAV_data_2022-03-17-11-02-23,joint,310,4.6080644409110185,14.472556646646726,15.905722261833967,132.8516129032258,88.72258064516129,1.5935483870967742,14.938709677419356
v2v_development,0005,intermittent,GCE,testoutput_CAV_data_2022-03-17-11-02-23,original,310,5.011448071101461,15.427610468183165,17.89637976548887,163.74193548387098,88.02580645161291,1.7903225806451613,14.5
v2v_development,0005,intermittent,GCE,testoutput_CAV_data_2022-03-17-11-02-23,joint_mark,310,5.009446558332383,15.412357091199574,17.70312149336149,164.78709677419354,86.7483870967742,1.7903225806451613,14.46774193548387
v2v_development,0005,intermittent,GCE,testoutput_CAV_data_2022-03-17-11-02-23,conditional,310,5.047846449077495,15.610655246552591,20.694546931534802,154.4516129032258,98.70967741935483,1.7548387096774194,14.77741935483871
v2v_development,0005,intermittent,GCE,testoutput_CAV_data_2022-03-17-11-02-23,joint,310,5.012012235855934,15.442405510483619,20.334201244957622,160.14193548387098,89.30322580645161,1.764516129032258,14.567741935483872
v2v_development,0005,intermittent,Guarded Scalar,testoutput_CAV_data_2022-03-17-11-02-23,original,310,5.024268753990188,15.441398637151126,17.684100337156096,166.8774193548387,85.35483870967742,1.8290322580645162,14.419354838709678
v2v_development,0005,intermittent,Guarded Scalar,testoutput_CAV_data_2022-03-17-11-02-23,joint_mark,310,5.026354659434572,15.441050611560804,18.101951256601545,168.38709677419354,83.61290322580645,1.832258064516129,14.374193548387098
v2v_development,0005,intermittent,Guarded Scalar,testoutput_CAV_data_2022-03-17-11-02-23,conditional,310,5.015615118644906,15.51468720315293,20.458533952990585,157.70322580645163,92.78709677419354,1.7370967741935484,14.65
v2v_development,0005,intermittent,Guarded Scalar,testoutput_CAV_data_2022-03-17-11-02-23,joint,310,5.011596684766934,15.42592491742086,19.674133860754925,162.0,86.98064516129033,1.761290322580645,14.509677419354839
v2v_development,0006,reliable,GCE,testoutput_CAV_data_2022-03-17-11-02-23,original,304,5.4765182937340855,10.770003801373571,4.905353438209171,64.65789473684211,80.52631578947368,1.1151315789473684,6.8355263157894735
v2v_development,0006,reliable,GCE,testoutput_CAV_data_2022-03-17-11-02-23,joint_mark,304,5.500541398361505,10.788899120905393,4.689534756511356,65.84210526315789,79.8157894736842,1.1414473684210527,6.809210526315789
v2v_development,0006,reliable,GCE,testoutput_CAV_data_2022-03-17-11-02-23,conditional,304,5.79314109194201,11.56493063120359,4.701384268709022,56.60526315789474,108.0,1.325657894736842,7.328947368421052
v2v_development,0006,reliable,GCE,testoutput_CAV_data_2022-03-17-11-02-23,joint,304,5.52509730760197,10.85823879639896,4.1779245415186015,61.81578947368421,85.5,1.1578947368421053,6.944078947368421
v2v_development,0006,reliable,Guarded Scalar,testoutput_CAV_data_2022-03-17-11-02-23,original,304,5.529563380703039,10.900735448280079,4.340236685247061,67.73684210526316,82.1842105263158,1.1611842105263157,6.815789473684211
