formation,lag,pool,query_count,peer_coverage,receiver_pooled_rmse,oracle_pooled_rmse,min_trace_pooled_rmse,oracle_improving_fraction,min_trace_switch_fraction,min_trace_improving_fraction,min_trace_worsening_fraction
4,0,4,1156,0.865051903114,32.8194684991,31.5627895793,32.1108201518,0.46107266436,0.652249134948,0.385813148789,0.240484429066
4,0,5,1156,0.998269896194,32.8194684991,23.593048063,28.5503056769,0.81401384083,0.918685121107,0.452422145329,0.456747404844
4,1,1,1150,1,32.8866846802,10.015629765,21.0760564503,0.925217391304,0.993913043478,0.494782608696,0.499130434783
4,1,2,1150,0.965217391304,32.8866846802,31.2296181628,32.299327966,0.675652173913,0.765217391304,0.438260869565,0.306086956522
4,1,3,1150,0.96,32.8866846802,32.2187278864,32.6135153338,0.493913043478,0.719130434783,0.407826086957,0.252173913043
4,1,4,1150,0.927826086957,32.8866846802,32.2436640756,32.58934225,0.48,0.686956521739,0.394782608696,0.233913043478
4,1,5,1150,0.998260869565,32.8866846802,24.1673920471,29.9170212997,0.840869565217,0.93652173913,0.446086956522,0.479130434783
5,0,1,1166,1,50.2157190128,11.4785958076,25.9418246819,0.946826758148,0.992281303602,0.704974271012,0.28730703259
5,0,2,1166,0.953687821612,50.2157190128,47.7737715424,48.8734722474,0.70154373928,0.73756432247,0.424528301887,0.31217838765
5,0,3,1166,0.895368782161,50.2157190128,49.0976878007,49.6871259694,0.53602058319,0.709262435678,0.427101200686,0.277015437393
5,0,4,1166,0.868782161235,50.2157190128,49.1935866211,49.7470966726,0.514579759863,0.683533447684,0.410806174957,0.267581475129
5,0,5,1166,1,50.2157190128,43.2605981513,46.1408049815,0.907375643225,0.96397941681,0.590909090909,0.373070325901
5,1,1,1156,1,50.4058056629,11.4489982835,26.2777330146,0.944636678201,0.980968858131,0.687716262976,0.293252595156
5,1,2,1156,0.966262975779,50.4058056629,48.407077319,49.3940301661,0.702422145329,0.764705882353,0.420415224913,0.336505190311
5,1,3,1156,0.956747404844,50.4058056629,49.7726238826,50.0926361448,0.531141868512,0.737024221453,0.40830449827,0.293252595156
5,1,4,1156,0.932525951557,50.4058056629,49.8417871675,50.1296179157,0.515570934256,0.711937716263,0.397058823529,0.281141868512
5,1,5,1156,1,50.4058056629,44.0743720871,47.3132332139,0.907439446367,0.961937716263,0.573529411765,0.388408304498
6,0,1,1198,1,58.4630691874,20.6067768215,48.9633275123,0.949081803005,1,0.723706176962,0.276293823038
6,0,2,1198,0.978297161937,58.4630691874,58.1273755042,58.6052677058,0.738731218698,0.781302170284,0.419031719533,0.36143572621
6,0,3,1198,0.943238731219,58.4630691874,58.1454365261,58.5096302225,0.506677796327,0.77796327212,0.418196994992,0.354757929883
6,0,4,1198,0.929048414023,58.4630691874,58.1634968285,58.5153419275,0.499165275459,0.75959933222,0.410684474124,0.343906510851
6,0,5,1198,0.996661101836,58.4630691874,54.9234662415,58.3963720415,0.866444073456,0.97245409015,0.535893155259,0.436560934891
6,1,1,1193,1,58.5735988218,20.5614710546,49.6808379594,0.953897736798,0.998323554065,0.715004191115,0.283319362951
6,1,2,1193,0.97820620285,58.5735988218,58.2758763004,58.7149539126,0.752724224644,0.823973176865,0.433361274099,0.38642078793
6,1,3,1193,0.976529756915,58.5735988218,58.340017546,58.5952934207,0.505448449288,0.780385582565,0.411567476949,0.341994970662
6,1,4,1193,0.962279966471,58.5735988218,58.351794228,58.5927620799,0.497066219614,0.758591785415,0.403185247276,0.328583403185
6,1,5,1193,1,58.5735988218,55.2441953118,59.0706413031,0.874266554904,0.98742665549,0.525565800503,0.461860854987
