condition,robot,frame,fused_record,near_target,actual_r,noage_r,actual_extracted,noage_extracted,reference_r,base_r,base_direction,actual_direction,extra_scalar,integral_change,negative_reversal,positive_reversal
reliable,1,20,True,True,0.7784091729364798,0.7641256191933384,True,True,0.5262209245537347,0.7739038661280839,1.125507376235564,1.151439749522662,0.02528661151418795,0.0006457617729100917,False,False
reliable,1,21,True,True,0.9190862115974582,0.9109122026816677,True,True,0.7706250812071151,0.9190862115964792,1.218151566493529,1.2181515665066929,1.2892178067488114e-11,2.717825964282383e-13,False,False
reliable,1,22,True,True,0.9797937037892,0.9771607411048086,True,True,0.9098953494814834,0.9797937037891885,1.5689899797542877,1.5689899797548665,5.709784584138981e-13,7.993605777301127e-15,False,False
reliable,1,23,True,True,0.9936098682738692,0.9929489852647643,True,True,0.969995766751308,0.9936098682738557,1.5706365330535137,1.5706365330556349,2.1194888280857246e-12,1.7763568394002505e-15,False,False
reliable,1,24,True,True,0.9968985719366519,0.9967468677919806,True,True,0.9836737695911305,0.9968985719366447,1.6742650953252323,1.6742650953275753,2.3235657717519036e-12,1.9539925233402755e-14,False,False
reliable,1,25,True,True,0.9973238301860681,0.997276692382006,True,True,0.9869295862172852,0.9973238301860583,1.5964414138800471,1.5964414138836729,3.5723719365669204e-12,5.3290705182007514e-14,False,False
reliable,1,26,True,True,0.9977261123327027,0.9977014967518651,True,True,0.9873505918842075,0.9977261123326945,1.7265730455634243,1.7265730455670347,3.6016217534679082e-12,8.881784197001252e-15,False,False
reliable,1,27,True,True,0.997805720905605,0.9977879039384208,True,True,0.9877488512093754,0.9978057209055997,1.7298962723123452,1.7298962723147309,2.3580262214149435e-12,2.7533531010703882e-14,False,False
reliable,1,28,True,True,0.9972417236172133,0.9972240270596996,True,True,0.987827663696549,0.9972417236172005,1.494044813727566,1.4940448137322024,4.563681230165684e-12,7.283063041541027e-14,False,False
reliable,1,29,True,True,0.9974934563366791,0.997477934466898,True,True,0.9872693063810412,0.9974934563366676,1.635413853418167,1.635413853422733,4.548994518354889e-12,1.687538997430238e-14,False,False
reliable,1,30,True,True,0.997590960241634,0.9975780464858102,True,True,0.9875185217733122,0.9975909602416212,1.655165655974118,1.6551656559793793,5.195717744657823e-12,6.572520305780927e-14,False,False
reliable,1,31,True,True,0.9975354741907847,0.9975249856760053,True,True,0.9876150506392176,0.9975354741907726,1.6244772689364266,1.624477268941322,4.827833989000898e-12,6.750155989720952e-14,False,False
reliable,1,32,True,True,0.9972525379412945,0.997243797608878,True,True,0.987560119448877,0.9972525379412762,1.519996547792017,1.5199965477987065,6.607735661394148e-12,8.171241461241152e-14,False,False
reliable,1,33,True,True,0.9974494598474307,0.997441842489129,True,True,0.9872800125618815,0.9974494598474091,1.6171171898502168,1.617117189858668,8.344715164279446e-12,1.0658141036401503e-13,False,False
reliable,1,34,True,True,0.9977434288994498,0.997736808186336,True,True,0.9874749652489564,0.997743428899446,1.7242279856743732,1.7242279856761253,1.7406568619589802e-12,1.1546319456101628e-14,False,False
reliable,1,35,True,True,0.9971853426199342,0.9971797921342311,True,True,0.9877659946104553,0.9971853426199067,1.4788696902676248,1.4788696902774456,9.701757556899227e-12,1.1901590823981678e-13,False,False
