sequence,condition,arm,frames,ospa,gospa,loc2,miss2,false2,countError,matched_sse,matched_support,raw_bytes,wire_bytes,runtime_s,maximum_bernoulli_count
0003,reliable,joint_evidence,198,6.532157232822889,16.33330080399818,13.011343298482625,212.36363636363637,94.18181818181819,2.823232323232323,5152.491946199125,2548,4133736,6702592,7.142451875,83
0003,reliable,joint_evidence_recency,198,6.559272336138775,16.396981597223675,12.737243214714804,214.1818181818182,94.18181818181819,2.8282828282828283,5043.9483130270655,2538,4148424,6702592,7.306711708333333,85
0003,intermittent,qualified_exist,198,6.890350751056643,16.96893482200332,14.51154733319976,239.63636363636363,87.0909090909091,3.1035353535353534,5746.572743947106,2398,4351464,7226880,7.2256495,120
0003,intermittent,joint_evidence,198,6.813571991049234,16.799992428397207,12.985387702015167,232.72727272727272,89.63636363636364,2.962121212121212,5142.213529998007,2436,3916872,6702592,5.8505455416666665,93
0003,intermittent,joint_evidence_recency,198,6.791066563542224,16.71259795658337,12.69274838277638,230.54545454545453,88.18181818181819,2.952020202020202,5026.328359579452,2448,3968064,6735360,6.021261666666667,97
0004,reliable,qualified_exist,180,5.158462418786463,24.516173557013545,63.042217307213285,315.6,229.6,2.3055555555555554,22695.198230596783,8218,5893200,8057856,40.168158166666664,160
0004,reliable,joint_evidence,180,5.031931238680033,24.032503164820394,61.09663560344964,280.8,242.4,2.077777777777778,21994.788817241846,8392,4801536,6353920,18.512283833333335,100
0004,reliable,joint_evidence_recency,180,5.031931571977938,24.032505716483975,61.09677448653458,280.8,242.4,2.077777777777778,21994.838815152463,8392,4800888,6353920,18.526745666666667,100
0004,intermittent,qualified_exist,180,5.023765254790169,23.983741135467753,64.18376881511573,306.2,213.0,2.066666666666667,23106.156773441646,8265,5932296,8205312,31.138241416666666,138
0004,intermittent,joint_evidence,180,4.969455016246985,23.66635716416643,62.260910443158195,291.0,214.0,2.036111111111111,22413.927759536946,8341,5164416,7484416,20.541799166666667,107
0004,intermittent,joint_evidence_recency,180,4.963129852683538,23.599994543470814,62.99917697129752,290.2,211.2,2.0527777777777776,22679.703709667105,8345,5172840,7451648,20.75041304166667,107
0005,reliable,qualified_exist,310,4.589181245898201,14.737857962499572,21.253086239168155,122.4,104.0516129032258,1.403225806451613,13176.91346828425,8588,9994720,14775808,22.148987291666668,137
0005,reliable,joint_evidence,310,4.666408358103095,14.959751335156708,22.04580415984736,112.87741935483871,114.50322580645161,1.467741935483871,13668.398579105371,8670,8760928,14120448,18.534666,115
0005,reliable,joint_evidence_recency,310,4.663435689923407,14.948095566404751,21.53008855722173,112.18064516129033,115.2,1.461290322580645,13348.654905477488,8676,8714920,14169600,18.41071125,116
0005,intermittent,qualified_exist,310,4.941829011926245,15.711997696482376,25.326318550848264,143.76774193548388,111.83225806451613,1.5467741935483872,15702.317501525944,8404,9628600,14857728,19.679522583333334,142
0005,intermittent,joint_evidence,310,4.9898713583819765,15.948502639447739,24.320586027500653,144.46451612903226,118.33548387096774,1.5983870967741935,15078.7633370504,8398,8966560,14546432,17.299571,118
0005,intermittent,joint_evidence_recency,310,5.0014063678876255,15.977231177374502,24.898585584536107,144.3483870967742,117.98709677419355,1.6048387096774193,15437.123062412391,8399,8834800,14398976,17.072048333333335,117
0006,reliable,qualified_exist,304,6.393488340804606,12.871222225323878,2.6697504826480256,63.94736842105263,131.92105263157896,1.6414473684210527,1623.20829345,3482,4909264,10579968,9.959889291666666,93
0006,reliable,joint_evidence,304,6.495225703769131,13.016169369263865,4.070343967025592,53.76315789473684,140.21052631578948,1.700657894736842,2474.7691319515607,3568,4255000,10137600,8.183869958333334,84
0006,reliable,joint_evidence_recency,304,6.465419690882798,12.958080403782748,4.070487145551243,53.76315789473684,139.26315789473685,1.694078947368421,2474.8561844951573,3568,4260400,10137600,8.217527291666666,84
0006,intermittent,qualified_exist,304,6.209741632231192,12.480734143112722,2.5922344980103706,63.0,123.51315789473684,1.449013157894737,1576.0785747903049,3490,5076664,10891264,9.502478041666667,104
0006,intermittent,joint_evidence,304,6.442325483228596,13.006973214952854,3.1808813647307383,56.01315789473684,139.14473684210526,1.625,1933.9758697562872,3549,4421320,10285056,7.858149375,87
0006,intermittent,joint_evidence_recency,304,6.432341862913711,12.976182887723605,3.321757033491776,56.723684210526315,137.60526315789474,1.6200657894736843,2019.6282763630002,3543,4493896,10317824,8.02585,87
0007,reliable,qualified_exist,221,4.267143711232083,12.813073893752282,19.828090185680505,76.56108597285068,92.85067873303167,1.3665158371040724,8764.015862070784,5474,6834128,10427648,12.796350291666666,178
0007,reliable,joint_evidence,221,4.243388205997585,12.81088639687877,18.738140655567534,59.294117647058826,110.44343891402715,1.4253393665158371,8282.258169760862,5580,5990648,10050816,10.747759625,156
0007,reliable,joint_evidence_recency,221,4.1505533338804055,12.639254192773624,17.414814767356074,65.4841628959276,102.9502262443439,1.262443438914027,7697.348127171381,5542,6061064,10165504,11.019645833333334,162
0007,intermittent,qualified_exist,221,4.823202479355385,14.866069082198884,40.269171358710686,133.08597285067873,107.34841628959276,1.8642533936651584,17798.97374055013,5127,7718648,11246848,11.298358291666666,173
0007,intermittent,joint_evidence,221,4.588462263185562,14.290995778201328,37.85879614887755,130.47963800904978,102.62443438914028,1.830316742081448,16733.587897803885,5143,6186344,9821440,8.680771125,144
0007,intermittent,joint_evidence_recency,221,4.664685292380572,14.549696781370889,37.97050099413259,133.24886877828055,105.06787330316742,1.8212669683257918,16782.961439406594,5126,6386144,9837824,9.072042583333333,145
0008,reliable,qualified_exist,375,0.8646858443030389,2.827351581019581,3.083221317987942,9.024,8.064,0.22133333333333333,2312.41598849096,10688,7884888,12646144,21.59641225,87
0008,reliable,joint_evidence,375,0.8495234647818265,2.781500235701476,2.6927974571874116,7.488,8.448,0.2,2019.5980928905574,10704,7363680,12384000,18.223296291666667,65
0008,reliable,joint_evidence_recency,375,0.849523467404468,2.7815002462586635,2.692797557486166,7.488,8.448,0.2,2019.598168114623,10704,7345968,12384000,18.19372308333333,65
0008,intermittent,qualified_exist,375,0.973572067234988,3.117017147745782,3.1727751024057205,11.712,8.256,0.2613333333333333,2379.5813268042903,10660,9481560,13580032,20.276013333333335,88
0008,intermittent,joint_evidence,375,0.9329523372874079,3.00686189488217,2.7840571582032436,9.6,8.544,0.23066666666666666,2088.042868652434,10682,8860992,12957440,17.348016625,82
0008,intermittent,joint_evidence_recency,375,0.9329523394351618,3.0068619051376553,2.784057313148886,9.6,8.544,0.23066666666666666,2088.0429848616623,10682,8826432,12957440,17.330471458333335,82
