dataset,cohort,split,sequence,scene,recording,geometry,condition,arm,frames,ospa,gospa,loc2,miss2,false2,countError
v2v,seen_transfer,train,0003,testoutput_CAV_data_2022-03-15-10-09-50_0,testoutput_CAV_data_2022-03-15-10-09-50,all,reliable,marked_er,1244,1.6412126094247887,2.494318832717412,1.0811179993505677,5.729903536977492,13.080385852090032,0.24678456591639872
v2v,seen_transfer,train,0003,testoutput_CAV_data_2022-03-15-10-09-50_0,testoutput_CAV_data_2022-03-15-10-09-50,all,reliable,marked_gaussian_evidence,1244,1.5522735713547935,2.292307033785961,0.9539751087813962,6.771704180064309,9.434083601286174,0.21382636655948553
v2v,seen_transfer,train,0003,testoutput_CAV_data_2022-03-15-10-09-50_0,testoutput_CAV_data_2022-03-15-10-09-50,all,reliable,marked_gaussian_evidence_fixed_025,1244,1.6317369423302674,2.439448018498997,0.9770050422739129,6.077170418006431,11.864951768488746,0.24115755627009647
v2v,seen_transfer,train,0003,testoutput_CAV_data_2022-03-15-10-09-50_0,testoutput_CAV_data_2022-03-15-10-09-50,all,reliable,marked_gaussian_evidence_fixedx_000,1244,1.5210213303734539,2.260619853682534,0.8958576535190893,6.655948553054662,9.086816720257234,0.2090032154340836
v2v,seen_transfer,train,0003,testoutput_CAV_data_2022-03-15-10-09-50_0,testoutput_CAV_data_2022-03-15-10-09-50,all,reliable,marked_gaussian_evidence_guarded_scalar,1244,1.5223304444493584,2.2656115650148028,0.9707263939034079,6.771704180064309,9.260450160771704,0.21141479099678456
v2v,seen_transfer,train,0003,testoutput_CAV_data_2022-03-15-10-09-50_0,testoutput_CAV_data_2022-03-15-10-09-50,all,reliable,marked_gaussian_evidence_no_curvature,1244,1.54602578887809,2.2837728201009178,0.9643662155100986,6.713826366559486,9.37620578778135,0.21221864951768488
v2v,seen_transfer,train,0003,testoutput_CAV_data_2022-03-15-10-09-50_0,testoutput_CAV_data_2022-03-15-10-09-50,all,reliable,marked_gaussian_evidence_projected_space,1244,1.5568885323601729,2.2987709874105007,0.9539563208245493,6.771704180064309,9.491961414790996,0.21463022508038584
v2v,seen_transfer,train,0003,testoutput_CAV_data_2022-03-15-10-09-50_0,testoutput_CAV_data_2022-03-15-10-09-50,all,reliable,marked_lineage,1244,1.577093283275863,2.3872884773441863,0.9143465968064992,6.2508038585209,11.517684887459808,0.23392282958199356
v2v,seen_transfer,train,0004,testoutput_CAV_data_2022-03-15-10-09-50_2,testoutput_CAV_data_2022-03-15-10-09-50,all,intermittent,marked_asymmetric,133,3.02072903918774,3.6427042989200498,1.6206211944425144,25.984962406015036,5.954887218045113,0.2781954887218045
v2v,seen_transfer,train,0004,testoutput_CAV_data_2022-03-15-10-09-50_2,testoutput_CAV_data_2022-03-15-10-09-50,all,intermittent,marked_er,133,2.873699644961336,3.486418442454257,1.237496477946858,24.360902255639097,5.954887218045113,0.2556390977443609
v2v,seen_transfer,train,0004,testoutput_CAV_data_2022-03-15-10-09-50_2,testoutput_CAV_data_2022-03-15-10-09-50,all,intermittent,marked_gaussian_evidence,133,3.0016782698472215,3.542372292135308,1.197892471817824,25.44360902255639,4.87218045112782,0.3007518796992481
v2v,seen_transfer,train,0004,testoutput_CAV_data_2022-03-15-10-09-50_2,testoutput_CAV_data_2022-03-15-10-09-50,all,intermittent,marked_gaussian_evidence_fixed_025,133,2.9255668476377705,3.4636978879232996,1.2285128515751353,25.172932330827066,4.330827067669173,0.2894736842105263
v2v,seen_transfer,train,0004,testoutput_CAV_data_2022-03-15-10-09-50_2,testoutput_CAV_data_2022-03-15-10-09-50,all,intermittent,marked_gaussian_evidence_fixedx_000,133,3.1233333630150573,3.6782708086816824,1.2262936795761235,27.06766917293233,4.87218045112782,0.3082706766917293
v2v,seen_transfer,train,0004,testoutput_CAV_data_2022-03-15-10-09-50_2,testoutput_CAV_data_2022-03-15-10-09-50,all,intermittent,marked_gaussian_evidence_guarded_scalar,133,3.0100967906856284,3.649070812378417,1.227568754348172,25.984962406015036,6.496240601503759,0.2706766917293233
v2v,seen_transfer,train,0004,testoutput_CAV_data_2022-03-15-10-09-50_2,testoutput_CAV_data_2022-03-15-10-09-50,all,intermittent,marked_gaussian_evidence_no_curvature,133,3.0123547826542914,3.614718072154265,1.59317919075431,25.44360902255639,5.954887218045113,0.2857142857142857
v2v,seen_transfer,train,0004,testoutput_CAV_data_2022-03-15-10-09-50_2,testoutput_CAV_data_2022-03-15-10-09-50,all,intermittent,marked_gaussian_evidence_projected_space,133,3.0016785009687186,3.5423728738109883,1.1979033916767825,25.44360902255639,4.87218045112782,0.3007518796992481
v2v,seen_transfer,train,0004,testoutput_CAV_data_2022-03-15-10-09-50_2,testoutput_CAV_data_2022-03-15-10-09-50,all,intermittent,marked_lineage,133,3.1233330034736673,3.7044816152925164,1.226288317675554,27.06766917293233,5.413533834586466,0.3007518796992481
v2v,seen_transfer,train,0004,testoutput_CAV_data_2022-03-15-10-09-50_2,testoutput_CAV_data_2022-03-15-10-09-50,all,reliable,marked_asymmetric,133,3.7437542875601304,4.1503890908266285,1.6310134771643303,29.774436090225564,6.496240601503759,0.3383458646616541
v2v,seen_transfer,train,0004,testoutput_CAV_data_2022-03-15-10-09-50_2,testoutput_CAV_data_2022-03-15-10-09-50,all,reliable,marked_er,133,3.2952889706135196,3.88893303932645,1.277146963915836,26.526315789473685,8.661654135338345,0.2781954887218045
v2v,seen_transfer,train,0004,testoutput_CAV_data_2022-03-15-10-09-50_2,testoutput_CAV_data_2022-03-15-10-09-50,all,reliable,marked_gaussian_evidence,133,3.6327767482799573,3.9703391222375717,1.200798940049165,29.23308270676692,4.87218045112782,0.3383458646616541
v2v,seen_transfer,train,0004,testoutput_CAV_data_2022-03-15-10-09-50_2,testoutput_CAV_data_2022-03-15-10-09-50,all,reliable,marked_gaussian_evidence_fixed_025,133,3.5133395731534645,4.017993402150835,1.2620082526511538,28.150375939849624,7.578947368421052,0.3007518796992481
v2v,seen_transfer,train,0004,testoutput_CAV_data_2022-03-15-10-09-50_2,testoutput_CAV_data_2022-03-15-10-09-50,all,reliable,marked_gaussian_evidence_fixedx_000,133,3.8437691998364802,4.245925351212477,1.2388485809734022,30.857142857142858,7.037593984962406,0.3458646616541353
v2v,seen_transfer,train,0004,testoutput_CAV_data_2022-03-15-10-09-50_2,testoutput_CAV_data_2022-03-15-10-09-50,all,reliable,marked_gaussian_evidence_guarded_scalar,133,3.733127725106177,4.182986278952472,1.2381699588836044,29.774436090225564,7.578947368421052,0.3233082706766917
v2v,seen_transfer,train,0004,testoutput_CAV_data_2022-03-15-10-09-50_2,testoutput_CAV_data_2022-03-15-10-09-50,all,reliable,marked_gaussian_evidence_no_curvature,133,3.6808262701026075,4.067056958702264,1.5959073550531655,29.23308270676692,5.954887218045113,0.3383458646616541
v2v,seen_transfer,train,0004,testoutput_CAV_data_2022-03-15-10-09-50_2,testoutput_CAV_data_2022-03-15-10-09-50,all,reliable,marked_gaussian_evidence_projected_space,133,3.6327772570387706,3.970339944291514,1.200810022112337,29.23308270676692,4.87218045112782,0.3383458646616541
v2v,seen_transfer,train,0004,testoutput_CAV_data_2022-03-15-10-09-50_2,testoutput_CAV_data_2022-03-15-10-09-50,all,reliable,marked_lineage,133,3.2582476292630123,3.8453920729977824,1.280690328593694,27.06766917293233,7.037593984962406,0.2932330827067669
v2v,previous_train_probes,train,0005,testoutput_CAV_data_2022-03-15-10-29-43_0,testoutput_CAV_data_2022-03-15-10-29-43,all,intermittent,marked_asymmetric,217,5.3388461505211495,11.84933893730903,9.269406280255463,97.71428571428571,51.76036866359447,1.043778801843318
v2v,previous_train_probes,train,0005,testoutput_CAV_data_2022-03-15-10-29-43_0,testoutput_CAV_data_2022-03-15-10-29-43,all,intermittent,marked_er,217,5.319733009153338,11.968629600879165,11.66452548048834,89.41935483870968,58.3963133640553,1.0069124423963134
v2v,previous_train_probes,train,0005,testoutput_CAV_data_2022-03-15-10-29-43_0,testoutput_CAV_data_2022-03-15-10-29-43,all,intermittent,marked_gaussian_evidence,217,5.410700286657091,12.08397885478145,9.585408941423012,96.0552995391705,55.74193548387097,1.0253456221198156
v2v,previous_train_probes,train,0005,testoutput_CAV_data_2022-03-15-10-29-43_0,testoutput_CAV_data_2022-03-15-10-29-43,all,intermittent,marked_gaussian_evidence_fixed_025,217,5.4086825852403955,12.526196310843002,11.556107241078701,92.40552995391705,71.66820276497695,0.8963133640552995
v2v,previous_train_probes,train,0005,testoutput_CAV_data_2022-03-15-10-29-43_0,testoutput_CAV_data_2022-03-15-10-29-43,all,intermittent,marked_gaussian_evidence_fixedx_000,217,5.393949530077174,12.171124639825992,10.804558516298787,96.88479262672811,56.23963133640553,1.0115207373271888
v2v,previous_train_probes,train,0005,testoutput_CAV_data_2022-03-15-10-29-43_0,testoutput_CAV_data_2022-03-15-10-29-43,all,intermittent,marked_gaussian_evidence_guarded_scalar,217,5.418315769903196,12.091008640472895,9.362749953957028,97.21658986175115,55.244239631336406,1.0391705069124424
v2v,previous_train_probes,train,0005,testoutput_CAV_data_2022-03-15-10-29-43_0,testoutput_CAV_data_2022-03-15-10-29-43,all,intermittent,marked_gaussian_evidence_no_curvature,217,5.328024610835234,11.848392746044594,9.361450686620191,96.88479262672811,51.76036866359447,1.0276497695852536
v2v,previous_train_probes,train,0005,testoutput_CAV_data_2022-03-15-10-29-43_0,testoutput_CAV_data_2022-03-15-10-29-43,all,intermittent,marked_gaussian_evidence_projected_space,217,5.41065181048225,12.075450235978925,9.581842945877012,96.0552995391705,55.41013824884793,1.0299539170506913
