sequence,dataset,recording,condition,arm,frames,ospa,gospa,loc2,miss2,false2,countError,raw_bytes,delivered_raw_bytes,wire_bytes,runtime_s,reused
0004,v2v_development,testoutput_CAV_data_2022-03-17-10-50-46,reliable,marked_gaussian_evidence_miss_half,180,4.995718524326528,20.612943870193163,61.31360842313832,330.4,50.4,3.888888888888889,10825664,10825664,14251008,87.78253058333334,False
0004,v2v_development,testoutput_CAV_data_2022-03-17-10-50-46,intermittent,marked_gaussian_evidence,180,5.157977066480075,21.18528848483337,57.55235961007309,354.8,53.2,4.188888888888889,10893952,8055264,13792256,50.62067745833333,True
0004,v2v_development,testoutput_CAV_data_2022-03-17-10-50-46,intermittent,marked_gaussian_evidence_miss_history,180,5.163710482496271,21.21123241160169,57.164555212001545,356.2,53.6,4.2027777777777775,10877760,8051392,13775872,46.908153,False
0004,v2v_development,testoutput_CAV_data_2022-03-17-10-50-46,intermittent,marked_gaussian_evidence_miss_half,180,5.162115788790978,21.221502430016223,57.13059177055985,355.2,54.2,4.180555555555555,11167808,8283008,13939712,49.945208791666666,False
0005,v2v_development,testoutput_CAV_data_2022-03-17-11-02-23,reliable,marked_gaussian_evidence,310,4.586088315855473,14.251478335838836,15.330175384587886,132.38709677419354,82.68387096774194,1.6516129032258065,14998496,14998496,20461056,39.93749458333333,True
0005,v2v_development,testoutput_CAV_data_2022-03-17-11-02-23,reliable,marked_gaussian_evidence_miss_history,310,4.620077248154247,14.30474219041472,15.765368310594967,131.45806451612904,83.84516129032258,1.6483870967741936,15267776,15267776,20723200,40.332514333333336,False
0005,v2v_development,testoutput_CAV_data_2022-03-17-11-02-23,reliable,marked_gaussian_evidence_miss_half,310,4.609057239652844,14.115526487289,14.65742858941103,132.15483870967742,77.34193548387097,1.7096774193548387,15454336,15454336,20919808,43.95129754166667,False
0005,v2v_development,testoutput_CAV_data_2022-03-17-11-02-23,intermittent,marked_gaussian_evidence,310,5.011448071101461,15.427610468183165,17.89637976548887,163.74193548387098,88.02580645161291,1.7903225806451613,14860864,11326464,20559360,37.03122116666667,True
0005,v2v_development,testoutput_CAV_data_2022-03-17-11-02-23,intermittent,marked_gaussian_evidence_miss_history,310,5.005277773544449,15.396865238618483,17.846505127629808,162.11612903225807,88.49032258064516,1.7774193548387096,14984416,11457408,20690432,36.156581,False
0005,v2v_development,testoutput_CAV_data_2022-03-17-11-02-23,intermittent,marked_gaussian_evidence_miss_half,310,5.026834620022235,15.47145555291694,17.914805284016566,163.39354838709679,89.18709677419355,1.7661290322580645,15010112,11474304,20739584,36.1023285,False
0006,v2v_development,testoutput_CAV_data_2022-03-17-11-02-23,reliable,marked_gaussian_evidence,304,5.4765182937340855,10.770003801373571,4.905353438209171,64.65789473684211,80.52631578947368,1.1151315789473684,7949312,7949312,13021184,19.926077166666666,True
0006,v2v_development,testoutput_CAV_data_2022-03-17-11-02-23,reliable,marked_gaussian_evidence_miss_history,304,5.655211787485705,11.041386727906715,5.437525297111015,62.76315789473684,86.92105263157895,1.2105263157894737,7834208,7834208,12873728,18.164739208333334,False
0006,v2v_development,testoutput_CAV_data_2022-03-17-11-02-23,reliable,marked_gaussian_evidence_miss_half,304,5.692012538498615,11.07045280594881,2.9204707874915394,61.578947368421055,89.05263157894737,1.2039473684210527,7859904,7859904,13037568,17.187171666666668,False
0006,v2v_development,testoutput_CAV_data_2022-03-17-11-02-23,intermittent,marked_gaussian_evidence,304,5.547432849060025,10.922876787450804,2.32710535462426,66.07894736842105,87.51315789473684,1.2351973684210527,7543104,5880832,12660736,16.29348325,True
0006,v2v_development,testoutput_CAV_data_2022-03-17-11-02-23,intermittent,marked_gaussian_evidence_miss_history,304,5.579903028399545,11.045708833805437,2.6145906354585837,66.4342105263158,92.01315789473684,1.3125,7617728,5939968,12693504,14.143800833333334,False
0006,v2v_development,testoutput_CAV_data_2022-03-17-11-02-23,intermittent,marked_gaussian_evidence_miss_half,304,5.5315627966688075,10.969214373046178,2.678743445489209,63.828947368421055,90.94736842105263,1.1891447368421053,8201696,6467616,13234176,15.101116083333334,False
0007,v2v_development,testoutput_CAV_data_2022-03-17-11-51-42,reliable,marked_gaussian_evidence,221,2.889940560312305,8.985144534339545,10.539414288708471,67.76470588235294,45.61085972850679,0.9864253393665159,8754304,8754304,12754176,19.900164625,True
0007,v2v_development,testoutput_CAV_data_2022-03-17-11-51-42,reliable,marked_gaussian_evidence_miss_history,221,2.874079009303864,8.87958468295667,11.435543206742242,64.83257918552036,43.65610859728507,0.9909502262443439,8692352,8692352,12606720,18.466159416666667,False
