sequence,recording,condition,arm,frames,ospa,gospa,loc2,miss2,false2,countError
0000,testoutput_CAV_data_2022-03-15-09-54-40,intermittent,marked_gaussian_evidence_fixedx_125,147,2.4951673266420635,3.105335150004241,1.225751381503023,15.673469387755102,7.1020408163265305,0.2755102040816326
0001,testoutput_CAV_data_2022-03-15-10-29-43,reliable,marked_gaussian_evidence_decoupled_all,114,4.037052219940125,3.922039199844553,0.86152246384984,18.94736842105263,16.42105263157895,0.45614035087719296
0001,testoutput_CAV_data_2022-03-15-10-29-43,reliable,marked_gaussian_evidence_decoupled_positive,114,4.037052225727778,3.9220392071945795,0.8615224587847625,18.94736842105263,16.42105263157895,0.45614035087719296
0001,testoutput_CAV_data_2022-03-15-10-29-43,reliable,marked_gaussian_evidence_decoupled_negative,114,4.037052219940125,3.922039199844553,0.86152246384984,18.94736842105263,16.42105263157895,0.45614035087719296
0001,testoutput_CAV_data_2022-03-15-10-29-43,reliable,marked_gaussian_evidence_decoupled_consensus,114,4.037052225215608,3.9220392073103456,0.8615224730756019,18.94736842105263,16.42105263157895,0.45614035087719296
0001,testoutput_CAV_data_2022-03-15-10-29-43,reliable,marked_gaussian_evidence_fixedx_000,114,4.005978622651717,3.976345713640529,0.8715092288228916,21.473684210526315,14.526315789473685,0.4649122807017544
0001,testoutput_CAV_data_2022-03-15-10-29-43,reliable,marked_gaussian_evidence_fixedx_050,114,4.426765019367259,4.273746666536951,0.8669022334047393,21.473684210526315,17.05263157894737,0.5
0001,testoutput_CAV_data_2022-03-15-10-29-43,reliable,marked_gaussian_evidence_fixedx_100,114,4.530436828971985,4.346180236413562,0.8661263761584101,21.473684210526315,17.68421052631579,0.5087719298245614
0001,testoutput_CAV_data_2022-03-15-10-29-43,reliable,marked_gaussian_evidence_fixedx_125,114,4.5301932294153735,4.345909661262858,0.8653565220487264,21.473684210526315,17.68421052631579,0.5087719298245614
0001,testoutput_CAV_data_2022-03-15-10-29-43,intermittent,marked_gaussian_evidence_decoupled_all,114,4.49138816942266,4.352179450119045,0.8622860167072777,18.94736842105263,22.105263157894736,0.5350877192982456
0001,testoutput_CAV_data_2022-03-15-10-29-43,intermittent,marked_gaussian_evidence_decoupled_positive,114,4.491388169980095,4.352179450052706,0.862286002902925,18.94736842105263,22.105263157894736,0.5350877192982456
