cohort,sequence,condition,rule,frames,changed_robot_frames,ospa,gospa,loc2,miss2,false2,countError
development,0004,intermittent,restore_negative_scalar,180,13,5.1719554764801146,21.207133289954463,57.094820375358466,357.4,52.2,4.238888888888889
development,0005,reliable,original,310,0,4.586088315855473,14.251478335838836,15.330175384587886,132.38709677419354,82.68387096774194,1.6516129032258065
development,0005,reliable,restore_all_scalar,310,36,4.587244052204517,14.209231861466458,15.04964461151642,134.4774193548387,79.89677419354838,1.6806451612903226
development,0005,reliable,restore_positive_scalar,310,2,4.583868763144471,14.246630748582474,15.384210463934975,132.15483870967742,82.68387096774194,1.6483870967741936
development,0005,reliable,restore_negative_scalar,310,34,4.589463604915521,14.214079448722819,14.995609532169329,134.70967741935485,79.89677419354838,1.6838709677419355
development,0005,intermittent,original,310,0,5.011448071101461,15.427610468183165,17.89637976548887,163.74193548387098,88.02580645161291,1.7903225806451613
development,0005,intermittent,restore_all_scalar,310,32,5.017210893198104,15.446071486161369,17.573569996383615,166.29677419354837,86.16774193548387,1.7967741935483872
development,0005,intermittent,restore_positive_scalar,310,0,5.011448071101461,15.427610468183165,17.89637976548887,163.74193548387098,88.02580645161291,1.7903225806451613
development,0005,intermittent,restore_negative_scalar,310,32,5.017210893198104,15.446071486161369,17.573569996383615,166.29677419354837,86.16774193548387,1.7967741935483872
development,0006,reliable,original,304,0,5.4765182937340855,10.770003801373571,4.905353438209171,64.65789473684211,80.52631578947368,1.1151315789473684
development,0006,reliable,restore_all_scalar,304,12,5.477158530948744,10.774645749605558,4.9018951685038905,65.13157894736842,80.28947368421052,1.125
development,0006,reliable,restore_positive_scalar,304,2,5.492959387725264,10.795532582726175,4.905353438209171,64.65789473684211,80.76315789473684,1.118421052631579
development,0006,reliable,restore_negative_scalar,304,10,5.460717436957564,10.749116968252954,4.9018951685038905,65.13157894736842,80.05263157894737,1.1217105263157894
development,0006,intermittent,original,304,0,5.547432849060025,10.922876787450804,2.32710535462426,66.07894736842105,87.51315789473684,1.2351973684210527
development,0006,intermittent,restore_all_scalar,304,4,5.547615709443649,10.914702242040567,2.324469166664125,66.3157894736842,87.03947368421052,1.238486842105263
development,0006,intermittent,restore_positive_scalar,304,0,5.547432849060025,10.922876787450804,2.32710535462426,66.07894736842105,87.51315789473684,1.2351973684210527
development,0006,intermittent,restore_negative_scalar,304,4,5.547615709443649,10.914702242040567,2.324469166664125,66.3157894736842,87.03947368421052,1.238486842105263
development,0007,reliable,original,221,0,2.889940560312305,8.985144534339545,10.539414288708471,67.76470588235294,45.61085972850679,0.9864253393665159
development,0007,reliable,restore_all_scalar,221,8,2.891993401562045,8.999393914232197,10.59783751821481,67.76470588235294,45.93665158371041,0.9819004524886877
development,0007,reliable,restore_positive_scalar,221,4,2.8844810582417,8.971122237654068,10.60021885017507,67.1131221719457,45.61085972850679,0.9773755656108597
development,0007,reliable,restore_negative_scalar,221,4,2.89745290363265,9.013416210917672,10.537032956748213,68.41628959276018,45.93665158371041,0.9909502262443439
development,0007,intermittent,original,221,0,3.6677597469572776,12.074982670543115,29.543906028110236,144.81447963800906,68.90497737556561,1.4298642533936652
development,0007,intermittent,restore_all_scalar,221,4,3.668912285000927,12.075596215129913,29.594663054841522,144.81447963800906,68.90497737556561,1.4298642533936652
development,0007,intermittent,restore_positive_scalar,221,2,3.6647297942935237,12.066600236625556,29.59616025374791,144.48868778280544,68.90497737556561,1.4253393665158371
development,0007,intermittent,restore_negative_scalar,221,2,3.67194223766468,12.08397864904747,29.542408829203847,145.14027149321268,68.90497737556561,1.4343891402714932
development,0008,reliable,original,375,0,0.8301047827587411,2.7159118729812035,2.8174220302493196,5.952,9.6,0.20533333333333334
development,0008,reliable,restore_all_scalar,375,2,0.8373171633031408,2.7337102077491617,2.817237400051817,6.144,9.6,0.208
development,0008,reliable,restore_positive_scalar,375,0,0.8301047827587411,2.7159118729812035,2.8174220302493196,5.952,9.6,0.20533333333333334
development,0008,reliable,restore_negative_scalar,375,2,0.8373171633031408,2.7337102077491617,2.817237400051817,6.144,9.6,0.208
development,0008,intermittent,original,375,0,0.9903393894133941,3.141434803827554,2.9417421509378885,9.888,9.888,0.264
development,0008,intermittent,restore_all_scalar,375,2,0.9975693277599365,3.1592928806238865,2.94151977992741,10.08,9.888,0.26666666666666666
development,0008,intermittent,restore_positive_scalar,375,0,0.9903393894133941,3.141434803827554,2.9417421509378885,9.888,9.888,0.264
development,0008,intermittent,restore_negative_scalar,375,2,0.9975693277599365,3.1592928806238865,2.94151977992741,10.08,9.888,0.26666666666666666
