sequence,condition,truth_id,frame,robot,arm,preprune_components,retained_components,sum_r,max_r,probability_effective_count,born_in_last_ten_frames,total_retained_components,matched
v2xt_0001,reliable,5,36,1,marked_gaussian_evidence,1,1,0.9973918785905362,0.9973918785905362,1.0,0,99,True
v2xt_0001,reliable,5,36,2,marked_gaussian_evidence,1,1,0.9973918785905362,0.9973918785905362,1.0,0,99,True
v2xt_0001,reliable,5,37,1,marked_gaussian_evidence,1,1,0.9978393981446194,0.9978393981446194,1.0,0,102,True
v2xt_0001,reliable,5,37,2,marked_gaussian_evidence,1,1,0.9978393981446194,0.9978393981446194,1.0,0,102,True
v2xt_0001,reliable,5,38,1,marked_gaussian_evidence,1,1,0.9975103993123313,0.9975103993123313,1.0,0,101,True
v2xt_0001,reliable,5,38,2,marked_gaussian_evidence,1,1,0.9975103993123313,0.9975103993123313,1.0,0,101,True
v2xt_0001,reliable,5,39,1,marked_gaussian_evidence,1,1,0.9974737889450377,0.9974737889450377,1.0,0,106,True
v2xt_0001,reliable,5,39,2,marked_gaussian_evidence,1,1,0.9974737889450377,0.9974737889450377,1.0,0,106,True
v2xt_0001,reliable,5,40,1,marked_gaussian_evidence,1,1,0.9976942914130486,0.9976942914130486,1.0,0,105,True
v2xt_0001,reliable,5,40,2,marked_gaussian_evidence,1,1,0.9976942914130486,0.9976942914130486,1.0,0,105,True
v2xt_0001,reliable,5,41,1,marked_gaussian_evidence,1,1,0.9972718322276465,0.9972718322276465,1.0,0,110,True
v2xt_0001,reliable,5,41,2,marked_gaussian_evidence,1,1,0.9972718322276465,0.9972718322276465,1.0,0,110,True
v2xt_0001,reliable,5,42,1,marked_gaussian_evidence,1,1,0.9972996221416118,0.9972996221416118,1.0,0,109,True
v2xt_0001,reliable,5,42,2,marked_gaussian_evidence,1,1,0.9972996221416118,0.9972996221416118,1.0,0,109,True
v2xt_0001,reliable,5,43,1,marked_gaussian_evidence,1,1,0.997541712660661,0.997541712660661,1.0,0,116,True
v2xt_0001,reliable,5,43,2,marked_gaussian_evidence,1,1,0.997541712660661,0.997541712660661,1.0,0,116,True
v2xt_0001,reliable,5,44,1,marked_gaussian_evidence,1,1,0.9977357808490572,0.9977357808490572,1.0,0,114,True
v2xt_0001,reliable,5,44,2,marked_gaussian_evidence,1,1,0.9977357808490572,0.9977357808490572,1.0,0,114,True
v2xt_0001,reliable,5,45,1,marked_gaussian_evidence,1,1,0.9827572357561368,0.9827572357561368,1.0,0,122,True
v2xt_0001,reliable,5,45,2,marked_gaussian_evidence,1,1,0.9827572357561368,0.9827572357561368,1.0,0,122,True
v2xt_0001,reliable,5,46,1,marked_gaussian_evidence,1,1,0.9577436130725089,0.9577436130725089,1.0,0,121,True
v2xt_0001,reliable,5,46,2,marked_gaussian_evidence,1,1,0.9577436130725089,0.9577436130725089,1.0,0,121,True
v2xt_0001,reliable,5,47,1,marked_gaussian_evidence,1,1,0.9169979419645273,0.9169979419645273,1.0,0,128,True
v2xt_0001,reliable,5,47,2,marked_gaussian_evidence,1,1,0.9169979419645273,0.9169979419645273,1.0,0,128,True
v2xt_0001,reliable,5,48,1,marked_gaussian_evidence,2,2,0.8514909241008599,0.8495927401752679,1.0044684337814394,1,127,True
v2xt_0001,reliable,5,48,2,marked_gaussian_evidence,2,2,0.8514909241008599,0.8495927401752679,1.0044684337814394,1,127,True
v2xt_0001,reliable,5,49,1,marked_gaussian_evidence,2,2,0.79130718225975,0.7893177199098065,1.0050409351294438,1,134,True
v2xt_0001,reliable,5,49,2,marked_gaussian_evidence,2,2,0.79130718225975,0.7893177199098065,1.0050409351294438,1,134,True
v2xt_0001,reliable,5,50,1,marked_gaussian_evidence,2,2,0.6607077045271551,0.6587348997038929,1.0059896238383734,1,133,True
v2xt_0001,reliable,5,50,2,marked_gaussian_evidence,2,2,0.6607077045271551,0.6587348997038929,1.0059896238383734,1,133,True
v2xt_0001,reliable,5,51,1,marked_gaussian_evidence,2,2,0.5405095217423036,0.5384382352847037,1.0076935688108088,1,141,True
v2xt_0001,reliable,5,51,2,marked_gaussian_evidence,2,2,0.5405095217423036,0.5384382352847037,1.0076935688108088,1,141,True
v2xt_0001,reliable,5,52,1,marked_gaussian_evidence,2,2,0.39754157772651877,0.3953932697434879,1.0108663688969184,1,139,True
v2xt_0001,reliable,5,52,2,marked_gaussian_evidence,2,2,0.39754157772651877,0.3953932697434879,1.0108663688969184,1,139,True
v2xt_0001,reliable,5,53,1,marked_gaussian_evidence,3,3,0.26517299291289514,0.261401544575907,1.0289507510363471,2,131,False
