state,source_1,source_2,kla,mil
-5.92,0.005615983595990969,2.105163509180845e-18,9.78770791244118e-09,0.0028079917979954854
-5.91,0.005782098885669473,2.3014587032049954e-18,1.0384115717656327e-08,0.0028910494428347378
-5.9,0.005952532419775849,2.5158057769514047e-18,1.1015763624682308e-08,0.0029762662098879256
-5.89,0.006127376895823693,2.749841134365529e-18,1.168466506304987e-08,0.003063688447911848
-5.88,0.0063067263962659275,3.0053473160362048e-18,1.239294431415013e-08,0.003153363198132965
-5.87,0.006490676390993364,3.284265847597614e-18,1.3142842366982143e-08,0.003245338195496684
-5.859999999999999,0.006679323739202627,3.588711199488178e-18,1.393672306904749e-08,0.0033396618696013153
-5.85,0.006872766690613978,3.920985952564143e-18,1.4777079586480055e-08,0.0034363833453069912
-5.84,0.007071104886019449,4.283597271962648e-18,1.5666541188132572e-08,0.0035355524430097265
-5.83,0.007274439357141218,4.679274800143497e-18,1.6607880368992047e-08,0.0036372196785706113
-5.82,0.007482872525780553,5.110990089279766e-18,1.7604020328985783e-08,0.0037414362628902793
-5.8100000000000005,0.007696508202237312,5.581977703158699e-18,1.8658042823946112e-08,0.0038482541011186588
-5.8,0.007915451582979969,6.095758129562418e-18,1.9773196406244675e-08,0.003957725791489988
-5.79,0.008139809247546021,6.656162655785942e-18,2.0952905073377047e-08,0.004069904623773014
-5.78,0.008369689154653023,7.267360372587997e-18,2.2200777343579013e-08,0.004184844577326515
-5.77,0.008605200637499685,7.933887485538588e-18,2.352061577839084e-08,0.004302600318749847
-5.76,0.008846454398237232,8.660679127493157e-18,2.4916426972950992e-08,0.00442322719911862
-5.75,0.009093562501591053,9.453103881902853e-18,2.6392432035705735e-08,0.004546781250795531
-5.74,0.009346638367612283,1.0317001243919813e-17,2.795307758015465e-08,0.004673319183806147
-5.73,0.009605796763539575,1.1258722264917901e-17,2.960304725223005e-08,0.004802898381769793
-5.72,0.009871153794751146,1.2285173646201194e-17,3.134727381791979e-08,0.004935576897375579
-5.71,0.010142826894787078,1.340386556945257e-17,3.319095183679538e-08,0.005071413447393546
-5.7,0.010420934814422592,1.4622963575006582e-17,3.513955094820434e-08,0.005210467407211303
-5.6899999999999995,0.010705597609772197,1.5951344824435176e-17,3.7198829798016166e-08,0.005352798804886106
-5.68,0.010996936629405587,1.7398659111406225e-17,3.9374850634998504e-08,0.005498468314702802
-5.67,0.011295074500456135,1.897539501439914e-17,4.167399460712351e-08,0.005647537250228077
-5.66,0.011600135113702562,2.0692951616893674e-17,4.410297778937308e-08,0.0058000675568512915
-5.65,0.01191224360760517,2.2563716255206337e-17,4.666886797594257e-08,0.0059561218038025965
-5.64,0.012231526351277989,2.460114879146858e-17,4.937910227110449e-08,0.0061157631756390066
-5.63,0.012558110926378211,2.6819872949525548e-17,5.2241505514424374e-08,0.0062790554631891185
-5.62,0.012892126107895304,2.923577529501396e-17,5.526430957749716e-08,0.006446063053947667
-5.609999999999999,0.013233701843821387,3.1866112487810624e-17,5.845617357090082e-08,0.006616850921910709
-5.6,0.013582969233685634,3.472962748566208e-17,6.182620500165857e-08,0.006791484616842834
-5.59,0.013940060505935825,3.7846675432473395e-17,6.538398192315145e-08,0.006970030252967932
-5.58,0.014305108994149692,4.1239360023650226e-17,6.913957612112398e-08,0.007152554497074867
-5.57,0.014678249112060025,4.493168120449426e-17,7.310357738120935e-08,0.007339124556030035
-5.5600000000000005,0.01505961632737743,4.8949695126233675e-17,7.728711888522879e-08,0.0075298081636887395
-5.55,0.015449347134395174,5.33216873582341e-17,8.17019037854322e-08,0.007724673567197614
-5.54,0.015847579025360818,5.807836043470981e-17,8.636023300780988e-08,0.007923789512680439
