separation_in_sigma,eta,kla_r,mil_r
2.44,0.4751142393353591,0.655226740231787,0.8
2.45,0.47221896125565377,0.6538445908906232,0.8
2.46,0.46932959319910966,0.6524541707117001,0.8
2.47,0.4664462430286667,0.6510554665718348,0.8
2.48,0.4635690174959985,0.6496484658522861,0.8
2.49,0.4606980222376956,0.6482331564496931,0.8
2.5,0.45783336177161427,0.646809526787092,0.8
2.5100000000000002,0.4549751394933847,0.645377565825006,0.8
2.52,0.4521234576730829,0.6439372630726106,0.8
2.5300000000000002,0.4492784174520616,0.6424886085989655,0.8
2.54,0.4464401188399433,0.6410315930443184,0.8
2.5500000000000003,0.44360866071177174,0.6395662076314713,0.8
2.56,0.4407841408053245,0.6380924441772116,0.8
2.57,0.4379666557185821,0.6366102951038017,0.8
2.58,0.43515630090735685,0.6351197534505288,0.8
2.59,0.4323531706830792,0.6336208128853069,0.8
2.6,0.4295573582107391,0.6321134677163309,0.8
2.61,0.426768955506986,0.630597712903781,0.8
2.62,0.4239880534383814,0.6290735440715702,0.8
2.63,0.421214741719809,0.6275409575191369,0.8
2.64,0.4184491089130354,0.6259999502332724,0.8
2.65,0.4156912424254272,0.6244505198999885,0.8
2.66,0.4129412285088176,0.6228926649164123,0.8
2.67,0.41019915225852605,0.6213263844027128,0.8
2.68,0.4074650976125276,0.6197516782140491,0.8
2.69,0.4047391473507727,0.618168546952541,0.8
2.7,0.40202138309465485,0.6165769919792538,0.8
2.71,0.39931188530662715,0.6149770154261978,0.8
2.72,0.39661073328996493,0.6133686202083343,0.8
2.73,0.3939180051886751,0.6117518100355849,0.8
2.74,0.3912337779875495,0.6101265894248414,0.8
2.75,0.3885581275123641,0.6084929637119695,0.8
2.7600000000000002,0.38589112843021894,0.6068509390638018,0.8
2.77,0.38323285425002207,0.605200522490118,0.8
2.7800000000000002,0.38058337732311304,0.6035417218556031,0.8
2.79,0.37794276884402755,0.6018745458917825,0.8
2.8000000000000003,0.37531109885139946,0.6001990042089265,0.8
2.81,0.37268843622900205,0.59851510730792,0.8
2.82,0.3700748487069247,0.5968228665920923,0.8
2.83,0.3674704028628856,0.5951222943789996,0.8
2.84,0.3648751641236792,0.5934134039121579,0.8
2.85,0.3622891967667557,0.5916962093727182,0.8
2.86,0.35971256392193385,0.5899707258910785,0.8
2.87,0.3571453275732436,0.5882369695584275,0.8
2.88,0.35458754856089897,0.5864949574382147,0.8
2.89,0.3520392865833991,0.5847447075775377,0.8
2.9,0.3495006001997565,0.5829862390184452,0.8
2.91,0.34697154683185094,0.5812195718091443,0.8
2.92,0.3444521827669091,0.5794447270151121,0.8
2.93,0.3419425631601056,0.5776617267300962,0.8
2.94,0.3394427420372889,0.5758705940870086,0.8
