cohort,sequence,condition,arm,frames,ospa,gospa,loc2,miss2,false2,countError,raw_bytes,delivered_raw_bytes,wire_bytes,runtime_s
seen_transfer,0011,intermittent,marked_gaussian_evidence_no_curvature,107,3.3648082609968646,7.656386634377605,5.975170294973782,63.25233644859813,15.813084112149532,0.9018691588785047,2231488,1663008,3779328,6.683095291666667
seen_transfer,0011,intermittent,marked_gaussian_evidence,107,3.3701168597998334,7.690700997925357,6.315877757498307,63.25233644859813,16.485981308411215,0.9112149532710281,2236768,1671104,3779328,7.1586157083333335
seen_transfer,0012,reliable,marked_lineage,124,6.439173087870362,17.50829025852619,15.174476355323247,216.58064516129033,84.7741935483871,2.153225806451613,4480144,4480144,6781952,29.594696416666668
seen_transfer,0012,reliable,marked_er,124,6.163941334322898,17.07959483833485,14.745009998332996,198.0,93.48387096774194,1.7580645161290323,4313952,4313952,6831104,24.99998666666667
seen_transfer,0012,reliable,marked_asymmetric,124,5.552685631495103,14.975904305150685,14.80311413949629,159.67741935483872,66.7741935483871,1.564516129032258,3368688,3368688,5209088,22.092643458333335
seen_transfer,0012,reliable,marked_gaussian_evidence_no_curvature,124,5.308013638270897,14.303730192856431,15.295631820885928,142.83870967741936,62.70967741935484,1.564516129032258,4717344,4717344,6585344,15.104678375
seen_transfer,0012,reliable,marked_gaussian_evidence,124,5.466903655214297,14.73680504766568,14.972092834770834,152.70967741935485,60.96774193548387,1.5806451612903225,5325952,5325952,7388160,22.743133875
seen_transfer,0012,intermittent,marked_lineage,124,6.44054486116136,17.736169155674588,23.911238171573498,210.48387096774192,92.3225806451613,1.8669354838709677,4106784,2852864,5979136,33.61223625
seen_transfer,0012,intermittent,marked_er,124,6.089706192391244,17.173892637585094,22.830822066355662,187.25806451612902,97.83870967741936,1.6290322580645162,3695568,2498224,5454848,24.927388541666666
seen_transfer,0012,intermittent,marked_asymmetric,124,5.899925094753281,16.12936319933388,19.843334840755848,178.5483870967742,76.64516129032258,1.657258064516129,3670520,2530384,5422080,20.621146666666668
seen_transfer,0012,intermittent,marked_gaussian_evidence_no_curvature,124,5.50906893183701,15.093429591439063,17.625363093389534,153.58064516129033,68.51612903225806,1.6088709677419355,4909536,3465568,6831104,18.534034875
seen_transfer,0012,intermittent,marked_gaussian_evidence,124,5.348671781855154,14.66513196973398,17.88503135062331,146.03225806451613,64.74193548387096,1.5080645161290323,4608224,3415232,6667264,16.953426666666665
seen_transfer,0013,reliable,marked_lineage,89,3.6167826955801643,7.255735709786079,1.542468037436258,46.92134831460674,29.123595505617978,0.9213483146067416,869104,869104,2939136,6.260438708333333
seen_transfer,0013,reliable,marked_er,89,3.6945394220563474,7.4059764810741795,1.5310748851541753,47.73033707865169,29.93258426966292,0.9438202247191011,871392,871392,2939136,5.222097083333333
seen_transfer,0013,reliable,marked_asymmetric,89,2.7641095926731785,5.620383420268867,1.748599254728654,39.640449438202246,17.797752808988765,0.6404494382022472,931840,931840,2939136,6.144314333333333
seen_transfer,0013,reliable,marked_gaussian_evidence_no_curvature,89,2.907921028015545,5.881303284232887,1.7283607609608163,38.02247191011236,21.03370786516854,0.6629213483146067,1423552,1423552,2939136,4.175059708333333
seen_transfer,0013,reliable,marked_gaussian_evidence,89,2.857193966456996,5.770170696467213,1.741714113577808,36.40449438202247,21.03370786516854,0.6404494382022472,1468960,1468960,2939136,6.351383875
seen_transfer,0013,intermittent,marked_lineage,89,3.330381569101022,6.658173596566671,2.149558129645574,45.70786516853933,22.651685393258425,0.8595505617977528,852048,618640,2939136,3.903773166666667
seen_transfer,0013,intermittent,marked_er,89,3.306867110154972,6.643312758349618,2.1437536751196538,45.70786516853933,22.651685393258425,0.8595505617977528,847680,615104,2939136,4.034603833333334
seen_transfer,0013,intermittent,marked_asymmetric,89,3.0656509732957833,6.17132026581866,2.335045877461717,40.853932584269664,21.43820224719101,0.7191011235955056,914904,658008,2939136,3.3148197083333333
seen_transfer,0013,intermittent,marked_gaussian_evidence_no_curvature,89,3.005561009371608,6.028030257108972,2.274866790979208,38.42696629213483,20.629213483146067,0.6966292134831461,1402432,1011072,2939136,4.500988708333334
seen_transfer,0013,intermittent,marked_gaussian_evidence,89,2.954831936796052,5.91689283881608,2.288247362914534,36.80898876404494,20.629213483146067,0.6741573033707865,1413696,1025504,2939136,4.212331458333333
seen_transfer,0014,reliable,marked_lineage,80,5.764384888650997,17.808561690258223,9.743371528705914,312.3,1.8,4.3125,3078944,3078944,4476928,199.27261833333333
seen_transfer,0014,reliable,marked_er,80,5.76437998362866,17.808531909724287,9.742378149184173,312.3,1.8,4.3125,3099744,3099744,4476928,203.94605158333334
seen_transfer,0014,reliable,marked_asymmetric,80,5.583923936260527,17.30348215344522,11.219533712567552,292.5,1.8,4.0375,2796312,2796312,4198400,69.18861445833333
