sequence,condition,arm,frames,ospa,gospa,loc2,miss2,false2,countError,raw_bytes,delivered_raw_bytes,wire_bytes,runtime_s,experiment,cohort,pd
0003,intermittent,marked_lineage,198,6.622257415474855,16.358301231413158,13.51568131690519,254.1818181818182,69.0909090909091,3.282828282828283,5745744,3880056,8717824,54.62637854166667,motion,development,0.9
0003,intermittent,marked_asymmetric,198,6.575219016349764,16.206998805723458,12.933496820698238,267.6363636363636,62.90909090909091,3.4646464646464645,7790240,5473416,10470912,74.386527625,motion,development,0.9
0003,intermittent,marked_gaussian_evidence_guarded_scalar,198,6.625370612473289,16.428970025054674,14.979086214854853,263.6363636363636,68.18181818181819,3.3813131313131315,11839520,8297664,15189504,90.162278125,motion,development,0.9
0003,intermittent,marked_gaussian_evidence,198,6.571398848216189,16.24750525982767,11.059261442657549,260.90909090909093,66.36363636363636,3.3383838383838382,10784576,7592608,14452224,76.50206025,motion,development,0.9
0004,reliable,marked_lineage,180,5.116926604330006,22.409779447671013,61.454375557296345,350.8,103.6,3.433333333333333,6004872,6004872,8778752,135.29061341666667,motion,development,0.9
0004,reliable,marked_asymmetric,180,5.216736923504537,21.210972688303787,58.632634194728844,366.4,44.0,4.477777777777778,6857608,6857608,9417728,185.04450483333332,motion,development,0.9
0004,reliable,marked_gaussian_evidence_guarded_scalar,180,5.002304991014239,20.641780093744252,59.134779925361386,333.2,51.2,3.9166666666666665,10487744,10487744,14070784,223.01371095833332,motion,development,0.9
0004,reliable,marked_gaussian_evidence,180,5.003084711564165,20.59483020702339,61.105033229133895,331.6,48.8,3.9277777777777776,10564128,10564128,14038016,202.67865241666667,motion,development,0.9
0004,intermittent,marked_lineage,180,5.200953805166066,21.706478981263317,58.95888077902222,362.0,67.4,4.091666666666667,7177104,5357864,10286080,161.13011204166668,motion,development,0.9
0004,intermittent,marked_asymmetric,180,5.217708903392888,21.4019958403178,57.83052440401765,365.8,52.8,4.347222222222222,6849720,5014752,9696256,150.60516025,motion,development,0.9
