sequence,condition,candidate,reference,ospa,gospa,loc2,miss2,false2,countError,raw_bytes,delivered_raw_bytes,wire_bytes,support,candidate_sse,reference_sse,candidate_rmse,reference_rmse
0006,reliable,marked_gaussian_evidence,marked_gaussian_evidence_no_history,-1.3766765505351941e-14,-2.7533531010703882e-14,-4.418687638008123e-14,0.0,0.0,0.0,-2816,-2816,0,818,138.09952391421234,138.09952391422308,0.4108841976226456,0.4108841976226616
0006,reliable,marked_gaussian_evidence,marked_gaussian_evidence_no_mark,0.000627396225704846,0.0013428167329809781,0.0018974869103478564,0.0,0.0,0.0,704,704,0,818,138.09952391421234,137.63653710808745,0.4108841976226456,0.4101948626147216
0006,reliable,marked_gaussian_evidence,marked_asymmetric,0.0016534943857001716,0.0033008900688942244,0.0075385590832740546,0.0,0.0,0.0,201464,201464,0,818,138.09952391421234,136.26011549789342,0.4108841976226456,0.4081386508410875
0006,intermittent,marked_gaussian_evidence,marked_gaussian_evidence_no_curvature,0.00014382740770346736,0.0002457115881158156,-5.5787086655434415e-05,0.0,0.0,0.0,704,352,0,818,143.13533833302552,143.14895038216946,0.41830858968199863,0.4183284796049845
0006,intermittent,marked_gaussian_evidence,marked_gaussian_evidence_no_history,-1.2434497875801753e-14,-2.4868995751603507e-14,-3.941291737419306e-14,0.0,0.0,0.0,-1760,-1760,0,818,143.13533833302552,143.13533833303512,0.41830858968199863,0.4183085896820127
0006,intermittent,marked_gaussian_evidence,marked_gaussian_evidence_no_mark,0.00082419462130634,0.0016915287238778998,0.0027245941538251994,0.0,0.0,0.0,704,352,0,818,143.13533833302552,142.4705373594922,0.41830858968199863,0.41733602896847266
0006,intermittent,marked_gaussian_evidence,marked_asymmetric,0.0014593160528458826,0.0029389171554921045,0.006737565516336974,0.0,0.0,0.0,201104,157312,0,818,143.13533833302552,141.4913723470393,0.41830858968199863,0.4158994323542248
0007,reliable,marked_gaussian_evidence,marked_gaussian_evidence_no_curvature,-0.014790763908712368,0.00024065184803756523,0.006120410148522826,-0.48648648648648773,0.48648648648648685,0.013513513513513514,59488,59488,0,262,882.6786217283757,882.690122975759,1.8354842339309447,1.8354961920145307
0007,reliable,marked_gaussian_evidence,marked_gaussian_evidence_no_history,-0.06773591569633552,-0.08160063386770933,-0.6609207599409279,0.0,-0.48648648648648596,-0.006756756756756771,-49984,-49984,0,264,884.5017643797216,1080.1343093222365,1.8304058214328618,2.0227253492112576
0007,reliable,marked_gaussian_evidence,marked_gaussian_evidence_no_mark,-2.7924580961385583,-3.8302640756522863,-0.8440112875890846,6.8108108108108105,-55.45945945945946,-0.6891891891891891,-30976,-30976,0,264,884.5017643797216,209.8854671004912,1.8304058214328618,0.8916393378008745
0007,reliable,marked_gaussian_evidence,marked_asymmetric,0.0020620439349743336,0.046798600463208384,0.0048929488811553234,-0.48648648648648773,1.4594594594594597,0.02702702702702703,332896,332896,0,262,882.6786217283757,883.0534515108995,1.8354842339309447,1.8358739120740204
0007,intermittent,marked_gaussian_evidence,marked_gaussian_evidence_no_curvature,-0.10286207017535443,-0.03591510115045704,0.0164652158592572,-1.2162162162162176,0.9729729729729719,-0.003378378378378344,-4224,6336,0,233,268.5568054709441,268.5581989521893,1.073594111070818,1.0735968963871603
0007,intermittent,marked_gaussian_evidence,marked_gaussian_evidence_no_history,3.1909484832226553e-08,2.8230181747801453e-08,-7.625686693213396e-08,0.0,0.0,0.0,-2464,19712,0,238,273.43190284652945,273.431925418562,1.0718551867542427,1.0718552309955134
0007,intermittent,marked_gaussian_evidence,marked_gaussian_evidence_no_mark,-1.1651699995340055,-2.1114669369082133,-3.498575680460492,10.945945945945946,-36.972972972972975,-0.42229729729729726,-26752,-12320,0,238,273.43190284652945,273.8784063198178,1.0718551867542427,1.0727299783197024
0007,intermittent,marked_gaussian_evidence,marked_asymmetric,-0.14778197581508312,-0.06649750114697817,0.016479919967674506,-1.2162162162162176,0.9729729729729719,-0.003378378378378344,356448,238336,0,233,268.5568054709441,268.55384653609775,1.073594111070818,1.0735881966726135
0008,reliable,marked_gaussian_evidence,marked_gaussian_evidence_no_curvature,-0.04024396906483485,-0.01266029653941736,1.6719380740103595,-3.5121951219512226,2.98536585365855,-0.007317073170731714,501600,501600,147456,7818,13585.208958873289,12857.658399057103,1.3182122050754135,1.282428345314801
0008,reliable,marked_gaussian_evidence,marked_gaussian_evidence_no_history,-0.041319030690365466,-0.18815964582244327,-0.8574544318401109,0.7024390243902445,-6.8487804878048735,-0.017073170731707332,-1616736,-1616736,-229376,7866,14420.486153341453,14189.451137243017,1.3539822776930357,1.34309220131419
0008,reliable,marked_gaussian_evidence,marked_gaussian_evidence_no_mark,-1.0454409048421764,-2.833608426944382,-2.299908586213231,16.507317073170725,-90.79024390243902,-1.0219512195121954,1915936,1915936,1523712,7868,13998.790253267454,13116.841677179233,1.3338686874280004,1.2911671336441897
0008,reliable,marked_gaussian_evidence,marked_asymmetric,-0.07676654665518345,-0.12126757612714734,-0.5392993629589178,-8.604878048780492,4.917073170731712,-0.07073170731707323,9669328,9669328,12369920,7746,13027.04064017052,14810.480472332078,1.2968332519519452,1.3827568787156457
0008,intermittent,marked_gaussian_evidence,marked_gaussian_evidence_no_curvature,0.004310448238373787,-0.007458518143662829,0.14649937563719106,-0.965853658536588,-0.2634146341463577,0.0024390243902439046,318912,185856,458752,7764,15220.641321774416,14919.33426315928,1.4001472525863456,1.386219356365284
0008,intermittent,marked_gaussian_evidence,marked_gaussian_evidence_no_history,-0.02424095948172944,-0.10244360043894396,0.623605478401327,0.7024390243902445,-4.653658536585368,-0.02560975609756122,-646624,-482944,-868352,7777,14941.10607692172,14461.997395244456,1.3860705147626031,1.363666243501402
0008,intermittent,marked_gaussian_evidence,marked_gaussian_evidence_no_mark,-0.47683693504132574,-1.5228239461457065,-1.106101590698536,12.731707317073173,-57.95121951219514,-0.5646341463414632,1343936,907808,1474560,7780,15436.10387908657,14315.304811734037,1.408571989188263,1.356470962440866
0008,intermittent,marked_gaussian_evidence,marked_asymmetric,0.0030088235812799624,0.014575321070772418,0.019541886342928194,-3.863414634146338,2.6341463414634063,-0.017073170731707332,10443440,6928632,11436032,7699,14482.384513888657,15053.064327439248,1.3715223122142421,1.3982837125850163
0009,reliable,marked_gaussian_evidence,marked_gaussian_evidence_no_curvature,-0.041096077796943575,-0.15090962827155252,0.7537345066422958,-7.5428571428571445,-1.6000000000000014,-0.08253968253968313,835648,835648,655360,6284,18552.251233179282,18674.317763907504,1.7182257380831376,1.723869095979853
0009,reliable,marked_gaussian_evidence,marked_gaussian_evidence_no_history,0.07573655800135626,0.034879996589115336,-2.1864621777533735,5.028571428571411,-4.571428571428569,0.12698412698412653,-626912,-626912,-573440,6352,19203.80364289958,19796.29213416721,1.7387549670580607,1.7653738220132014
