sequence,condition,candidate,reference,ospa,gospa,loc2,miss2,false2,countError,raw_bytes,delivered_raw_bytes,wire_bytes,support,candidate_sse,reference_sse,candidate_rmse,reference_rmse
0002,intermittent,marked_gaussian_evidence,marked_gaussian_evidence_no_curvature,0.02659936267390073,0.026672255230762776,-2.680346715411286e-07,0.0,0.25,0.00347222222222221,-9856,-9504,0,124,28.320165217905686,28.320242411891087,0.47790002006346344,0.477900671383499
0002,intermittent,marked_gaussian_evidence,marked_gaussian_evidence_no_history,0.10695534574127796,0.0883071430883211,-0.0010233444169807787,0.5,0.25,-0.0034722222222222654,-38720,-35904,0,124,28.320165217905686,28.320082559703316,0.47790002006346344,0.4778993226384115
0002,intermittent,marked_gaussian_evidence,marked_gaussian_evidence_no_mark,-0.25323545770324785,-0.34890982019996697,-0.012037387478457423,3.0,-5.75,-0.07291666666666669,1056,3520,0,124,28.320165217905686,27.825045210311437,0.47790002006346344,0.47370404884232137
0002,intermittent,marked_gaussian_evidence,marked_asymmetric,-0.029533271818479534,0.01358475219197297,-0.004012276068260698,-0.5,1.0,0.00694444444444442,166208,131736,0,122,27.886569234064787,29.475700725564767,0.4780987725823957,0.4915324041280574
0003,reliable,marked_gaussian_evidence,marked_gaussian_evidence_no_curvature,0.047736578869466584,0.0777957946859047,-3.0787608178078063,-3.2727272727272805,2.18181818181818,-0.025252525252525526,-175648,-175648,-294912,2316,4587.178959714105,4881.1456702455,1.4073546884919426,1.4517492382331365
0003,reliable,marked_gaussian_evidence,marked_gaussian_evidence_no_history,-0.08998594579633146,-0.2592640068204872,-4.3047562861655475,1.454545454545439,-4.727272727272734,0.00505050505050475,-586784,-586784,-327680,2322,4553.072820286954,5175.366035186225,1.4003003277424162,1.4929299408997956
0003,reliable,marked_gaussian_evidence,marked_gaussian_evidence_no_mark,-0.2696252244220938,-0.8073562507607015,2.7629436921771244,26.545454545454533,-31.636363636363633,0.31313131313131315,1379136,1379136,737280,2350,4590.694344572868,3269.6068926936896,1.3976719769450165,1.1795431666527998
0003,reliable,marked_gaussian_evidence,marked_asymmetric,-0.10507331209515769,-0.3158327460801491,-4.14252343162042,-12.72727272727272,-0.7272727272727337,-0.14646464646464663,2354352,2354352,2162688,2268,4492.339288445046,5398.299625516223,1.407390935506599,1.5427905420870278
0003,intermittent,marked_gaussian_evidence,marked_gaussian_evidence_no_curvature,0.056358000696882016,0.1643098002457677,-3.838826386548533e-05,-2.18181818181813,2.5454545454545467,-0.025252525252525082,-71104,-22880,16384,2249,4035.7998104036733,3986.167761530268,1.3395843960402691,1.3313218459507368
0003,intermittent,marked_gaussian_evidence,marked_gaussian_evidence_no_history,-0.029802468157654083,-0.08624483739153987,-0.3395490472703706,0.9090909090909349,-2.7272727272727266,0.015151515151515138,-51744,68288,81920,2251,4013.0381657136813,4014.859868646317,1.335207913155156,1.3355109349673213
