time,receiver,formation,networkPayloadLabelCount,localMapCount,scheduledIncoming,lostIncoming,emptyDeliveredIncoming,nonemptyReceivedIncoming,networkLabelsAbsentFromInputs,scheduledLabelCount,transportUnavailableLabels,inputUnionLabelCount,fusedLabelCount,retainedLabelCount,outputMapCount,weakBeforeEtaCount,etaCrossesHalfCount,preEtaExistenceMass,fusedExistenceMass,etaExistenceMassLoss,prunedExistenceMass,retainedNotOutputMass,mixtureUsedLabelCount,normalizerFallbackLabelCount,absentObservableSourceCount,maxExistenceIdentityError,medianNegativeLogEta,maxNegativeLogEta
84,16,3,16,5,2,0,0,2,0,16,0,16,16,10,5,11,1,5.21952733056,4.74875773809,0.470769592473,0.0147967288169,0.44710280449,5,3,0,5.55111512313e-17,0.289978953212,5.73217810291
84,17,3,16,4,1,0,0,1,0,16,0,16,16,16,5,12,0,4.90001463596,4.87985738224,0.020157253721,0,0.577788126157,0,4,0,5.55111512313e-17,0.00368391710735,0.416442798669
84,18,3,16,4,1,0,0,1,0,16,0,16,16,16,5,12,0,4.81140940468,4.79494198009,0.0164674245934,0,0.493661611018,0,4,0,2.08166817117e-17,0.0032144366154,0.47386255657
84,19,4,16,6,1,0,0,1,0,16,0,16,16,16,6,10,0,5.89904936463,5.87597857189,0.0230707927398,0,0.524966686895,0,4,0,2.22044604925e-16,0.00109085409895,0.245943007623
84,20,4,16,6,1,0,0,1,0,16,0,16,16,16,6,10,0,6.01165090803,6.00440039716,0.00725051086948,0,0.543463647394,0,4,0,1.04083408559e-17,0.000392245098865,0.177330896436
84,21,4,16,6,1,0,0,1,0,16,0,16,16,16,6,10,0,6.04776929762,6.03903793678,0.00873136083535,0,0.559029450279,0,4,0,5.55111512313e-17,0.000996527053481,0.23570995318
84,22,4,16,6,2,0,0,2,0,16,0,16,16,14,6,10,0,6.13730445413,5.86092358298,0.276380871155,0.014874949347,0.460014594622,0,8,0,1.73472347598e-17,0.155930375966,0.758456737361
84,23,4,16,6,1,0,0,1,0,16,0,16,16,16,6,10,0,5.97415432829,5.96533576579,0.00881856250227,0,0.502347994877,0,7,0,1.04083408559e-17,0.0016309224705,0.404451533084
84,24,4,16,6,1,0,0,1,0,16,0,16,16,16,6,10,0,5.76653545657,5.75017303039,0.0163624261778,0,0.509821731102,0,4,0,1.11022302463e-16,0.000719533147799,0.149098874791
151,1,1,16,3,2,0,0,2,0,16,0,16,16,11,3,14,0,3.08955235444,2.79224669946,0.297305654972,0.0140875818771,0.626065632955,4,0,0,2.08166817117e-17,0.218471979707,5.61360757058
151,2,1,16,3,1,0,0,1,1,15,0,15,15,15,3,13,0,2.92352513227,2.91662599672,0.00689913554541,0,0.759097049044,0,0,0,1.38777878078e-17,0.00573462384604,0.0171773220394
151,3,1,16,3,1,0,0,1,1,15,0,15,15,15,3,12,0,3.11694986189,3.10836766457,0.00858219731986,0,0.896138743563,0,0,0,5.55111512313e-17,0.00198838665651,0.0363700671737
151,4,1,16,2,2,0,0,2,0,16,0,16,16,16,3,13,0,3.30070407891,3.23354226045,0.067161818464,0,0.923075009724,4,0,0,5.55111512313e-17,0.00460758382788,0.269349774863
151,5,1,16,2,1,0,0,1,1,15,0,15,15,15,2,14,0,2.21709250212,2.20734952133,0.00974298078917,0,0.815031722652,0,0,0,5.55111512313e-17,0.00154959820664,0.0481451651935
151,6,1,16,2,1,0,0,1,1,15,0,15,15,15,2,14,0,2.22749433526,2.22162118342,0.00587315184365,0,0.829908335063,0,0,0,1.38777878078e-17,0.00650031563548,0.0293199748512
151,7,2,16,6,2,0,0,2,1,15,0,15,15,12,6,8,0,6.5582907145,6.41654030495,0.141750409557,0.0254977747833,0.88481936579,0,4,0,5.55111512313e-17,0.169981976749,0.661945522075
151,8,2,16,7,1,0,0,1,1,15,0,15,15,15,7,8,0,6.47462985503,6.47249316734,0.002136687691,0,0.351562056672,0,4,0,1.11022302463e-16,2.65421187855e-05,0.149535667844
151,9,2,16,7,1,0,0,1,1,15,0,15,15,15,7,8,0,6.52534249177,6.523618219,0.00172427276949,0,0.358347853735,0,4,0,1.04083408559e-17,0.0018416470974,0.0972816961842
151,10,2,16,6,1,0,0,1,1,15,0,15,15,15,7,8,0,6.48892192452,6.47878534978,0.010136574738,0,0.365469967663,0,4,0,2.22044604925e-16,0.000257917674064,0.186979734916
151,11,2,16,6,1,0,0,1,2,14,0,14,14,14,6,8,0,5.67116126281,5.66859921134,0.00256205147609,0,0.365934432535,0,4,0,1.11022302463e-16,6.30492562967e-05,0.166251257691
151,12,2,16,6,1,0,0,1,2,14,0,14,14,14,6,8,0,5.7008093757,5.70035466044,0.00045471526548,0,0.366865290063,0,4,0,1.11022302463e-16,0.000619314758347,0.276167308918
151,13,3,16,9,1,0,0,1,0,16,0,16,16,16,9,7,0,9.10002210999,9.05352156063,0.0465005493538,0,0.973398344297,1,3,0,1.11022302463e-16,0.0318202632184,0.431206655856
151,14,3,16,9,1,0,0,1,0,16,0,16,16,16,9,5,0,9.10486583459,9.03837641947,0.0664894151264,0,1.16807511581,2,2,0,1.04083408559e-17,0.0136339739436,0.352250111416
151,15,3,16,10,1,0,0,1,0,16,0,16,16,16,10,5,0,9.64277909113,9.38676720602,0.256011885109,0,0.747514241967,2,5,0,1.04083408559e-17,0.0405061546479,1.56360362364
151,16,3,16,10,1,0,0,1,0,16,0,16,16,16,10,5,0,9.90328262157,9.84392557756,0.0593570440088,0,0.702819039754,0,7,0,1.11022302463e-16,0.0386271650171,0.313977415319
151,17,3,16,10,2,0,0,2,0,16,0,16,16,16,10,6,0,9.9529974504,9.58954458745,0.363452862954,0,0.461021718101,2,9,0,1.38777878078e-17,0.169788217869,0.830320922398
151,18,3,16,9,1,0,0,1,0,16,0,16,16,16,10,5,0,9.68356047958,9.65266981465,0.0308906649264,0,0.596064933247,2,4,0,1.11022302463e-16,0.0473563360145,0.410828274541
151,19,4,16,8,1,0,0,1,1,15,0,15,15,15,8,7,0,7.73297554767,7.54698264956,0.185992898108,0,0.478959169151,2,4,0,5.55111512313e-17,0.0650326857168,0.757931139163
151,20,4,16,8,1,0,0,1,0,16,0,16,16,15,8,8,0,7.6008807681,7.54109396794,0.0597868001612,0.00991575513305,0.464407568109,1,5,0,1.11022302463e-16,0.0106201790861,1.31243119544
151,21,4,16,7,2,0,0,2,0,16,0,16,16,11,8,8,0,7.80902171797,7.66285906169,0.146162656282,0.0265604177479,0.572078239592,2,2,0,1.11022302463e-16,0.0972571607613,3.50515164055
151,22,4,16,8,1,0,0,1,0,16,0,16,16,15,7,9,0,7.22434937412,7.03777179217,0.186577581945,0.00997320388744,0.851866827553,2,2,0,2.77555756156e-17,0.00882484744041,1.01093006768
151,23,4,16,8,1,0,0,1,0,16,0,16,16,15,8,7,0,7.87286644961,7.80763752561,0.065228924002,0.00990517288981,0.724575332049,1,3,0,0,0.00772003339068,0.797594584324
151,24,4,16,8,2,0,0,2,1,15,0,15,15,15,8,6,0,8.2936348916,7.93095226185,0.362682629747,0,0.680518183181,5,5,0,1.04083408559e-17,0.310582909604,0.730877740722
