time,receiver,formation,birthTime,birthLocation,weightedInputLogOdds,spatialLogNormalizer,preEtaExistence,fusedExistence,retained,selectedForOutput,mixtureUsed,fallbackReason
84,22,4,1,1,-3.79867131092,-2.24336494519e-05,0.0219097262516,0.0219092455106,1,0,0,
84,22,4,1,2,-4.54631358662,-0.627970180683,0.0104949198105,0.0056284112081,0,0,0,
84,22,4,1,3,-4.02821018002,-0.00857306850405,0.017494658407,0.0173479073438,1,0,0,
84,22,4,1,4,-0.599404287964,-0.1553448056,0.354479995123,0.319787378857,1,0,0,
84,22,4,1,5,-4.0732260083,-0.00323815159724,0.0167374737481,0.0166842657269,1,0,0,
84,22,4,1,6,-4.08648729422,-0.00344844894217,0.0165206212966,0.0164646852809,1,0,0,
84,22,4,1,7,-3.63022762755,-1.79922950885e-05,0.0258255111264,0.0258250584702,1,0,0,
84,22,4,1,8,-3.99175697663,-0.00635704503582,0.0181323840208,0.0180195517434,1,0,0,
84,22,4,1,9,1.01128849983,-0.69135893888,0.733272235008,0.579307085517,1,1,0,powered-gm-normalizer-exceeds-one
84,22,4,1,10,-3.06776014598,-0.638652261853,0.0444568806055,0.023976501689,1,0,0,powered-gm-normalizer-exceeds-one
84,22,4,1,11,1.86649184399,-0.380362627758,0.866051832484,0.815496578167,1,1,0,powered-gm-normalizer-exceeds-one
84,22,4,1,12,-3.91575976266,-0.758456737361,0.0195361388497,0.00924653813893,0,0,0,powered-gm-normalizer-exceeds-one
84,22,4,1,13,5.71390892478,-0.163862580522,0.996711103699,0.996127775324,1,1,0,powered-gm-normalizer-exceeds-one
84,22,4,1,14,6.25855722109,-0.060105310646,0.998089651126,0.99797154817,1,1,0,powered-gm-normalizer-exceeds-one
84,22,4,1,15,6.86220759938,-0.156515946332,0.998954493323,0.998777570284,1,1,0,powered-gm-normalizer-exceeds-one
84,22,4,1,16,6.59657775953,-0.189133387596,0.998636829252,0.998353481545,1,1,0,powered-gm-normalizer-exceeds-one
84,23,4,1,1,-3.79899498541,-1.75415515002e-07,0.0219027910806,0.0219027873227,1,0,0,
84,23,4,1,2,-4.58271110013,0,0.0101235965417,0.0101235965417,1,0,0,
84,23,4,1,3,-4.03788293816,-1.70145398215e-07,0.0173291709279,0.0173291680305,1,0,0,
