x,input_left_intensity,input_right_intensity,kla_intensity,mil_intensity,conditional_ga_intensity
-4.4,0.11978197250859585,4.1022029094373304e-13,1.0611883576973215e-06,0.05989098625450303,1.995397703204283e-05
-4.390000000000001,0.12146464034572926,4.417059151929498e-13,1.1088676642374264e-06,0.06073232017308548,2.0850511356702606e-05
-4.38,0.12315862941010698,4.755605960679719e-13,1.1585733439982753e-06,0.06157931470529127,2.178514844079409e-05
-4.37,0.12486375644833668,5.119588805516431e-13,1.2103860669778347e-06,0.06243187822442432,2.275940515667545e-05
-4.359999999999999,0.12657983229630657,5.510878921919011e-13,1.2643894688276825e-06,0.06328991614842883,2.377485414115385e-05
-4.35,0.12830666187353576,5.93148215976349e-13,1.3206702492816004e-06,0.06415333093706445,2.4833125646280216e-05
-4.34,0.13004404418042734,6.38354843898255e-13,1.379318273414873e-06,0.06502202209053284,2.5935909443371022e-05
-4.33,0.13179177229846145,6.869381852635569e-13,1.440426675798392e-06,0.0658958861495742,2.7084956781462313e-05
-4.32,0.133549633393371,7.391451460509282e-13,1.504091967612583e-06,0.06677481669705508,2.8282082401418477e-05
-4.3100000000000005,0.13531740872133785,7.95240281915542e-13,1.570414146786936e-06,0.06765870436106655,2.9529166606932855e-05
-4.3,0.13709487363824593,8.555070297233312e-13,1.6394968112316043e-06,0.06854743681955072,3.08281573936697e-05
-4.29,0.1388817976120264,9.202490228171098e-13,1.711447275228306e-06,0.06944089880647332,3.218107263781198e-05
-4.279999999999999,0.14067794423813004,9.897914955502431e-13,1.7863766890485604e-06,0.07033897211955992,3.359000234529398e-05
-4.27,0.14248307125815496,1.0644827829782658e-12,1.8644001618677304e-06,0.07124153562960972,3.50571109630065e-05
-4.26,0.14429693058166432,1.1446959219761656e-12,1.9456368880443604e-06,0.0721484652914045,3.658463975328105e-05
-4.25,0.14611926831121755,1.2308303604490201e-12,2.0302102768345206e-06,0.07305963415622418,3.817490923296396e-05
-4.24,0.1479498247706442,1.3233137817288825e-12,2.1182480856118514e-06,0.07397491238598375,3.9830321678409675e-05
-4.23,0.14978833453658355,1.4226040517019961e-12,2.2098825566642878e-06,0.07489416726900308,4.1553363697727825e-05
