time,repair_event,fixed_route_messages,causal_route_messages,fixed_eospa,causal_eospa,fixed_rmse,causal_rmse,fixed_interformation_disagreement,causal_interformation_disagreement
27,0,48.0,48.0,126.23296465189092,126.23296465189092,8.870951469627897,8.870951469627897,146.67580534459654,146.67580534459654
28,0,48.0,48.0,126.71046436187044,126.71046436187044,9.005493481921784,9.005493481921784,146.65511232505068,146.65511232505068
29,0,48.0,48.0,126.4252778529713,126.4252778529713,8.765267209015015,8.765267209015015,146.6611971119605,146.6611971119605
30,0,48.0,48.0,126.18328501826927,126.18328501826927,8.178238498084028,8.178238498084028,146.6767421309914,146.6767421309914
31,0,48.0,48.0,126.18534223412269,126.18534223412269,8.052064586179696,8.052064586179696,146.6868557615953,146.6868557615953
32,0,48.0,48.0,126.16846175174771,126.16846175174771,8.25450669664597,8.25450669664597,146.66684367924827,146.66684367924827
33,0,48.0,48.0,125.6810532255131,125.6810532255131,8.054698974734476,8.054698974734476,142.42506230344756,142.42506230344756
34,0,48.0,48.0,125.9216124159144,125.9216124159144,8.86837417631218,8.86837417631218,146.66918302880333,146.66918302880333
35,0,48.0,48.0,126.86081678520515,126.86081678520515,8.842233521883067,8.842233521883067,144.10025359265623,144.10025359265623
36,0,48.0,48.0,126.77704341631448,126.77704341631448,8.974526803114914,8.974526803114914,145.79085954948823,145.79085954948823
37,0,48.0,48.0,126.98923401671597,126.98923401671597,9.278841623423693,9.278841623423693,145.7899308674101,145.7899308674101
38,0,48.0,48.0,126.75931516168662,126.75931516168662,9.985523964950186,9.985523964950186,145.77006274196142,145.77006274196142
39,0,48.0,48.0,126.56998312229713,126.56998312229713,9.739971270434825,9.739971270434825,145.57466264732724,145.57466264732724
40,0,48.0,48.0,124.61880981194298,124.61880981194298,9.52519638752731,9.52519638752731,145.78491841270588,145.78491841270588
41,0,48.0,48.0,122.37437651314048,122.37437651314048,9.605111672615768,9.605111672615768,142.82082864339915,142.82082864339915
42,0,48.0,48.0,120.68997834306703,120.68997834306703,9.394962809090377,9.394962809090377,138.00316764762402,138.00316764762402
43,0,48.0,48.0,119.13702541250821,119.13702541250821,9.598106678574092,9.598106678574092,136.8693684010224,136.8693684010224
44,0,48.0,48.0,118.63376380717898,118.63376380717898,9.706759385716605,9.706759385716605,132.46294864067121,132.46294864067121
45,0,48.0,48.0,117.02445567741573,117.02445567741573,9.863904170515614,9.863904170515614,129.78092137858405,129.78092137858405
46,0,48.0,48.0,116.36851659150528,116.36851659150528,10.348266255018506,10.348266255018506,129.84977079038256,129.84977079038256
47,0,48.0,48.0,116.9098298396989,116.9098298396989,10.27014582218123,10.27014582218123,129.3181752369982,129.3181752369982
48,0,48.0,48.0,115.82000128704108,115.82000128704108,10.282516334895531,10.282516334895531,129.79061016278686,129.79061016278686
49,0,48.0,48.0,115.56284156551318,115.56284156551318,10.242457735574574,10.242457735574574,129.81816257249395,129.81816257249395
50,0,48.0,48.0,115.45502210198235,115.45502210198235,10.097040549955773,10.097040549955773,132.51113919601877,132.51113919601877
51,0,48.0,48.0,115.99396792113993,115.99396792113993,9.797155715343282,9.797155715343282,132.4189259320394,132.4189259320394
52,0,48.0,48.0,116.9444877837846,116.9444877837846,8.457683225595538,8.457683225595538,127.14433809796357,127.14433809796357
53,0,48.0,48.0,116.41598780308401,116.41598780308401,8.737725569649571,8.737725569649571,126.9326050413855,126.9326050413855
54,0,48.0,48.0,117.45188822873558,117.45188822873558,8.665177380513791,8.665177380513791,131.83914784341627,131.83914784341627
55,0,48.0,48.0,117.99549866783809,117.99549866783809,9.260662502038818,9.260662502038818,130.33247089110046,130.33247089110046
56,0,48.0,48.0,118.04690157250161,118.04690157250161,9.893116233158871,9.893116233158871,125.11635552534896,125.11635552534896
57,0,48.0,48.0,117.74144134491377,117.74144134491377,9.69807928876679,9.69807928876679,124.77676008245807,124.77676008245807
