time,ospa_fixed,ospa_balanced,ospa_cardinality,rmse_fixed,rmse_balanced,rmse_cardinality,card_fixed,card_balanced,card_cardinality
20,2.615105046522712,2.184773394371101,1.792953206621765,1.401150900499839,1.396174872939516,1.470857067637803,0.425,0.325,0.05
21,2.734582235699468,1.912614217341112,1.67037262809957,1.461983043624743,1.415080352324454,1.451549225714781,0.5,0.2,0.05
22,2.663151928628412,1.667970038222386,1.715573999235744,1.50413844641179,1.385544186020279,1.434467510439743,0.5,0.075,0.075
23,2.62007658246922,1.750615552038683,1.765519791100617,1.797145905148659,1.516453367006902,1.529592633560482,0.425,0.05,0.05
24,2.45377388183959,1.375449512863157,1.390389065353611,1.603006956007547,1.303415870755054,1.317987877562448,0.45,0,0
25,2.321012553416589,1.461780571417008,1.469172000563981,1.45304444802415,1.366722602923126,1.373948563315365,0.275,0,0
26,2.359822838352869,1.705380442643041,2.059714831041216,1.907782008712235,1.53411062281983,1.56676471308534,0.25,0.025,0.225
27,2.332058709812754,1.667105864917823,1.902059670539955,2.817618554957885,1.331585427830951,1.55905632878859,0.25,0.125,0.1
28,2.473514254368666,2.004699259558128,1.769177971221302,2.400697049183683,1.500108114242601,1.632723605984014,0.35,0.2,0.025
29,2.772863155385242,1.977962469566091,1.700289547052636,2.554072681316369,1.433410944890464,1.653273717054316,0.5,0.2,0
30,2.886967087683001,1.697675237846893,1.551780301683457,1.888079628224153,1.459049503829793,1.467301760251762,0.7,0.05,0
31,2.502312525362828,1.573074256435561,1.444429181029005,1.7555080636175,1.364596731276656,1.378932317505309,0.45,0.075,0
32,2.513797024658124,1.442118649297674,1.278450688028477,1.677485787685472,1.211100313208162,1.203132756048999,0.5,0.075,0
33,2.660401277183237,1.580411867152913,1.446949270161703,1.848445263967461,1.364284113252207,1.35002506028914,0.525,0.075,0
34,2.632836562799862,1.836884100803619,1.792315636104433,2.236700136881878,1.459892693459992,1.457116551383111,0.5,0.175,0.1
35,2.553805864561463,1.906540892122708,1.899734409524532,2.132995086670483,1.496207601538366,1.543097351992782,0.475,0.275,0.2
36,2.871471833546418,2.25224480232478,1.807873321871348,2.353103033005187,1.573523944231833,1.586484554473626,0.65,0.525,0.05
37,2.852017736719953,2.118107823290228,1.662347188323408,1.649713515799113,1.62714464022049,1.528000893908775,0.65,0.4,0.025
38,2.891238707222681,1.875560919673403,1.488136414937732,1.841044910750834,1.389703595845123,1.411890719784076,0.8,0.225,0
39,2.737432606193123,1.718081907461682,1.368556228129814,1.504037728105605,1.304412104992075,1.285823412699787,0.75,0.2,0
40,2.608898496086097,1.656316803867934,1.349033322450887,2.573962564443215,1.28413291156533,1.276781487367831,0.625,0.175,0
41,2.668211808279948,1.631716734228187,1.454998159574765,1.73931304003096,1.342008202292185,1.359119029362397,0.75,0.1,0
42,2.493017407273739,1.504179506486084,1.907556158186882,2.564333779815573,1.40883464210744,1.719940246073548,0.55,0,0.25
43,2.353263652528944,1.588411364093762,1.572828610907624,2.48559022379569,1.31018758013109,1.307012749670477,0.45,0.1,0.075
