panel,cohort,condition,candidate,reference,metric,scene,unit_index,unit_id,difference
c,synthetic,,confirmation_recency,qualified_exist,ospa,split_latebirth,12,2913,0.020508940281175114
c,synthetic,,confirmation_recency,qualified_exist,ospa,split_latebirth,13,2914,0.03603515502925614
c,synthetic,,confirmation_recency,qualified_exist,ospa,split_latebirth,14,2915,0.005957058552675587
c,synthetic,,confirmation_recency,qualified_exist,ospa,split_latebirth,15,2916,0.012007390760691017
c,synthetic,,confirmation_recency,qualified_exist,ospa,split_latebirth,16,2917,-2.0534685063466895e-12
c,synthetic,,confirmation_recency,qualified_exist,ospa,split_latebirth,17,2918,0.00295348187636435
c,synthetic,,confirmation_recency,qualified_exist,ospa,split_latebirth,18,2919,0.03544577726852349
c,synthetic,,confirmation_recency,qualified_exist,ospa,split_latebirth,19,2920,0.008548406267276487
c,synthetic,,conservative_recency,qualified_exist,ospa,churn_departure,0,2901,0.2605563524654212
c,synthetic,,conservative_recency,qualified_exist,ospa,churn_departure,1,2902,0.5906308685862252
c,synthetic,,conservative_recency,qualified_exist,ospa,churn_departure,2,2903,-0.13267273692161763
c,synthetic,,conservative_recency,qualified_exist,ospa,churn_departure,3,2904,0.0003833916254161185
c,synthetic,,conservative_recency,qualified_exist,ospa,churn_departure,4,2905,0.7146103787470744
c,synthetic,,conservative_recency,qualified_exist,ospa,churn_departure,5,2906,0.17949344486394736
c,synthetic,,conservative_recency,qualified_exist,ospa,churn_departure,6,2907,0.508143862710785
c,synthetic,,conservative_recency,qualified_exist,ospa,churn_departure,7,2908,-0.06588316266194538
c,synthetic,,conservative_recency,qualified_exist,ospa,churn_departure,8,2909,0.37440228940545783
c,synthetic,,conservative_recency,qualified_exist,ospa,churn_departure,9,2910,0.024117319008415405
c,synthetic,,conservative_recency,qualified_exist,ospa,churn_departure,10,2911,0.21057833413990323
c,synthetic,,conservative_recency,qualified_exist,ospa,churn_departure,11,2912,0.6452601039999908
c,synthetic,,conservative_recency,qualified_exist,ospa,churn_departure,12,2913,0.2496788598291967
c,synthetic,,conservative_recency,qualified_exist,ospa,churn_departure,13,2914,0.4995454829571595
c,synthetic,,conservative_recency,qualified_exist,ospa,churn_departure,14,2915,-0.00997780635218426
c,synthetic,,conservative_recency,qualified_exist,ospa,churn_departure,15,2916,-0.024315715102211533
c,synthetic,,conservative_recency,qualified_exist,ospa,churn_departure,16,2917,0.659554984328889
c,synthetic,,conservative_recency,qualified_exist,ospa,churn_departure,17,2918,-0.12805098741079513
c,synthetic,,conservative_recency,qualified_exist,ospa,churn_departure,18,2919,0.4369552922563261
c,synthetic,,conservative_recency,qualified_exist,ospa,churn_departure,19,2920,-0.0006743864864797722
c,synthetic,,confirmation_recency,qualified_exist,ospa,churn_departure,0,2901,0.08650914585781821
c,synthetic,,confirmation_recency,qualified_exist,ospa,churn_departure,1,2902,0.5796269554062816
c,synthetic,,confirmation_recency,qualified_exist,ospa,churn_departure,2,2903,-0.1369455716378165
c,synthetic,,confirmation_recency,qualified_exist,ospa,churn_departure,3,2904,7.680628991546534e-05
c,synthetic,,confirmation_recency,qualified_exist,ospa,churn_departure,4,2905,0.4397986107462283
c,synthetic,,confirmation_recency,qualified_exist,ospa,churn_departure,5,2906,0.03709555302503953
c,synthetic,,confirmation_recency,qualified_exist,ospa,churn_departure,6,2907,0.2883926118847291
c,synthetic,,confirmation_recency,qualified_exist,ospa,churn_departure,7,2908,-0.05476738701673911
c,synthetic,,confirmation_recency,qualified_exist,ospa,churn_departure,8,2909,0.207019554274947
c,synthetic,,confirmation_recency,qualified_exist,ospa,churn_departure,9,2910,-0.03291822222811691
c,synthetic,,confirmation_recency,qualified_exist,ospa,churn_departure,10,2911,-0.06708811275659565
c,synthetic,,confirmation_recency,qualified_exist,ospa,churn_departure,11,2912,0.5574344867743097
c,synthetic,,confirmation_recency,qualified_exist,ospa,churn_departure,12,2913,0.16971539707140126
c,synthetic,,confirmation_recency,qualified_exist,ospa,churn_departure,13,2914,0.2277083915205571
c,synthetic,,confirmation_recency,qualified_exist,ospa,churn_departure,14,2915,-0.012016524579985477
c,synthetic,,confirmation_recency,qualified_exist,ospa,churn_departure,15,2916,8.514300375850326e-13
c,synthetic,,confirmation_recency,qualified_exist,ospa,churn_departure,16,2917,0.4258403751196592
c,synthetic,,confirmation_recency,qualified_exist,ospa,churn_departure,17,2918,-0.18019833388132445
c,synthetic,,confirmation_recency,qualified_exist,ospa,churn_departure,18,2919,0.2285451432954152
c,synthetic,,confirmation_recency,qualified_exist,ospa,churn_departure,19,2920,-0.009343627260744447
c,synthetic,,conservative_recency,qualified_exist,ospa,split_no_new,0,2901,0.1391225508286893
c,synthetic,,conservative_recency,qualified_exist,ospa,split_no_new,1,2902,0.20659915358502035
c,synthetic,,conservative_recency,qualified_exist,ospa,split_no_new,2,2903,0.10520717581028727
c,synthetic,,conservative_recency,qualified_exist,ospa,split_no_new,3,2904,0.08679527780474428
c,synthetic,,conservative_recency,qualified_exist,ospa,split_no_new,4,2905,0.042531084743655634
c,synthetic,,conservative_recency,qualified_exist,ospa,split_no_new,5,2906,0.07722133216950289
