time,receiver,formation,birthTime,birthLocation,predictedExistence,localExistence,predictedMeanPd,localExistenceChange,localLogOddsChange,weightedInputLogOdds,spatialLogNormalizer,preEtaExistence,fusedExistence,activeExistenceSourceCount,strongInputPresent,selectedForOutput,mixtureUsed,normalizerFallback
1,6,1,1,24,0.06,0.06,0,0,0,-2.75153531304195,5.32907051820075e-15,0.06,0.0600000000000003,2,0,0,0,0
1,7,2,1,1,0.06,0.44994678152289,0.760182550132616,0.38994678152289,2.55064959111723,1.15718722730156,-0.133106197113326,0.760821243753409,0.735766772016567,2,0,1,0,1
1,7,2,1,2,0.06,0.501554024263804,0.758609618507539,0.441554024263804,2.75775143011304,1.30708641973177,-0.164676324310154,0.787025200058288,0.758121860575975,2,0,1,0,1
1,7,2,1,3,0.06,0.512997792121115,0.752437791884517,0.452997792121115,2.80353819764146,1.33843371782138,-0.193207787520002,0.792232248907223,0.758637833596463,2,0,1,0,1
1,7,2,1,4,0.06,0.483895218199256,0.739612094967143,0.423895218199256,2.68709389462523,1.24695602745958,-0.209621091917976,0.776772490213455,0.738335452864527,2,0,1,0,1
1,7,2,1,5,0.06,0.06,0,0,0,-2.75153531304195,-5.32907051820075e-15,0.06,0.0599999999999997,2,0,0,0,0
1,7,2,1,6,0.06,0.06,0,0,0,-2.75153531304195,1.59872115546023e-14,0.06,0.0600000000000009,2,0,0,0,0
1,7,2,1,7,0.06,0.06,0,0,0,-2.75153531304195,1.77635683940025e-15,0.06,0.0600000000000001,2,0,0,0,0
1,7,2,1,8,0.06,0.06,0,0,0,-2.75153531304195,8.88178419700125e-15,0.06,0.0600000000000005,2,0,0,0,0
1,7,2,1,9,0.06,0.06,0,0,0,-2.75153531304195,1.77635683940025e-15,0.06,0.0600000000000001,2,0,0,0,0
1,7,2,1,10,0.06,0.06,0,0,0,-2.75153531304195,8.88178419700125e-15,0.06,0.0600000000000005,2,0,0,0,0
1,7,2,1,11,0.06,0.06,0,0,0,-2.75153531304195,1.77635683940025e-15,0.06,0.0600000000000001,2,0,0,0,0
1,7,2,1,12,0.06,0.06,0,0,0,-2.75153531304195,-1.77635683940025e-15,0.06,0.0599999999999999,2,0,0,0,0
1,7,2,1,13,0.06,0.06,0,0,0,-2.75153531304195,1.77635683940025e-15,0.06,0.0600000000000001,2,0,0,0,0
1,7,2,1,14,0.06,0.06,0,0,0,-2.75153531304195,0,0.06,0.06,2,0,0,0,0
1,7,2,1,15,0.06,0.06,0,0,0,-2.75153531304195,1.77635683940025e-15,0.06,0.0600000000000001,2,0,0,0,0
1,7,2,1,16,0.06,0.06,0,0,0,-2.75153531304195,0,0.06,0.06,2,0,0,0,0
1,7,2,1,17,0.06,0.06,0,0,0,-2.75153531304195,1.77635683940025e-15,0.06,0.0600000000000001,2,0,0,0,0
1,7,2,1,18,0.06,0.06,0,0,0,-2.75153531304195,0,0.06,0.06,2,0,0,0,0
1,7,2,1,19,0.06,0.06,0,0,0,-2.75153531304195,1.77635683940025e-15,0.06,0.0600000000000001,2,0,0,0,0
1,7,2,1,20,0.06,0.06,0,0,0,-2.75153531304195,0,0.06,0.06,2,0,0,0,0
1,7,2,1,21,0.06,0.06,0,0,0,-2.75153531304195,1.77635683940025e-15,0.06,0.0600000000000001,2,0,0,0,0
1,7,2,1,22,0.06,0.06,0,0,0,-2.75153531304195,8.88178419700125e-15,0.06,0.0600000000000005,2,0,0,0,0
1,7,2,1,23,0.06,0.06,0,0,0,-2.75153531304195,1.77635683940025e-15,0.06,0.0600000000000001,2,0,0,0,0
1,7,2,1,24,0.06,0.06,0,0,0,-2.75153531304195,5.32907051820075e-15,0.06,0.0600000000000003,2,0,0,0,0
1,8,2,1,1,0.06,0.667687032069101,0.723902096243528,0.607687032069101,3.44927766255601,0.0355953495065423,-0.0883149117094213,0.50889789790532,0.486823161230945,2,0,0,0,1
1,8,2,1,2,0.06,0.699786834658579,0.720443836270092,0.639786834658579,3.5978183063205,0.227286347652003,-0.116971698592975,0.556578231394575,0.527550728456496,2,0,1,0,1
1,8,2,1,3,0.06,0.709831814743768,0.712784728454683,0.649831814743768,3.64610267033966,0.273730377414827,-0.147588351185794,0.568008476969491,0.53149375740203,2,0,1,0,1
1,8,2,1,4,0.06,0.708895914930061,0.699591857221879,0.648895914930061,3.64156313946706,0.186734698646922,-0.174833289992128,0.546548491637937,0.502975317044248,2,0,1,0,1
1,8,2,1,5,0.06,0.06,0,0,0,-2.75153531304195,8.88178419700125e-15,0.06,0.0600000000000005,2,0,0,0,0
1,8,2,1,6,0.06,0.06,0,0,0,-2.75153531304195,1.77635683940025e-15,0.06,0.0600000000000001,2,0,0,0,0
1,8,2,1,7,0.06,0.06,0,0,0,-2.75153531304195,2.30926389122033e-14,0.06,0.0600000000000013,2,0,0,0,0
1,8,2,1,8,0.06,0.06,0,0,0,-2.75153531304195,-5.32907051820075e-15,0.06,0.0599999999999997,2,0,0,0,0
1,8,2,1,9,0.06,0.06,0,0,0,-2.75153531304195,8.88178419700125e-15,0.06,0.0600000000000005,2,0,0,0,0
1,8,2,1,10,0.06,0.06,0,0,0,-2.75153531304195,8.88178419700125e-15,0.06,0.0600000000000005,2,0,0,0,0
1,8,2,1,11,0.06,0.06,0,0,0,-2.75153531304195,5.32907051820075e-15,0.06,0.0600000000000003,2,0,0,0,0
1,8,2,1,12,0.06,0.06,0,0,0,-2.75153531304195,5.32907051820075e-15,0.06,0.0600000000000003,2,0,0,0,0
1,8,2,1,13,0.06,0.06,0,0,0,-2.75153531304195,-1.77635683940025e-15,0.06,0.0599999999999999,2,0,0,0,0
1,8,2,1,14,0.06,0.06,0,0,0,-2.75153531304195,3.5527136788005e-15,0.06,0.0600000000000002,2,0,0,0,0
1,8,2,1,15,0.06,0.06,0,0,0,-2.75153531304195,-1.77635683940025e-15,0.06,0.0599999999999999,2,0,0,0,0
1,8,2,1,16,0.06,0.06,0,0,0,-2.75153531304195,0,0.06,0.06,2,0,0,0,0
1,8,2,1,17,0.06,0.06,0,0,0,-2.75153531304195,-1.77635683940025e-15,0.06,0.0599999999999999,2,0,0,0,0
1,8,2,1,18,0.06,0.06,0,0,0,-2.75153531304195,3.5527136788005e-15,0.06,0.0600000000000002,2,0,0,0,0
1,8,2,1,19,0.06,0.06,0,0,0,-2.75153531304195,0,0.06,0.06,2,0,0,0,0
1,8,2,1,20,0.06,0.06,0,0,0,-2.75153531304195,1.77635683940025e-15,0.06,0.0600000000000001,2,0,0,0,0
1,8,2,1,21,0.06,0.06,0,0,0,-2.75153531304195,8.88178419700125e-15,0.06,0.0600000000000005,2,0,0,0,0
1,8,2,1,22,0.06,0.06,0,0,0,-2.75153531304195,8.88178419700125e-15,0.06,0.0600000000000005,2,0,0,0,0
1,8,2,1,23,0.06,0.06,0,0,0,-2.75153531304195,5.32907051820075e-15,0.06,0.0600000000000003,2,0,0,0,0
1,8,2,1,24,0.06,0.06,0,0,0,-2.75153531304195,5.32907051820075e-15,0.06,0.0600000000000003,2,0,0,0,0
1,9,2,1,1,0.06,0.284872193191791,0.719861865100469,0.224872193191791,1.83111467028731,0.212293451833452,-0.166036648609285,0.552874929107793,0.511562139261635,2,0,1,0,1
