time,receiver,formation,predictedLabelCount,localLabelCount,fusedLabelCount,predictedMass,localMass,localUpdateMassChange,preEtaMass,fusedMass,poolingMassChangeFromLocal,spatialMassLoss,prunedMass,retainedNotOutputMass,localMapCount,outputMapCount,zeroPdLabelCount,zeroPdMaxAbsLocalChange,weakBeforeSpatialCount,normalizerFallbackCount
1,25,5,24,24,24,1.44,3.98545811384729,2.54545811384729,2.59563213972839,2.40020112242383,-1.3898259741189,0.195431017304557,0,1.75629330949014,4,2,20,0,24,8
1,26,5,24,24,24,1.44,3.99292926888038,2.55292926888038,3.98772731219385,3.89978622034055,-0.00520195668653223,0.0879410918533017,0,1.2,4,4,20,0,20,4
1,27,5,24,24,24,1.44,2.22394978927604,0.783949789276039,3.46262036712052,3.28317689146053,1.23867057784448,0.179443475659994,0,1.65825994217135,2,3,20,0,20,0
1,28,5,24,24,24,1.44,3.98169567126071,2.54169567126071,2.58712122995113,2.43669340311833,-1.39457444130958,0.150427826832803,0,1.74235431250143,4,2,20,0,24,4
1,29,5,24,24,24,1.44,3.13783010159565,1.69783010159565,3.66251977007571,3.51091031163979,0.524689668480058,0.151609458435922,0,1.51547618285842,3,3,21,0,21,3
1,30,5,24,24,24,1.44,2.23224751793671,0.792247517936705,2.82081563071536,2.66725934840622,0.588568112778657,0.153556282309143,0,1.71243606400652,2,2,20,0,22,3
1,31,6,24,24,24,1.44,3.99288041762549,2.55288041762549,4.46348693514785,4.43803507388649,0.470606517522361,0.0254518612613674,0,1.2,4,4,20,0,20,4
1,32,6,24,24,24,1.44,3.98526869154868,2.54526869154867,3.99063469691558,3.92647903296992,0.00536600536690379,0.0641556639456633,0,1.2,4,4,20,0,20,4
1,33,6,24,24,24,1.44,3.12333587089853,1.68333587089853,3.66113803956752,3.52066986123109,0.537802168668992,0.140468178336431,0,1.53842103890818,3,3,21,0,21,3
1,34,6,24,24,24,1.44,3.97418544615491,2.53418544615491,3.18657112934832,3.01896231745661,-0.787614316806582,0.167608811891712,0,1.2775762673234,4,3,20,0,21,7
1,35,6,24,24,24,1.44,4.57878476543988,3.13878476543988,4.1858470448443,4.05508940313146,-0.392937720595587,0.130757641712834,0,1.2,4,4,20,0,20,2
1,36,6,24,24,24,1.44,4.61657045144956,3.17657045144956,4.59053539984174,4.54785233886103,-0.0260350516078152,0.0426830609807149,0,1.2,4,4,20,0,20,2
2,1,1,24,24,24,1.37364873667488,1.37364873667488,0,1.7957817111642,1.64636116578928,0.422132974489325,0.149420545374922,0,1.34718140513012,1,1,24,6.93889390390723e-18,24,3
2,2,1,24,24,24,1.4256,1.4256,0,1.38795521493092,1.38222427173973,-0.0376447850690864,0.00573094319118628,0,1.32282427173973,1,1,24,6.93889390390723e-18,24,0
2,3,1,24,24,24,1.4256,1.4256,0,1.4256,1.42560000000002,0,-1.08801856413265e-14,0,1.36620000000001,1,1,24,6.93889390390723e-18,24,0
2,4,1,24,24,24,1.41150526353062,2.21701047355905,0.805505210028431,1.56223460171116,1.48244711950454,-0.65477587184789,0.0797874822066273,0,1.36620000000001,2,1,23,6.93889390390723e-18,24,0
2,5,1,24,24,24,1.43481595555445,2.33057462133713,0.895758665782679,2.26718406754142,2.26000060705531,-0.063390553795704,0.00718346048611407,0,1.30680000000001,2,2,23,6.93889390390723e-18,23,1
2,6,1,24,24,24,1.88505508647345,1.88505508647345,0,2.27765504888494,2.26266392477981,0.392599962411495,0.0149911241051286,0,1.30680000000001,2,2,24,6.93889390390723e-18,23,1
2,7,2,24,24,24,4.148953299863,5.15489891320568,1.00594561334268,4.86241109914414,4.79697252285542,-0.292487814061538,0.0654385762887193,0,1.1286,5,5,20,6.93889390390723e-18,20,2
2,8,2,24,24,24,3.21635453449239,4.39273606509102,1.17638153059864,5.11213085091912,5.00583266227338,0.719394785828094,0.106298188645741,0,1.06575040542524,4,5,20,6.93889390390723e-18,20,6
2,9,2,24,24,24,3.22571647811269,4.4039284767808,1.17821199866811,4.39613607458204,4.21438958798065,-0.00779240219876254,0.181746486601387,0,1.18800000000001,4,4,20,6.93889390390723e-18,20,0
2,10,2,24,24,24,2.53392421862346,3.40768367516836,0.873759456544904,4.1542461695808,3.9370260067044,0.74656249441244,0.217220162876404,0,1.188,3,4,20,6.93889390390723e-18,20,3
2,11,2,24,24,24,3.32115290924055,5.11825137361007,1.79709846436952,4.12291643773559,4.02393049735083,-0.995334935874481,0.0989859403847628,0,1.188,5,4,20,6.93889390390723e-18,20,2
2,12,2,24,24,24,3.4819547075461,4.40429735195034,0.922342644404238,5.04037912729202,4.91865135450998,0.636081775341676,0.121727772782041,0,1.1286,4,5,20,6.93889390390723e-18,20,2
2,13,3,24,24,24,3.82522245596365,4.55669851851333,0.731476062549683,4.69217984687111,4.21883691762461,0.13548132835778,0.473342929246505,0,1.16484775250771,4,4,20,6.93889390390723e-18,20,4
2,14,3,24,24,24,2.59833472661686,5.01219723726922,2.41386251065236,4.7475093388144,4.65487712276302,-0.264687898454818,0.0926322160513839,0,1.17498950797876,5,4,20,6.93889390390723e-18,20,0
2,15,3,24,24,24,2.72021769814632,4.46186048203305,1.74164278388673,4.92005447195504,4.8582410151108,0.458193989921989,0.0618134568442361,0,1.12860000000001,4,5,20,6.93889390390723e-18,20,2
2,16,3,24,24,24,2.27958450385458,3.35285390016241,1.07326939630783,4.17463394135206,3.68407215450213,0.82178004118966,0.490561786849937,0,1.14402798567093,3,4,20,6.93889390390723e-18,20,5
2,17,3,24,24,24,4.11061819542511,4.0545030525151,-0.0561151429100075,3.57848089019719,3.3663022508257,-0.47602216231791,0.212178639371492,0,1.65620439821791,4,3,20,6.93889390390723e-18,20,3
2,18,3,24,24,24,4.50490449322442,4.76384338082366,0.258938887599235,4.32386888989925,4.25300311631173,-0.439974490924407,0.0708657735875162,0,1.18800000000002,4,4,20,6.93889390390723e-18,20,2
2,19,4,24,24,24,3.65000503000838,4.51490282964583,0.86489779963745,4.19463044612565,4.04115252920484,-0.320272383520185,0.153477916920806,0,1.13594531053404,4,4,20,6.93889390390723e-18,20,7
2,20,4,24,24,24,3.67740580431552,4.51040287428294,0.832997069967418,4.51386601284361,4.47033406154188,0.00346313856067137,0.0435319513017278,0,1.17352270275056,4,4,20,6.93889390390723e-18,20,4
2,21,4,24,24,24,3.30422826187883,2.92276197342737,-0.381466288451461,4.13851385402199,4.06529501299003,1.21575188059462,0.073218841031963,0,1.18800000000001,3,4,20,6.93889390390723e-18,20,3
2,22,4,24,24,24,3.59449862299316,5.09062008953138,1.49612146653822,3.92087401386896,3.68630312343903,-1.16974607566242,0.23457089042993,0,1.15466826347995,5,4,20,6.93889390390723e-18,20,7
2,23,4,24,24,24,3.28133124128607,3.76905874571774,0.48772750443167,4.98771097223835,4.97077758483591,1.2186522265206,0.016933387402438,0,1.09846112491712,4,5,20,6.93889390390723e-18,20,1
2,24,4,24,24,24,2.53942334207544,4.22881195421513,1.68938861213968,3.90989903313295,3.54981960133388,-0.318912921082173,0.360079431799076,0,1.59611229862716,4,3,20,6.93889390390723e-18,21,0
