cohort,sequence,condition,arm,frames,ospa,gospa,loc2,miss2,false2,countError,matched_sse,matched_support,raw_bytes,wire_bytes
development,0003,reliable,tc_ospa2_w5,198,7.025456144773737,17.459684708088965,17.759043911887712,201.0909090909091,117.81818181818181,2.782828282828283,7032.58138910754,2610,1145392,6538752.0
development,0003,reliable,tc_ospa2_w10,198,7.169621555282766,17.48514549119944,18.042068840997107,223.27272727272728,97.81818181818181,2.9343434343434343,7144.659261034853,2488,2237808,6538752.0
development,0004,intermittent,local,180,5.08318035065443,23.170265617401476,59.11800208970566,344.4,147.0,2.813888888888889,21282.48075229405,8074,0,0
development,0004,intermittent,lineage,180,5.070929729518972,24.125896862236342,64.14797285375111,314.6,211.6,2.1805555555555554,23093.27022735038,8223,5734224,7975936.0
development,0004,intermittent,qualified_exist,180,5.023765254790169,23.983741135467753,64.18376881511573,306.2,213.0,2.066666666666667,23106.156773441646,8265,5932296,8205312
development,0004,intermittent,innovation_recency,180,5.0323511828596725,24.025360134596664,63.6981266728682,308.6,213.4,2.0944444444444446,22931.32560223257,8253,5919336,8188928
development,0004,intermittent,conservative_recency,180,5.06820747842616,24.00925852776634,65.41689263772581,321.4,199.0,2.238888888888889,23550.081349581258,8189,5699280,7910400
development,0004,intermittent,confirmation_recency,180,5.011651077293106,23.90907468021497,64.84869541447624,308.2,207.4,2.0722222222222224,23345.530349211447,8255,5689504,7910400
development,0004,intermittent,mil_support,180,4.82430898714728,22.95563975578274,58.05375271604072,285.0,193.8,1.8944444444444444,20899.350977774644,8371,5888144,8320000.0
development,0004,intermittent,tc_ospa2_w5,180,4.971056016840679,23.433557440233027,53.46698596880022,277.4,226.2,2.161111111111111,19248.114948768085,8409,2149936,5944320.0
development,0004,intermittent,tc_ospa2_w10,180,5.022501807638191,23.589000225564583,55.34337701556009,290.6,218.6,2.272222222222222,19923.615725601634,8343,4217760,5944320.0
development,0004,reliable,local,180,5.08318035065443,23.170265617401476,59.11800208970566,344.4,147.0,2.813888888888889,21282.48075229405,8074,0,0
development,0004,reliable,lineage,180,5.19154009941821,24.64274730303865,62.905528654411484,318.0,233.2,2.3555555555555556,22645.990315588147,8206,5689296,7910400.0
development,0004,reliable,qualified_exist,180,5.158462418786463,24.516173557013545,63.042217307213285,315.6,229.6,2.3055555555555554,22695.198230596783,8218,5893200,8057856
development,0004,reliable,innovation_recency,180,5.157346327627442,24.509085397948528,63.50386328893647,315.2,229.2,2.3055555555555554,22861.39078401713,8220,5872248,8057856
development,0004,reliable,conservative_recency,180,5.112951698255269,24.251202791409195,63.427428500354836,322.8,209.6,2.261111111111111,22833.874260127755,8182,5721328,7992320
development,0004,reliable,confirmation_recency,180,5.11895118203328,24.34983027728431,62.91298676461671,316.8,221.2,2.25,22648.67523526201,8212,5697616,7943168
development,0004,reliable,mil_support,180,4.806934302205865,22.982126017698203,62.50146997271802,283.6,192.0,1.8055555555555556,22500.5291901785,8378,6234464,8680448.0
development,0004,reliable,tc_ospa2_w5,180,4.957348328107663,23.854791704389967,52.49096180294993,264.0,259.6,1.8944444444444444,18896.74624906198,8476,2149936,5944320.0
development,0004,reliable,tc_ospa2_w10,180,5.006605259740557,23.975760872434037,55.549073537870854,278.4,248.0,2.011111111111111,19997.666473633508,8404,4217760,5944320.0
development,0005,intermittent,local,310,6.350660405217188,20.15174424754889,30.994110701549605,308.3225806451613,116.59354838709677,3.2661290322580645,19216.34863496075,6987,0,0
development,0005,intermittent,lineage,310,5.075482099976893,16.217981663623316,24.251607210615813,157.93548387096774,114.50322580645161,1.6258064516129032,15035.996470581791,8282,10052096,14775808.0
development,0005,intermittent,qualified_exist,310,4.941829011926245,15.711997696482376,25.326318550848264,143.76774193548388,111.83225806451613,1.5467741935483872,15702.317501525944,8404,9628600,14857728
development,0005,intermittent,innovation_recency,310,4.967148544467602,15.760828759086134,23.98284719194757,145.9741935483871,112.76129032258065,1.5838709677419356,14869.365259007494,8385,9867712,14841344
development,0005,intermittent,conservative_recency,310,5.0279062720597425,16.00074581064814,24.038115799427562,163.04516129032257,105.56129032258065,1.6887096774193548,14903.631795645075,8238,9605104,14726656
development,0005,intermittent,confirmation_recency,310,4.994137813003348,15.875360566696644,23.827707106619116,154.21935483870968,109.04516129032258,1.6338709677419354,14773.178406103872,8314,9354880,14759424
development,0005,intermittent,mil_support,310,5.090488660235231,16.329478902449633,27.58151854476175,147.6,125.41935483870968,1.6274193548387097,17100.54149775228,8371,13823760,18101760.0
development,0005,intermittent,tc_ospa2_w5,310,5.642950687168947,17.73407374212955,27.147998575169257,162.23225806451612,153.40645161290323,1.9774193548387098,16831.759116604953,8245,3328384,10237440.0
development,0005,intermittent,tc_ospa2_w10,310,5.676140143636472,17.91249785080384,27.33471447695583,186.73548387096776,138.89032258064515,2.041935483870968,16947.52297571261,8034,6570160,10237440.0
development,0005,reliable,local,310,6.350660405217188,20.15174424754889,30.994110701549605,308.3225806451613,116.59354838709677,3.2661290322580645,19216.34863496075,6987,0,0
development,0005,reliable,lineage,310,4.7446865114853605,15.256051763135527,21.49546283188981,140.28387096774193,102.89032258064516,1.5516129032258064,13327.186955771711,8434,10052928,14743040.0
development,0005,reliable,qualified_exist,310,4.589181245898201,14.737857962499572,21.253086239168155,122.4,104.0516129032258,1.403225806451613,13176.91346828425,8588,9994720,14775808
development,0005,reliable,innovation_recency,310,4.596240174778878,14.68922901196857,22.82702924994806,119.14838709677419,103.12258064516129,1.4741935483870967,14152.758134967824,8616,9397696,14628352
development,0005,reliable,conservative_recency,310,4.695543616596121,14.889186856867775,18.710178500217765,142.60645161290321,92.67096774193548,1.5903225806451613,11600.310670135012,8414,9901712,14808576
development,0005,reliable,confirmation_recency,310,4.601346880710195,14.622569079634568,20.51317809483559,127.27741935483871,96.15483870967742,1.5032258064516129,12718.17041879807,8546,9654608,14743040
development,0005,reliable,mil_support,310,4.866428004881203,15.46769562065545,26.335294122268888,115.43225806451613,122.4,1.5096774193548388,16327.882355806705,8648,14620816,19461632.0
development,0005,reliable,tc_ospa2_w5,310,5.2209207186678634,16.532026287297207,25.407239199129993,108.0,162.11612903225807,1.7516129032258065,15752.48830346059,8712,3328384,10237440.0
development,0005,reliable,tc_ospa2_w10,310,5.283882739688156,16.873398228910528,25.834604626622514,141.44516129032257,144.46451612903226,1.7451612903225806,16017.454868505958,8424,6570160,10237440.0
development,0006,intermittent,local,304,6.316205091774901,12.768977771738895,5.411732385840826,78.98684210526316,116.28947368421052,1.4917763157894737,3290.3332905912216,3355,0,0
development,0006,intermittent,lineage,304,6.159337811977141,12.41384703448151,4.236575122476073,64.30263157894737,121.5,1.425986842105263,2575.8376744654515,3479,5163088,11366400.0
development,0006,intermittent,qualified_exist,304,6.209741632231192,12.480734143112722,2.5922344980103706,63.0,123.51315789473684,1.449013157894737,1576.0785747903049,3490,5076664,10891264
development,0006,intermittent,innovation_recency,304,6.1910301932423835,12.443584708858891,2.815999153236098,62.64473684210526,123.15789473684211,1.4391447368421053,1712.127485167549,3493,5099776,11071488
development,0006,intermittent,conservative_recency,304,6.316281500205927,12.790754270151671,5.065012026123878,65.96052631578948,126.71052631578948,1.544407894736842,3079.5273118833197,3465,5002720,11137024
development,0006,intermittent,confirmation_recency,304,6.2787724136041705,12.6763889472686,5.74538339133645,60.63157894736842,126.47368421052632,1.5164473684210527,3493.193101932564,3510,4958832,11153408
development,0006,intermittent,mil_support,304,6.348304880512843,12.830908727763177,3.2274591093659986,52.223684210526315,137.72368421052633,1.5625,1962.2951384945275,3581,6525488,12759040.0
development,0006,intermittent,tc_ospa2_w5,304,6.521376001143736,13.021069269414497,3.6352533824687385,53.526315789473685,138.19736842105263,1.6463815789473684,2210.2340565409895,3570,1515904,10039296.0
development,0006,intermittent,tc_ospa2_w10,304,6.420536509891892,12.808170033912276,3.744565806469992,61.93421052631579,125.17105263157895,1.480263157894737,2276.6960103337547,3499,2953600,10039296.0
development,0006,reliable,local,304,6.316205091774901,12.768977771738895,5.411732385840826,78.98684210526316,116.28947368421052,1.4917763157894737,3290.3332905912216,3355,0,0
development,0006,reliable,lineage,304,6.185570340636386,12.321321918910886,2.665364217901482,65.13157894736842,117.47368421052632,1.450657894736842,1620.5414444841024,3472,4824048,10629120.0
development,0006,reliable,qualified_exist,304,6.393488340804606,12.871222225323878,2.6697504826480256,63.94736842105263,131.92105263157896,1.6414473684210527,1623.20829345,3482,4909264,10579968
development,0006,reliable,innovation_recency,304,6.404946634031872,12.887200331250071,2.6647911275535785,64.65789473684211,131.68421052631578,1.6546052631578947,1620.1930055525738,3476,4941232,10629120
development,0006,reliable,conservative_recency,304,6.187250901926732,12.375758303705267,2.634244616647868,66.07894736842105,119.13157894736842,1.4736842105263157,1601.6207269219049,3464,4842144,10825728
development,0006,reliable,confirmation_recency,304,6.384501163472862,12.859603616406298,2.8607446010924718,63.473684210526315,131.68421052631578,1.631578947368421,1739.3327174642245,3486,4804288,10661888
development,0006,reliable,mil_support,304,6.411477928821353,12.965219851726635,2.814988732381541,52.578947368421055,140.44736842105263,1.5953947368421053,1711.5131492879746,3578,6717888,12791808.0
development,0006,reliable,tc_ospa2_w5,304,6.64450195840269,13.252326978304362,3.581102734393745,47.60526315789474,147.31578947368422,1.7138157894736843,2177.3104625113942,3620,1515904,10039296.0
development,0006,reliable,tc_ospa2_w10,304,6.441839804337907,12.889911554255914,3.6669507823863827,58.26315789473684,129.78947368421052,1.4605263157894737,2229.50607569092,3530,2953600,10039296.0
development,0007,intermittent,local,221,8.052887305181635,22.76003489928018,15.804288146704206,455.78280542986425,82.42533936651584,5.280542986425339,6985.49536084326,3146,0,0
development,0007,intermittent,lineage,221,4.8119662264989005,14.648212048278006,38.43897875486492,144.97737556561086,91.22171945701358,2.0316742081447963,16990.02860965028,5054,8929024,13360384.0
