sequence,role,condition,arm,frames,ospa,gospa,loc2,miss2,false2,countError,matched_sse,matched_support,raw_bytes,wire_bytes,runtime_s,maximum_bernoulli_count
0005,reserved,reliable,confirmation_recency,217,5.188306544720986,11.845454157595169,18.47423163531922,67.02304147465438,68.0184331797235,1.0276497695852536,8017.816529728545,2748,3339808,7166208,7.382491375,73
0005,reserved,reliable,mil_support,217,5.246184323881049,12.40289192733153,14.83433871039681,53.08755760368663,110.15668202764977,1.1705069124423964,6438.103000312212,2832,3624976,7231744,5.596723625,81
0005,reserved,reliable,tc_ospa2_w5,217,5.5880544769977245,13.207049172711029,15.483208759152035,46.11981566820276,137.36405529953916,1.6451612903225807,6719.712601471978,2874,915136,7166208,0.9692815416666667,0
0005,reserved,reliable,tc_ospa2_w10,217,5.488100144398347,12.982378287197326,14.70497184338728,58.064516129032256,120.7741935483871,1.4516129032258065,6381.957780030079,2802,1784416,7166208,1.2927899583333333,0
0005,reserved,intermittent,local,217,6.297126541882585,14.370087836384782,17.84460294284588,116.62672811059907,89.75115207373273,1.5069124423963134,7744.557677195105,2449,0,0,1.81962775,48
0005,reserved,intermittent,lineage,217,5.386352334725602,12.304184683621815,18.555799582899514,75.48387096774194,73.16129032258064,1.064516129032258,8053.217018978396,2697,3287600,7166208,5.89792125,74
0005,reserved,intermittent,qualified_exist,217,5.398310173440676,12.194474387348508,16.732830821562278,76.47926267281106,67.85253456221199,1.096774193548387,7262.048576558023,2691,3168000,7166208,5.722654291666666,68
0005,reserved,intermittent,conservative_recency,217,5.47561907388196,12.401134834419498,16.373715418224542,82.78341013824885,69.17972350230414,1.119815668202765,7106.192491509453,2653,3159888,7166208,5.920736708333333,71
0005,reserved,intermittent,confirmation_recency,217,5.413069765317609,12.253022842748143,15.881916503844362,78.96774193548387,68.18433179723502,1.0944700460829493,6892.751762668464,2676,3026352,7166208,6.264035125,67
0005,reserved,intermittent,mil_support,217,5.527344545300574,13.114337406124692,13.799848974449862,71.17050691244239,106.67281105990783,1.096774193548387,5989.134454911237,2723,3218128,7198976,4.541852208333333,81
0005,reserved,intermittent,tc_ospa2_w5,217,5.854804310840797,13.75927637280458,15.866205243106378,70.50691244239631,124.7557603686636,1.564516129032258,6885.933075508158,2727,915136,7166208,0.6796985416666667,0
0005,reserved,intermittent,tc_ospa2_w10,217,5.807599295875569,13.580873804942025,15.238489483722004,79.63133640552995,111.15207373271889,1.433179723502304,6613.504435935342,2672,1784416,7166208,0.9573844583333333,0
0010,reserved,reliable,local,119,5.618908276023519,19.346861850143572,54.89347273315899,281.0420168067227,67.76470588235294,3.4243697478991595,13064.646510491844,3443,0,0,2.3603007083333334,87
0010,reserved,reliable,lineage,119,4.4217967015451425,15.817786964572488,77.75632873703168,143.39495798319328,44.168067226890756,1.5798319327731092,18506.00623941354,3898,4349408,6731520,12.68799025,171
0010,reserved,reliable,qualified_exist,119,4.759229569320987,16.89863957452676,85.82556203679815,165.1764705882353,46.588235294117645,1.8487394957983194,20426.483764757977,3826,4732336,7206656,14.759325208333333,172
0010,reserved,reliable,conservative_recency,119,4.4747706930894156,15.967429662232037,77.44914876985868,149.4453781512605,43.563025210084035,1.6554621848739495,18432.897407226363,3878,4509152,7010048,13.590601791666666,164
0010,reserved,reliable,confirmation_recency,119,4.634494956273356,16.58052829063448,85.53073772334356,156.10084033613447,46.588235294117645,1.7058823529411764,20356.31557815576,3856,4482112,7026432,13.814739708333333,167
0010,reserved,reliable,mil_support,119,4.2013950131713855,15.576322053378838,43.7731452549891,128.87394957983193,84.10084033613445,1.2941176470588236,10418.0085706874,3946,4161376,5732096,10.787928125,175
0010,reserved,reliable,tc_ospa2_w5,119,4.375420926614688,15.864367433555596,42.40095234506213,91.96638655462185,133.71428571428572,1.9075630252100841,10091.42665812478,4068,915568,3929856,1.2356371666666666,0
0010,reserved,reliable,tc_ospa2_w10,119,4.422066510168036,16.13343446734338,47.162463812266125,113.14285714285714,118.58823529411765,1.8571428571428572,11224.666387319336,3998,1779488,3929856,1.6147942083333333,0
0010,reserved,intermittent,local,119,5.618908276023519,19.346861850143572,54.89347273315899,281.0420168067227,67.76470588235294,3.4243697478991595,13064.646510491844,3443,0,0,2.3603007083333334,87
0010,reserved,intermittent,lineage,119,4.646043623755249,16.639196904348346,73.16923151383688,170.6218487394958,47.49579831932773,1.8445378151260505,17414.277100293173,3808,4911008,6862592,13.002762208333333,174
0010,reserved,intermittent,qualified_exist,119,4.617863410035942,16.630500838955175,68.55903676632575,167.89915966386553,52.94117647058823,1.773109243697479,16317.050750385539,3817,4978816,6600448,11.949587583333333,156
0010,reserved,intermittent,conservative_recency,119,4.692055220777176,16.768770272154146,72.70342146162643,175.76470588235293,47.49579831932773,1.915966386554622,17303.414307867075,3791,4969664,6846208,12.833419291666667,166
0010,reserved,intermittent,confirmation_recency,119,4.612437431301216,16.631884700511392,67.48658696818808,169.109243697479,52.94117647058823,1.773109243697479,16061.807698428765,3813,4659536,6420224,11.817991,147
0010,reserved,intermittent,mil_support,119,4.34822592981895,15.963712066443208,45.516995507707584,139.76470588235293,84.70588235294117,1.453781512605042,10833.0449308344,3910,4087328,5535488,9.394231958333334,163
0010,reserved,intermittent,tc_ospa2_w5,119,4.708776505622883,16.8654536361545,47.097284616971905,142.48739495798318,112.53781512605042,2.197478991596639,11209.153738839317,3901,915568,3929856,0.86064325,0
0010,reserved,intermittent,tc_ospa2_w10,119,4.750489847921557,17.051533335892117,50.97985980949209,157.00840336134453,101.6470588235294,2.189075630252101,12133.206634659125,3853,1779488,3929856,1.1336079583333334,0
0015,reserved,reliable,local,145,6.6744344768275825,18.661946031675022,15.644507775545781,267.39310344827584,78.45517241379311,2.8586206896551722,4536.907254908276,2431,0,0,1.559550125,61
0015,reserved,reliable,lineage,145,4.329332756762601,12.266102700377713,4.011754379660438,95.33793103448276,69.51724137931035,1.393103448275862,1163.4087701015267,3124,2793984,4788480,4.545960125,74
0015,reserved,reliable,qualified_exist,145,4.219914895755037,11.731319224797538,5.7926222153198195,73.48965517241379,75.97241379310344,1.4689655172413794,1679.8604424427467,3212,2510896,4788480,4.107996083333333,67
0015,reserved,reliable,conservative_recency,145,4.319954404297006,12.190998352763105,3.9018266920998377,96.82758620689656,65.04827586206896,1.393103448275862,1131.529740708952,3118,2708912,4788480,4.660520166666666,70
0015,reserved,reliable,confirmation_recency,145,4.201949514789728,11.73032098802931,5.4484047058043465,76.46896551724137,72.99310344827586,1.3862068965517242,1580.037364683261,3200,2597840,4788480,4.9026103333333335,68
0015,reserved,reliable,mil_support,145,4.639873589129656,13.06921976623454,6.504422913901813,99.3103448275862,81.43448275862069,1.6275862068965516,1886.2826450315258,3108,4210880,6066432,6.404824041666667,101
0015,reserved,reliable,tc_ospa2_w5,145,4.682088594711859,13.570593707479489,8.127008517516183,75.97241379310344,118.17931034482758,1.6206896551724137,2356.832470079693,3202,982816,4788480,1.2708112916666667,0
0015,reserved,reliable,tc_ospa2_w10,145,4.859694758599475,14.310771095817898,11.31973704946062,111.72413793103448,103.28275862068965,1.5103448275862068,3282.723744343582,3058,1909072,4788480,1.688025375,0
0015,reserved,intermittent,local,145,6.6744344768275825,18.661946031675022,15.644507775545781,267.39310344827584,78.45517241379311,2.8586206896551722,4536.907254908276,2431,0,0,1.559550125,61
0015,reserved,intermittent,lineage,145,4.633359280915668,13.431302708645159,4.360139284675492,123.39310344827587,74.48275862068965,1.4655172413793103,1264.4403925558927,3011,2833920,4886784,4.153916708333333,81
0015,reserved,intermittent,qualified_exist,145,4.411963515356418,12.49537354501506,4.787172665639532,96.82758620689656,79.2,1.589655172413793,1388.2800730354645,3118,2529616,4788480,3.6970204583333333,66
0015,reserved,intermittent,conservative_recency,145,4.621772236025045,13.253551663195095,4.306489450400501,123.8896551724138,70.51034482758621,1.513793103448276,1248.8819406161433,3009,2755088,4788480,4.282516291666667,78
0015,reserved,intermittent,confirmation_recency,145,4.401511970005805,12.445073215134796,4.644083951533101,97.57241379310345,76.46896551724137,1.5551724137931036,1346.7843459446005,3115,2566640,4788480,4.309916291666666,77
0015,reserved,intermittent,mil_support,145,4.866538683450384,14.061508287102294,14.39236232029098,109.48965517241379,96.08275862068966,1.7310344827586206,4173.785072884385,3067,5129824,7704832,7.7700635,131
0015,reserved,intermittent,tc_ospa2_w5,145,5.127408067434214,14.710145015890596,9.815707796398058,123.1448275862069,107.50344827586207,2.0310344827586206,2846.555260955438,3012,982816,4788480,0.8989385,0
0015,reserved,intermittent,tc_ospa2_w10,145,5.199745559723028,15.101059820830562,10.778266498114881,147.22758620689655,95.0896551724138,1.8827586206896552,3125.6972844533175,2915,1909072,4788480,1.200726625,0
