condition,backend,frame,robot,phase,left_count,right_count,common_labels,same_labels,exact,maximum_existence_difference,maximum_mean_difference,maximum_covariance_difference,equal
reliable,GCE,9,2,local,27,28,21,False,False,0.1010835399248356,0.1775630688497954,3.4152906929028433,False
reliable,GCE,9,2,posterior,49,56,48,False,False,0.4111727259605907,1.2725991145051267,18.115062976923056,False
reliable,GCE,9,2,fused,52,57,49,False,False,0.4111727259605907,1.6954149466671389,18.115062976923056,False
reliable,GCE,9,2,target_local,3,4,0,False,False,0.0,0.0,0.0,False
reliable,GCE,9,2,target_posterior,15,14,13,False,False,0.004343394377674058,0.7465165199656099,14.9198092732207,False
reliable,GCE,10,1,predicted,59,66,59,False,False,0.4070609987009848,1.2725991145051267,0.0,False
reliable,GCE,10,1,local,55,63,55,False,False,0.07548865203733068,1.457379242880915,15.163730760674895,False
reliable,GCE,10,1,posterior,55,62,54,False,False,0.3033782772636386,1.4573792428809327,61.208016121030795,False
reliable,GCE,10,1,fused,55,63,55,False,False,0.3033782772636386,1.4573792428809327,61.208016121030795,False
reliable,GCE,10,1,target_local,22,22,21,False,False,0.04073987503687826,1.457379242880915,8.440417404541705,False
reliable,GCE,10,1,target_posterior,22,22,21,False,False,0.002818049271210277,1.4573792428809327,8.440417404541734,False
reliable,GCE,10,2,predicted,50,57,49,False,False,0.4070609987009848,1.2725991145051267,0.0,False
reliable,GCE,10,2,local,24,28,23,False,False,0.1409934279475722,0.13956381774379606,2.5334127221286717,False
reliable,GCE,10,2,posterior,55,62,52,False,False,0.3033782772636918,1.7848604593889528,21.852858616650778,False
reliable,GCE,10,2,fused,55,63,52,False,False,0.3033782772636918,1.7848604593889528,21.852858616650778,False
reliable,GCE,10,2,target_local,0,1,0,False,False,0.0,0.0,0.0,False
reliable,GCE,10,2,target_posterior,22,22,21,False,False,0.002818049271210277,1.4573792428809327,8.440417404541734,False
reliable,GCE,11,1,predicted,65,72,64,False,False,0.30034449449100215,1.4573792428809327,0.0,False
reliable,GCE,11,1,local,55,65,55,False,False,0.04128542157279025,1.8432988174362777,8.604895451801582,False
reliable,GCE,11,1,posterior,49,59,47,False,False,0.24416927505127384,1.8432988174362848,8.60489545180161,False
reliable,GCE,11,1,fused,55,65,55,False,False,0.24416927505127384,27.143612252863083,109.87749197885317,False
reliable,GCE,11,1,target_local,26,26,25,False,False,0.02135552801586168,1.8432988174362777,7.047573462618473,False
reliable,GCE,11,1,target_posterior,25,26,24,False,False,0.004845947508273567,1.8432988174362848,7.047573462618502,False
reliable,GCE,11,2,predicted,56,63,53,False,False,0.3003444944910549,1.7848604593889528,0.0,False
reliable,GCE,11,2,local,31,31,27,False,False,0.25152986471027783,1.7848604593889528,21.852858616650778,False
reliable,GCE,11,2,posterior,49,59,47,False,False,0.24416927505127384,1.8432988174362848,26.006735290008436,False
reliable,GCE,11,2,fused,55,65,51,False,False,0.24416927505127384,28.105013825919777,26.006735290008436,False
reliable,GCE,11,2,target_local,3,2,2,False,False,0.00012699762259433828,0.17846362589116627,4.37512871874188,False
reliable,GCE,11,2,target_posterior,25,26,24,False,False,0.004845947508273567,1.8432988174362848,7.047573462618502,False
reliable,GCE,12,1,predicted,59,69,57,False,False,0.24172758230076113,1.8432988174362848,0.0,False
reliable,GCE,12,1,local,50,61,49,False,False,0.04248483884374955,1.869126985682318,6.566409540939176,False
reliable,GCE,12,1,posterior,47,56,46,False,False,0.11249810039866981,1.8691269856822856,8.977479774997306,False
reliable,GCE,12,1,fused,53,62,52,False,False,0.11249810039866981,1.8691269856822856,44.77108430845803,False
reliable,GCE,12,1,target_local,25,28,25,False,False,0.04248483884374955,1.869126985682318,5.315342372945352,False
reliable,GCE,12,1,target_posterior,25,28,25,False,False,0.0032912938263615034,1.8691269856822856,5.315342372945366,False
reliable,GCE,12,2,predicted,51,61,49,False,False,0.24172758230076113,1.8432988174362848,0.0,False
reliable,GCE,12,2,local,24,25,23,False,False,0.46633312593561377,0.2547480419358288,26.006735290008436,False
reliable,GCE,12,2,posterior,47,56,45,False,False,0.11249810039866981,1.8691269856822856,8.977479774997306,False
reliable,GCE,12,2,fused,53,62,51,False,False,0.11249810039866981,21.13750185394262,22.767558631739064,False
reliable,GCE,12,2,target_local,0,0,0,True,True,0.0,0.0,0.0,True
reliable,GCE,12,2,target_posterior,25,28,25,False,False,0.0032912938263615034,1.8691269856822856,5.315342372945366,False
