branch,commit,archive_tag,method_family,in_current_mainline,had_remote_branch
codex/v46-causal-minimal-repair,e998ccd8839b8605b05dbeaa5c26f50b6fca6c31,codex/v46-causal-minimal-repair,topology-scheduling-prototypes,false,true
codex/v46-development-permit,8677cabefdbca03427a71cdf984e237d95a1b7d4,codex/v46-development-permit,topology-scheduling-prototypes,false,true
codex/v46-offline-source-provenance,2c3413ee177c4ee41b01a850059a5a0b63469c6f,codex/v46-offline-source-provenance,topology-scheduling-prototypes,false,true
codex/v46-runtime-smoke,b508f2c5959a0b1ea1f32fdee6c1197dde0fb5aa,codex/v46-runtime-smoke,topology-scheduling-prototypes,false,true
codex/v46-source-only-gate,d5b29c6bd1aa6f4f876c2cf59338b221ab532de0,codex/v46-source-only-gate,topology-scheduling-prototypes,false,true
codex/v46-tracking-sentinel,c2488e8076617c9aefc12b9401e20dc3857b35b2,codex/v46-tracking-sentinel,topology-scheduling-prototypes,false,true
codex/v47-information-debt,f11c7d80b0a789e360bb070e6989cb7dd4ec92a0,codex/v47-information-debt,topology-scheduling-prototypes,true,true
codex/v48-charged-control-plane,35fc3a0ff6527badb30a8994a43dec7a376d04e5,codex/v48-charged-control-plane,topology-scheduling-prototypes,true,true
codex/v49-ring-safe-defer,ee1e57ed50c3ad76a68d426900b8c5c7e4c523b6,codex/v49-ring-safe-defer,topology-scheduling-prototypes,true,true
codex/v70-local-scale-consistent,b207115f9010af6c4dac067e34efbdb27a2de1d1,codex/v70-local-scale-consistent,topology-scheduling-prototypes,true,true
covariance_link_quality,362990fdf126ddd33ef701e3e1235d9ace96ea82,covariance_link_quality,legacy-fusion-and-paper-development,true,true
existence_confidence,e0708c0a5d251839888364af62366a8bfc6b18fe,existence_confidence,legacy-fusion-and-paper-development,true,true
paper,310f40d378fd59add94a071d75b81c56b684efef,paper,legacy-fusion-and-paper-development,false,true
