time,label_stages,mean_abs_pd_difference,p95_abs_pd_difference,maximum_abs_pd_difference,abs_pd_difference_ge_005_count,mean_zero_pd_count,mean_zero_density_pd_ge_005_count,high_r_count,high_r_abs_pd_difference_ge_005_count,mean_abs_miss_r_difference,maximum_abs_miss_r_difference,mean_miss_position_difference_m,p95_miss_position_difference_m,mean_abs_quadrature_difference,maximum_abs_quadrature_difference,existence_weighted_abs_pd_difference
21,851,0.0216818113365,0.136008591719,0.336458137248,104,706,84,157,34,0.00182236365001,0.11636991948,3.17869604748,13.8642716953,0.000323476948193,0.00250171868503,0.032177261349
22,853,0.0236826509579,0.147565864825,0.35202325018,106,703,84,157,32,0.00224571483148,0.13811233478,3.37279022512,15.2497109021,0.000337708820612,0.00221579095669,0.0352723862371
23,850,0.0233358546909,0.135809043175,0.337915240022,100,699,76,155,32,0.00236511601556,0.133262072219,3.48716390287,14.21627956,0.000347940654274,0.00351815722422,0.0340001644896
24,845,0.0225652391515,0.13210573224,0.329058170842,101,687,74,160,30,0.002252024544,0.168607239738,3.63407588568,16.3586333442,0.000364596207038,0.00361374462243,0.0292896761181
25,842,0.0221206980787,0.124557000221,0.315478768658,91,686,73,158,24,0.00155465987195,0.119490163762,3.6953995723,15.7188519746,0.000356085154869,0.00423114419037,0.0278265618027
26,831,0.0228095174593,0.132928265724,0.293211172032,90,674,72,159,24,0.00159208938962,0.122272805836,3.92013150428,16.7243921795,0.000378351876074,0.00304875829475,0.025700958939
27,837,0.0243908933193,0.141865417186,0.319498616339,97,681,76,161,30,0.00179066561809,0.129114680206,4.08164397611,17.3828023598,0.000377550084694,0.0031751646843,0.0302206223524
28,835,0.0249730722629,0.141957844308,0.318219100915,98,680,76,168,34,0.00184264527206,0.103296681003,4.1790149163,17.1125452734,0.000354993295293,0.00332496115141,0.0333866522193
29,826,0.0243819824605,0.135841078629,0.307675332738,103,667,81,176,31,0.00159284584034,0.105234057647,4.31279464579,17.268090354,0.000363288830116,0.0032461560815,0.0322879721801
30,830,0.024375124048,0.129114207384,0.304645516841,103,671,81,178,30,0.00148633892259,0.0755113559237,4.43014490373,16.9701168519,0.000372265564445,0.002246096162,0.0304178950544
31,820,0.0239354154873,0.127773071874,0.330040778623,96,656,74,181,26,0.00169150000508,0.128224613075,4.68553997137,18.0611870943,0.000380115715399,0.00220941345186,0.0268084352532
32,823,0.0239849381173,0.109089157143,0.315822138163,105,655,79,183,30,0.00157665482451,0.084953626675,4.89202500862,18.1719428684,0.000373846647649,0.00242650371389,0.026420957006
33,818,0.0236764758106,0.118375537615,0.299686513445,101,652,81,190,31,0.00153854061119,0.0959855574622,5.03682554722,18.2113901161,0.000380384848686,0.00267804436724,0.0277403530192
34,817,0.0241396024393,0.108715316172,0.30541123281,104,647,80,189,32,0.00187058468244,0.123761285907,5.44441367422,18.8146204484,0.000388830845501,0.00302855073982,0.026926055147
35,813,0.0251235032365,0.121929051798,0.312227734253,102,641,79,192,34,0.00206154537466,0.127015081568,5.68499146196,19.2811390884,0.000428202507609,0.0035230422383,0.0294162855657
36,817,0.0241870303848,0.108107016003,0.315798691879,103,646,84,196,35,0.00189174216686,0.0847026739113,5.90149184405,19.5921598814,0.000393764169786,0.00284047554358,0.0270274322128
37,802,0.0235916017276,0.106994618616,0.318766964822,95,628,77,204,30,0.00163108510333,0.0851314781866,6.0701430784,19.0757107156,0.000394123123065,0.00234269664901,0.0248423709784
38,822,0.0247800465852,0.116881003002,0.319929362483,105,650,85,205,32,0.00159348971441,0.111601072227,6.4243602019,20.4466477649,0.000391886172971,0.00305976423472,0.0250836477894
39,813,0.0249677435549,0.115177308787,0.300709492061,107,640,83,206,34,0.00177180938191,0.113029817206,6.62671167518,21.0350718028,0.00040697474805,0.00313420242573,0.0259101578759
40,814,0.0251804248996,0.106802220442,0.292245748707,109,644,85,206,38,0.00163236361219,0.117176720849,6.78384823494,19.6195840468,0.000402729284085,0.00285676177554,0.0276256287289
