frame,robot,phase,total_count,near_count,near_sum_r,near_max_r,near_birth_labels,near_labels_from_first_three_frames,near_label_age_sum,ancestry_roots,ancestry_memberships,repeated_roots,labels_with_shared_roots,pairs_with_shared_roots,maximum_root_multiplicity,condition,backend
39,1,local,108,1,0.9995629336892837,0.9995629336892837,0,1,36,1,1,0,0,0,1,reliable,GCE
39,2,local,13,1,0.987535295319208,0.987535295319208,0,1,36,1,1,0,0,0,1,reliable,GCE
39,1,posterior,106,1,0.9974737889450377,0.9974737889450377,0,1,36,1,1,0,0,0,1,reliable,GCE
39,2,posterior,106,1,0.9974737889450377,0.9974737889450377,0,1,36,1,1,0,0,0,1,reliable,GCE
40,1,local,110,1,0.9996376350863609,0.9996376350863609,0,1,37,1,1,0,0,0,1,reliable,GCE
40,2,local,15,1,0.9874990510555873,0.9874990510555873,0,1,37,1,1,0,0,0,1,reliable,GCE
40,1,posterior,105,1,0.9976942914130486,0.9976942914130486,0,1,37,1,1,0,0,0,1,reliable,GCE
40,2,posterior,105,1,0.9976942914130486,0.9976942914130486,0,1,37,1,1,0,0,0,1,reliable,GCE
41,1,local,112,1,0.9994814580722268,0.9994814580722268,0,1,38,1,1,0,0,0,1,reliable,GCE
41,2,local,11,1,0.987717348498918,0.987717348498918,0,1,38,1,1,0,0,0,1,reliable,GCE
41,1,posterior,110,1,0.9972718322276465,0.9972718322276465,0,1,38,1,1,0,0,0,1,reliable,GCE
41,2,posterior,110,1,0.9972718322276465,0.9972718322276465,0,1,38,1,1,0,0,0,1,reliable,GCE
42,1,local,114,1,0.9995095950127635,0.9995095950127635,0,1,39,1,1,0,0,0,1,reliable,GCE
42,2,local,13,1,0.9872991139053701,0.9872991139053701,0,1,39,1,1,0,0,0,1,reliable,GCE
42,1,posterior,109,1,0.9972996221416118,0.9972996221416118,0,1,39,1,1,0,0,0,1,reliable,GCE
42,2,posterior,109,1,0.9972996221416118,0.9972996221416118,0,1,39,1,1,0,0,0,1,reliable,GCE
43,1,local,117,1,0.9995934473882454,0.9995934473882454,0,1,40,1,1,0,0,0,1,reliable,GCE
43,2,local,10,1,0.9873266259201958,0.9873266259201958,0,1,40,1,1,0,0,0,1,reliable,GCE
43,1,posterior,116,1,0.997541712660661,0.997541712660661,0,1,40,1,1,0,0,0,1,reliable,GCE
43,2,posterior,116,1,0.997541712660661,0.997541712660661,0,1,40,1,1,0,0,0,1,reliable,GCE
44,1,local,120,1,0.9996488701613512,0.9996488701613512,0,1,41,1,1,0,0,0,1,reliable,GCE
44,2,local,15,1,0.9875662955340544,0.9875662955340544,0,1,41,1,1,0,0,0,1,reliable,GCE
44,1,posterior,114,1,0.9977357808490572,0.9977357808490572,0,1,41,1,1,0,0,0,1,reliable,GCE
44,2,posterior,114,1,0.9977357808490572,0.9977357808490572,0,1,41,1,1,0,0,0,1,reliable,GCE
45,1,local,123,1,0.9996758825950525,0.9996758825950525,0,1,42,1,1,0,0,0,1,reliable,GCE
45,2,local,9,1,0.889732827148692,0.889732827148692,0,1,42,1,1,0,0,0,1,reliable,GCE
45,1,posterior,122,1,0.9827572357561368,0.9827572357561368,0,1,42,1,1,0,0,0,1,reliable,GCE
45,2,posterior,122,1,0.9827572357561368,0.9827572357561368,0,1,42,1,1,0,0,0,1,reliable,GCE
46,1,local,126,1,0.9990853669933936,0.9990853669933936,0,1,43,1,1,0,0,0,1,reliable,GCE
46,2,local,14,1,0.7823285811715233,0.7823285811715233,0,1,43,1,1,0,0,0,1,reliable,GCE
46,1,posterior,121,1,0.9577436130725089,0.9577436130725089,0,1,43,1,1,0,0,0,1,reliable,GCE
46,2,posterior,121,1,0.9577436130725089,0.9577436130725089,0,1,43,1,1,0,0,0,1,reliable,GCE
47,1,local,129,1,0.9980414170992531,0.9980414170992531,0,1,44,1,1,0,0,0,1,reliable,GCE
47,2,local,12,1,0.6465484672785078,0.6465484672785078,0,1,44,1,1,0,0,0,1,reliable,GCE
47,1,posterior,128,1,0.9169979419645273,0.9169979419645273,0,1,44,1,1,0,0,0,1,reliable,GCE
47,2,posterior,128,1,0.9169979419645273,0.9169979419645273,0,1,44,1,1,0,0,0,1,reliable,GCE
48,1,local,132,2,0.9995774122198132,0.9959772173126948,1,1,45,2,2,0,0,0,1,reliable,GCE
48,2,local,13,1,0.49620332195531164,0.49620332195531164,0,1,45,1,1,0,0,0,1,reliable,GCE
48,1,posterior,127,2,0.8514909241008599,0.8495927401752679,1,1,45,2,2,0,0,0,1,reliable,GCE
48,2,posterior,127,2,0.8514909241008599,0.8495927401752679,1,1,45,2,2,0,0,0,1,reliable,GCE
49,1,local,135,2,0.9990575494833134,0.995103464107446,1,1,46,2,2,0,0,0,1,reliable,GCE
49,2,local,9,1,0.3461120466384838,0.3461120466384838,0,1,46,1,1,0,0,0,1,reliable,GCE
49,1,posterior,134,2,0.79130718225975,0.7893177199098065,1,1,46,2,2,0,0,0,1,reliable,GCE
49,2,posterior,134,2,0.79130718225975,0.7893177199098065,1,1,46,2,2,0,0,0,1,reliable,GCE
50,1,local,138,2,0.9914637868012058,0.9875755112803913,1,1,47,2,2,0,0,0,1,reliable,GCE
50,2,local,14,1,0.2633560402880296,0.2633560402880296,0,1,47,1,1,0,0,0,1,reliable,GCE
50,1,posterior,133,2,0.6607077045271551,0.6587348997038929,1,1,47,2,2,0,0,0,1,reliable,GCE
50,2,posterior,133,2,0.6607077045271551,0.6587348997038929,1,1,47,2,2,0,0,0,1,reliable,GCE
51,1,local,141,2,0.9866015932709107,0.9823162886543204,1,1,48,2,2,0,0,0,1,reliable,GCE
51,2,local,10,1,0.15787928545700744,0.15787928545700744,0,1,48,1,1,0,0,0,1,reliable,GCE
51,1,posterior,141,2,0.5405095217423036,0.5384382352847037,1,1,48,2,2,0,0,0,1,reliable,GCE
51,2,posterior,141,2,0.5405095217423036,0.5384382352847037,1,1,48,2,2,0,0,0,1,reliable,GCE
52,1,local,144,2,0.9708676772901459,0.9662585338522134,1,1,49,2,2,0,0,0,1,reliable,GCE
52,2,local,13,1,0.10246079439928225,0.10246079439928225,0,1,49,1,1,0,0,0,1,reliable,GCE
52,1,posterior,139,2,0.39754157772651877,0.3953932697434879,1,1,49,2,2,0,0,0,1,reliable,GCE
52,2,posterior,139,2,0.39754157772651877,0.3953932697434879,1,1,49,2,2,0,0,0,1,reliable,GCE
53,1,local,132,3,0.9445022585378753,0.9370078649207723,1,1,51,3,3,0,0,0,1,reliable,GCE
53,2,local,9,1,0.06043485549823977,0.06043485549823977,0,1,50,1,1,0,0,0,1,reliable,GCE
53,1,posterior,131,3,0.26517299291289514,0.261401544575907,1,1,51,3,3,0,0,0,1,reliable,GCE
53,2,posterior,131,3,0.26517299291289514,0.261401544575907,1,1,51,3,3,0,0,0,1,reliable,GCE
54,1,local,136,8,0.9226615844557648,0.9013678815637961,1,1,66,8,8,0,0,0,1,reliable,GCE
54,2,local,13,1,0.03373621299614821,0.03373621299614821,0,1,51,1,1,0,0,0,1,reliable,GCE
54,1,posterior,132,8,0.1815287013380228,0.16962237842944403,1,1,66,8,8,0,0,0,1,reliable,GCE
54,2,posterior,132,8,0.1815287013380228,0.16962237842944403,1,1,66,8,8,0,0,0,1,reliable,GCE
55,1,local,139,18,0.8953058403191327,0.8076874000595071,2,1,116,18,18,0,0,0,1,reliable,GCE
55,2,local,12,1,0.019782399517005233,0.019782399517005233,0,1,52,1,1,0,0,0,1,reliable,GCE
55,1,posterior,137,18,0.13351563347673123,0.095391517392623,2,1,116,18,18,0,0,0,1,reliable,GCE
55,2,posterior,137,18,0.13351563347673123,0.095391517392623,2,1,116,18,18,0,0,0,1,reliable,GCE
56,1,local,143,22,0.7876119110091201,0.6051069299583769,2,1,153,22,22,0,0,0,1,reliable,GCE
