scene,seed,arm,ospa,count_mae,gospa,loc2,miss2,false2,matched_rmse,reunion_ospa,post_departure_false2,worst_node,wire_bytes,raw_bytes,delivered_raw_bytes,matched_support,runtime_s
churn_departure,2907,qualified_exist,1.023828057400288,0.14270833333333333,1.4949102182260057,0.15105625728701183,8.325,1.95,0.22190256736742622,1.2487601561422725,7.8,2.109003808106718,26501120.0,2586304,2338016,2945,2.8548230833333332
churn_departure,2908,local,6.51936673637145,1.090625,8.750130468568976,8.26880128100523,81.45,2.925,2.0073531363698613,7.201109938186626,11.7,8.9394169109027,0,0,0,1970,2.3159167916666665
churn_departure,2908,fov,2.547986136408629,0.39375,3.585243841498318,0.1711158739388523,27.3,1.95,0.24702632565198027,3.1352164350135996,7.5,3.8539443388242587,27320320.0,2953080,2634552,2692,3.484288916666667
churn_departure,2908,lineage,0.8239957150093313,0.10104166666666667,1.2276301086408161,0.2119812649733437,3.075,4.2,0.25980092798249804,0.4106991835252975,16.8,1.4958099228686002,27320320.0,2752712,2461512,3015,2.9737400833333334
churn_departure,2908,mil_support,3.963606399690886,0.40520833333333334,6.126561756792912,20.194472597956224,26.175,5.25,2.6761333263425566,4.927387232606351,20.4,5.620858999307726,27320320.0,10722520,9558728,2707,4.400763
churn_departure,2908,qualified_exist,0.811906155281275,0.09895833333333333,1.21065793060313,0.21198126932091166,3.075,4.05,0.25980093064665377,0.4596809787731739,16.2,1.5429636943813478,27320320.0,2956552,2643120,3015,3.1845337916666665
churn_departure,2909,local,7.974029198597577,1.525,10.233042371602938,4.48699408099203,110.4,0.6,1.649057413226229,8.512067694271073,2.4,9.73671156765164,0,0,0,1584,2.1567954583333333
churn_departure,2909,fov,3.184958513300409,0.4822916666666667,4.320783332871338,0.17155426755716263,32.4,3.375,0.2505269574783364,3.556838189677684,13.5,5.368802841434216,26959872.0,3009776,2720704,2624,3.778182625
churn_departure,2909,lineage,1.2714078048233957,0.16145833333333334,1.7330271505773462,0.20909030510322832,8.025,3.9,0.26089465301643633,1.3460177650105105,15.6,3.0541855807595244,26959872.0,2950640,2666944,2949,3.2790774166666665
churn_departure,2909,mil_support,4.431678426601177,0.42291666666666666,6.874585294557479,31.1633304897564,26.1,4.8,3.3237872628816727,5.278679760960844,19.2,5.860786167491948,26959872.0,10286024,9249800,2708,4.4163695
churn_departure,2909,qualified_exist,0.8630984059499037,0.09791666666666667,1.2031402631711952,0.2186621749559694,4.425,2.625,0.26465437446570583,0.7659736429270477,10.5,1.6534590982088417,26959872.0,2793616,2524760,2997,2.9983940833333333
