sequence,condition,arm,frames,ospa,gospa,loc2,miss2,false2,countError,matched_sse,matched_support,matched_rmse,raw_bytes,wire_bytes,delivered_raw_bytes,runtime_s,maximum_prefusion_bernoulli_count,observable_absences,total_weight_change
0000,intermittent,tc_ospa2_w5,147,5.702786800753028,7.5430046369783,5.924305548731523,39.91836734693877,34.285714285714285,0.6972789115646258,1741.7458313270668,531,1.811111254488204,172048,4854528.0,120424,0.14222795833333332,0,0,0.0
0000,intermittent,tc_ospa2_w10,147,5.5583455949833995,7.2258114192685134,5.8671227366618295,44.08163265306123,26.93877551020408,0.673469387755102,1724.934084578577,514,1.8319123582434749,323856,4854528.0,225192,0.19305754166666667,0,0,0.0
0001,reliable,local,114,7.919784282968674,7.985772418820716,1.195030415366285,33.1578947368421,56.526315789473685,1.131578947368421,272.46693470351295,79,1.8571344971624422,0,0,0,0.27977025,22,0,0.0
0001,reliable,lineage,114,5.799702465607114,5.519558897938303,0.8084597026100327,23.36842105263158,30.94736842105263,0.6842105263157895,184.3288121950874,110,1.2944946792091478,571392,3764736.0,571392,1.046009375,28,506,0.0
0001,reliable,qualified_exist,114,7.193531192082701,6.897881157712179,0.8374250780432799,22.105263157894736,49.89473684210526,0.8947368421052632,190.93291779386786,114,1.2941600195055325,491104,3764736.0,491104,0.9051692916666667,30,360,988.6837103301582
0001,reliable,mil_support,114,7.169478106447408,6.971778009478867,0.8899533487123141,22.736842105263158,51.78947368421053,0.9298245614035088,202.90936350640766,112,1.345990618686819,1092224,3764736.0,1092224,1.3655542083333334,48,0,0.0
0001,reliable,tc_ospa2_w5,114,8.935452804074385,9.161413916311124,2.4419379842808855,24.63157894736842,81.47368421052632,1.3333333333333333,556.7618604160418,106,2.291826865468553,151984,3764736.0,151984,0.25693683333333334,0,0,0.0
0001,reliable,tc_ospa2_w10,114,8.479493813758776,8.3493706061265,1.7616525442308435,29.05263157894737,62.526315789473685,1.1491228070175439,401.65678008463226,92,2.089457959887518,283392,3764736.0,283392,0.266814875,0,0,0.0
0001,intermittent,local,114,7.919784282968674,7.985772418820716,1.195030415366285,33.1578947368421,56.526315789473685,1.131578947368421,272.46693470351295,79,1.8571344971624422,0,0,0,0.27977025,22,0,0.0
0001,intermittent,lineage,114,6.640465154781185,6.574837862383607,0.8111656261556263,23.05263157894737,46.73684210526316,0.8991228070175439,184.9457627634827,111,1.2908051916979024,507952,3764736.0,380576,0.87095325,25,360,0.0
0001,intermittent,qualified_exist,114,7.101120952344334,7.338679276755113,0.8332113634674999,21.789473684210527,60.94736842105263,1.043859649122807,189.97219087058994,115,1.285275104608686,454912,3764736.0,333568,0.7603196666666666,26,260,645.053654270283
0001,intermittent,mil_support,114,7.271869353373227,7.659405095003616,0.8926701466491589,21.789473684210527,66.63157894736842,1.1578947368421053,203.5287934360082,115,1.330344164152917,807056,3764736.0,620400,0.9026625833333334,36,0,0.0
0001,intermittent,tc_ospa2_w5,114,8.111127569436182,8.48553207154595,1.8399249511625682,25.57894736842105,73.89473684210526,1.2324561403508771,419.50288886506553,103,2.018128732567432,151984,3764736.0,111496,0.11090466666666667,0,0,0.0
0001,intermittent,tc_ospa2_w10,114,7.967604458341093,8.00649901113631,1.467665354132667,29.68421052631579,59.68421052631579,1.118421052631579,334.62770074224807,90,1.9282337938649339,283392,3764736.0,206488,0.16328,0,0,0.0
0002,reliable,local,144,6.992066678712354,6.429493384293648,0.8555000574344414,35.5,36.25,0.5381944444444444,246.38401654111908,70,1.8761054514267395,0,0,0,0.33926475,17,0,0.0
0002,reliable,lineage,144,5.2046008233733225,4.720573345030569,0.9131053478878874,24.5,21.0,0.4791666666666667,262.9743401917115,114,1.5188128448963127,511328,4755456.0,511328,0.9794798333333333,18,478,0.0
0002,reliable,qualified_exist,144,5.091669890505766,4.763774508526266,0.922989083235725,22.5,24.5,0.4583333333333333,265.8208559718888,122,1.476096025053728,456000,4755456.0,456000,0.910870125,17,410,861.5319157266732
0002,reliable,mil_support,144,6.38588505001348,5.805049741067311,0.9136708268321228,22.5,34.0,0.6041666666666666,263.13719812765135,122,1.4686259836101385,1053168,4755456.0,1053168,1.2141530416666666,34,0,0.0
0002,reliable,tc_ospa2_w5,144,7.466955557940411,7.374915343204773,1.7067942940426322,19.5,61.0,0.7152777777777778,491.5567566842782,134,1.915289535581123,128896,4755456.0,128896,0.18223216666666667,0,0,0.0
0002,reliable,tc_ospa2_w10,144,7.051557147157747,6.822413427585342,1.6981088410447365,22.0,51.0,0.6388888888888888,489.0553462208842,124,1.9859493265407795,238464,4755456.0,238464,0.20521216666666667,0,0,0.0
0002,intermittent,local,144,6.992066678712354,6.429493384293648,0.8555000574344414,35.5,36.25,0.5381944444444444,246.38401654111908,70,1.8761054514267395,0,0,0,0.33926475,17,0,0.0
0002,intermittent,lineage,144,6.145490267505173,5.259824727503698,1.6668234897491583,23.75,23.0,0.5381944444444444,480.04516504775756,117,2.025574024471412,669200,4755456.0,526656,0.9991212916666666,23,414,0.0
0002,intermittent,qualified_exist,144,6.148642871696854,5.4999837056093535,1.6750340016967253,21.25,30.25,0.5555555555555556,482.40979248865693,127,1.9489746799433518,485744,4755456.0,393328,0.8977862083333333,19,326,748.8091800233359
0002,intermittent,mil_support,144,6.611187149967026,6.0649455233402465,0.9683745052497517,19.5,39.5,0.6736111111111112,278.8918575119286,134,1.4426650750419294,1021344,4755456.0,786032,1.0625092083333334,35,0,0.0
0002,intermittent,tc_ospa2_w5,144,6.454212007508922,6.574818317359316,1.7042770935977634,20.5,52.5,0.625,490.8318029561559,130,1.9430978497000329,128896,4755456.0,96576,0.09883458333333334,0,0,0.0
0002,intermittent,tc_ospa2_w10,144,6.292683005088678,6.234664336949046,1.6965436545709276,22.75,45.0,0.5798611111111112,488.6045725164271,121,2.00949105952666,238464,4755456.0,178784,0.15255854166666666,0,0,0.0
