condition,arm,frame,robot,detected,output_count,active_components,near_active_components,near_total_r,near_max_r,association_has_column,association_effective_labels,association_largest_share,association_nearest_distance_m,association_joint_mass
reliable,marked_gaussian_evidence_prune_info,47,1,True,8,46,1,0.8295576123640067,0.8295576123640067,True,1.0552876383532828,0.9939517893138027,0.03337188178640938,0.9805052055816681
reliable,marked_gaussian_evidence_prune_info,47,2,True,8,46,1,0.8295576123640067,0.8295576123640067,False,,,,
reliable,marked_gaussian_evidence_prune_info,48,1,True,8,44,1,0.7500730548187364,0.7500730548187364,True,1.0564227771865968,0.9938899679305566,0.054656727329486246,0.9807773880351494
reliable,marked_gaussian_evidence_prune_info,48,2,True,8,44,1,0.7500730548187364,0.7500730548187364,False,,,,
reliable,marked_gaussian_evidence_prune_info,49,1,True,8,49,1,0.7207601370606376,0.7207601370606376,True,1.0700814778390961,0.9921879092859102,0.0581685833824595,0.9887567932878173
reliable,marked_gaussian_evidence_prune_info,49,2,True,8,49,1,0.7207601370606376,0.7207601370606376,False,,,,
reliable,marked_gaussian_evidence_prune_info,50,1,True,8,45,1,0.6050700591981815,0.6050700591981815,True,1.0713781649454102,0.992095639843063,0.13003677900754507,0.970360159324815
reliable,marked_gaussian_evidence_prune_info,50,2,True,8,45,1,0.6050700591981815,0.6050700591981815,True,1.000026031426808,0.9999981681376007,66.29367577706189,6.384393166506928e-94
reliable,marked_gaussian_evidence_prune_info,51,1,True,8,51,1,0.5306137294840632,0.5306137294840632,True,1.0894095060740938,0.9898254060568358,0.08924475283613055,0.9765285146693701
reliable,marked_gaussian_evidence_prune_info,51,2,True,8,51,1,0.5306137294840632,0.5306137294840632,False,,,,
reliable,marked_gaussian_evidence_prune_info,52,1,False,7,46,1,0.4325580292948092,0.4325580292948092,True,1.1077535569879204,0.9876815252308075,0.04546557902497019,0.9683029944560471
reliable,marked_gaussian_evidence_prune_info,52,2,False,7,46,1,0.4325580292948092,0.4325580292948092,False,,,,
reliable,marked_gaussian_evidence_prune_info,53,1,False,8,39,1,0.33355071245303214,0.33355071245303214,True,1.1369769802194891,0.9841463324863984,0.06837284706978408,0.9577458048117613
