condition,arm,frame,robot,previous,births,predicted,local,local_pruned,received,pre_fusion_prune,fusion_pruned,retained,local_lost_at_fusion,remote_only_retained,delta
reliable,marked_gaussian_evidence_known_censor,70,2,187,1,188,31,157,True,201,8,193,1,163,6
reliable,marked_gaussian_evidence_known_censor,71,1,200,11,211,196,15,True,209,2,207,2,13,7
reliable,marked_gaussian_evidence_known_censor,71,2,193,1,194,35,159,True,209,10,199,2,166,6
reliable,marked_gaussian_evidence_known_censor,72,1,207,10,217,203,14,True,214,3,211,3,11,4
reliable,marked_gaussian_evidence_known_censor,72,2,199,2,201,37,164,True,214,11,203,3,169,4
reliable,marked_gaussian_evidence_known_censor,73,1,211,10,221,205,16,True,219,3,216,3,14,5
reliable,marked_gaussian_evidence_known_censor,73,2,203,1,204,39,165,True,219,11,208,3,172,5
reliable,marked_gaussian_evidence_known_censor,74,1,216,12,228,213,15,True,226,1,225,1,13,9
reliable,marked_gaussian_evidence_known_censor,74,2,208,1,209,40,169,True,226,12,214,1,175,6
reliable,marked_gaussian_evidence_known_censor,75,1,225,12,237,216,21,True,233,3,230,3,17,5
reliable,marked_gaussian_evidence_known_censor,75,2,214,2,216,46,170,True,233,13,220,3,177,6
reliable,marked_gaussian_evidence_known_censor,76,1,230,12,242,221,21,True,238,4,234,4,17,4
reliable,marked_gaussian_evidence_known_censor,76,2,220,2,222,47,175,True,238,15,223,4,180,3
reliable,marked_gaussian_evidence_known_censor,77,1,234,13,247,225,22,True,225,6,219,6,0,-15
reliable,marked_gaussian_evidence_known_censor,77,2,223,2,225,29,196,True,225,19,206,6,183,-17
reliable,marked_gaussian_evidence_known_censor,78,1,219,11,230,227,3,True,227,6,221,6,0,2
reliable,marked_gaussian_evidence_known_censor,78,2,206,1,207,27,180,True,227,25,202,6,181,-4
reliable,marked_gaussian_evidence_known_censor,79,1,221,11,232,227,5,True,227,9,218,9,0,-3
reliable,marked_gaussian_evidence_known_censor,79,2,202,2,204,27,177,True,227,24,203,9,185,1
reliable,marked_gaussian_evidence_known_censor,80,1,218,11,229,225,4,True,225,2,223,2,0,5
reliable,marked_gaussian_evidence_known_censor,80,2,203,0,203,17,186,True,225,163,62,2,47,-141
reliable,marked_gaussian_evidence_known_censor,81,1,223,11,234,230,4,True,230,4,226,4,0,3
reliable,marked_gaussian_evidence_known_censor,81,2,62,0,62,18,44,True,230,18,212,4,198,150
reliable,marked_gaussian_evidence_known_censor,82,1,226,10,236,229,7,True,229,4,225,4,0,-1
reliable,marked_gaussian_evidence_known_censor,82,2,212,1,213,17,196,True,229,23,206,4,193,-6
reliable,marked_gaussian_evidence_known_censor,83,1,225,10,235,230,5,True,230,0,230,0,0,5
reliable,marked_gaussian_evidence_known_censor,83,2,206,0,206,15,191,True,230,18,212,0,197,6
reliable,marked_gaussian_evidence_known_censor,84,1,230,12,242,234,8,True,234,5,229,5,0,-1
reliable,marked_gaussian_evidence_known_censor,84,2,212,1,213,20,193,True,234,27,207,5,192,-5
reliable,marked_gaussian_evidence_known_censor,85,1,229,10,239,235,4,True,235,2,233,2,0,4
reliable,marked_gaussian_evidence_known_censor,85,2,207,0,207,16,191,True,235,14,221,2,207,14
reliable,marked_gaussian_evidence_known_censor,86,1,233,10,243,238,5,True,238,3,235,3,0,2
reliable,marked_gaussian_evidence_known_censor,86,2,221,0,221,17,204,True,238,170,68,3,54,-153
reliable,marked_gaussian_evidence_known_censor,87,1,235,10,245,241,4,True,241,3,238,3,0,3
reliable,marked_gaussian_evidence_known_censor,87,2,68,0,68,16,52,True,241,25,216,3,203,148
reliable,marked_gaussian_evidence_known_censor,88,1,238,10,248,244,4,True,244,3,241,3,0,3
reliable,marked_gaussian_evidence_known_censor,88,2,216,0,216,16,200,True,244,35,209,3,196,-7
reliable,marked_gaussian_evidence_known_censor,89,1,241,10,251,245,6,True,245,3,242,3,0,1
reliable,marked_gaussian_evidence_known_censor,89,2,209,1,210,17,193,True,245,183,62,3,48,-147
reliable,marked_gaussian_evidence_known_censor,90,1,242,9,251,244,7,True,244,2,242,2,0,0
reliable,marked_gaussian_evidence_known_censor,90,2,62,0,62,16,46,True,244,45,199,2,185,137
reliable,marked_gaussian_evidence_known_censor,91,1,242,9,251,244,7,True,244,4,240,4,0,-2
reliable,marked_gaussian_evidence_known_censor,91,2,199,1,200,18,182,True,244,184,60,4,46,-139
reliable,marked_gaussian_evidence_known_censor,92,1,240,9,249,246,3,True,246,4,242,4,0,2
reliable,marked_gaussian_evidence_known_censor,92,2,60,1,61,17,44,True,246,16,230,4,217,170
reliable,marked_gaussian_evidence_known_censor,93,1,242,10,252,249,3,True,249,2,247,2,0,5
reliable,marked_gaussian_evidence_known_censor,93,2,230,1,231,17,214,True,249,41,208,2,193,-22
reliable,marked_gaussian_evidence_known_censor,94,1,247,10,257,248,9,True,249,3,246,3,1,-1
reliable,marked_gaussian_evidence_known_censor,94,2,208,1,209,19,190,True,249,190,59,3,43,-149
reliable,marked_gaussian_evidence_known_censor,95,1,246,10,256,251,5,True,251,6,245,6,0,-1
reliable,marked_gaussian_evidence_known_censor,95,2,59,2,61,19,42,True,251,15,236,6,223,177
reliable,marked_gaussian_evidence_known_censor,96,1,245,11,256,254,2,True,254,2,252,2,0,7
reliable,marked_gaussian_evidence_known_censor,96,2,236,1,237,16,221,True,254,38,216,2,202,-20
reliable,marked_gaussian_evidence_known_censor,97,1,252,11,263,253,10,True,253,5,248,5,0,-4
reliable,marked_gaussian_evidence_known_censor,97,2,216,2,218,19,199,True,253,198,55,5,41,-161
reliable,marked_gaussian_evidence_known_censor,98,1,248,10,258,255,3,True,255,3,252,3,0,4
reliable,marked_gaussian_evidence_known_censor,98,2,55,1,56,16,40,True,255,10,245,3,232,190
reliable,marked_gaussian_evidence_known_censor,99,1,252,10,262,258,4,True,258,3,255,3,0,3
reliable,marked_gaussian_evidence_known_censor,99,2,245,1,246,17,229,True,258,39,219,3,205,-26
reliable,marked_gaussian_evidence_known_censor,100,1,255,11,266,264,2,True,264,3,261,3,0,6
reliable,marked_gaussian_evidence_known_censor,100,2,219,1,220,15,205,True,264,195,69,3,57,-150
reliable,marked_gaussian_evidence_known_censor,101,1,261,11,272,267,5,True,267,5,262,5,0,1
reliable,marked_gaussian_evidence_known_censor,101,2,69,1,70,16,54,True,267,21,246,5,235,177
reliable,marked_gaussian_evidence_known_censor,102,1,262,11,273,268,5,True,268,2,266,2,0,4
reliable,marked_gaussian_evidence_known_censor,102,2,246,1,247,14,233,True,268,47,221,2,209,-25
