condition,arm,frame,robot,previous,births,predicted,local,local_pruned,received,pre_fusion_prune,fusion_pruned,retained,local_lost_at_fusion,remote_only_retained,delta
reliable,marked_gaussian_evidence_prune_info,54,1,39,10,49,45,4,True,45,7,38,7,0,-1
reliable,marked_gaussian_evidence_prune_info,54,2,39,0,39,13,26,True,45,7,38,3,28,-1
reliable,marked_gaussian_evidence_prune_info,55,1,38,11,49,45,4,True,45,4,41,4,0,3
reliable,marked_gaussian_evidence_prune_info,55,2,38,0,38,14,24,True,45,4,41,1,28,3
reliable,marked_gaussian_evidence_prune_info,56,1,41,11,52,46,6,True,46,4,42,4,0,1
reliable,marked_gaussian_evidence_prune_info,56,2,41,0,41,15,26,True,46,4,42,3,30,1
reliable,marked_gaussian_evidence_prune_info,57,1,42,10,52,48,4,True,48,6,42,6,0,0
reliable,marked_gaussian_evidence_prune_info,57,2,42,0,42,13,29,True,48,6,42,2,31,0
reliable,marked_gaussian_evidence_prune_info,58,1,42,10,52,48,4,True,48,5,43,5,0,1
reliable,marked_gaussian_evidence_prune_info,58,2,42,0,42,13,29,True,48,5,43,2,32,1
reliable,marked_gaussian_evidence_prune_info,59,1,43,10,53,49,4,True,50,3,47,3,1,4
reliable,marked_gaussian_evidence_prune_info,59,2,43,1,44,14,30,True,50,3,47,2,35,4
reliable,marked_gaussian_evidence_prune_info,60,1,47,10,57,52,5,True,54,4,50,4,2,3
reliable,marked_gaussian_evidence_prune_info,60,2,47,1,48,15,33,True,54,4,50,2,37,3
reliable,marked_gaussian_evidence_prune_info,61,1,50,10,60,48,12,True,51,6,45,6,3,-5
reliable,marked_gaussian_evidence_prune_info,61,2,50,3,53,18,35,True,51,6,45,4,31,-5
reliable,marked_gaussian_evidence_prune_info,62,1,45,9,54,49,5,True,54,3,51,3,5,6
reliable,marked_gaussian_evidence_prune_info,62,2,45,3,48,18,30,True,54,3,51,2,35,6
reliable,marked_gaussian_evidence_prune_info,63,1,51,9,60,54,6,True,57,3,54,3,3,3
reliable,marked_gaussian_evidence_prune_info,63,2,51,1,52,21,31,True,57,3,54,3,36,3
reliable,marked_gaussian_evidence_prune_info,64,1,54,9,63,56,7,True,64,2,62,2,8,8
reliable,marked_gaussian_evidence_prune_info,64,2,54,3,57,23,34,True,64,2,62,1,40,8
reliable,marked_gaussian_evidence_prune_info,65,1,62,9,71,60,11,True,68,4,64,4,8,2
reliable,marked_gaussian_evidence_prune_info,65,2,62,3,65,27,38,True,68,4,64,4,41,2
reliable,marked_gaussian_evidence_prune_info,66,1,64,11,75,68,7,True,74,4,70,4,6,6
reliable,marked_gaussian_evidence_prune_info,66,2,64,2,66,23,43,True,74,4,70,2,49,6
reliable,marked_gaussian_evidence_prune_info,67,1,70,9,79,66,13,True,74,8,66,8,8,-4
reliable,marked_gaussian_evidence_prune_info,67,2,70,1,71,23,48,True,74,8,66,2,45,-4
reliable,marked_gaussian_evidence_prune_info,68,1,66,10,76,64,12,True,74,2,72,2,10,6
reliable,marked_gaussian_evidence_prune_info,68,2,66,1,67,22,45,True,74,2,72,1,51,6
reliable,marked_gaussian_evidence_prune_info,69,1,72,11,83,73,10,True,81,3,78,3,8,6
reliable,marked_gaussian_evidence_prune_info,69,2,72,1,73,26,47,True,81,3,78,2,54,6
reliable,marked_gaussian_evidence_prune_info,70,1,78,10,88,74,14,True,86,3,83,3,12,5
reliable,marked_gaussian_evidence_prune_info,70,2,78,1,79,28,51,True,86,3,83,1,56,5
reliable,marked_gaussian_evidence_prune_info,71,1,83,11,94,81,13,True,92,4,88,4,11,5
reliable,marked_gaussian_evidence_prune_info,71,2,83,1,84,32,52,True,92,4,88,2,58,5
reliable,marked_gaussian_evidence_prune_info,72,1,88,10,98,82,16,True,96,4,92,4,14,4
reliable,marked_gaussian_evidence_prune_info,72,2,88,2,90,36,54,True,96,4,92,2,58,4
reliable,marked_gaussian_evidence_prune_info,73,1,92,10,102,89,13,True,99,6,93,6,10,1
reliable,marked_gaussian_evidence_prune_info,73,2,92,1,93,38,55,True,99,6,93,3,58,1
reliable,marked_gaussian_evidence_prune_info,74,1,93,12,105,88,17,True,103,2,101,2,15,8
reliable,marked_gaussian_evidence_prune_info,74,2,93,1,94,38,56,True,103,2,101,1,64,8
reliable,marked_gaussian_evidence_prune_info,75,1,101,12,113,92,21,True,109,5,104,5,17,3
reliable,marked_gaussian_evidence_prune_info,75,2,101,2,103,43,60,True,109,5,104,3,64,3
reliable,marked_gaussian_evidence_prune_info,76,1,104,12,116,93,23,True,112,6,106,6,19,2
reliable,marked_gaussian_evidence_prune_info,76,2,104,2,106,45,61,True,112,6,106,4,65,2
reliable,marked_gaussian_evidence_prune_info,77,1,106,13,119,100,19,True,100,11,89,11,0,-17
